sample_id,label,score,rank,method
1760,6,1.295870065689087,0,intrinsic_dimensionality_twonn
11280,0,1.3019152879714966,1,intrinsic_dimensionality_twonn
30727,6,1.329189419746399,2,intrinsic_dimensionality_twonn
31904,0,1.3295356035232544,3,intrinsic_dimensionality_twonn
33063,1,1.370638132095337,4,intrinsic_dimensionality_twonn
34612,6,1.3755956888198853,5,intrinsic_dimensionality_twonn
38227,6,1.4022800922393799,6,intrinsic_dimensionality_twonn
34430,6,1.4349701404571533,7,intrinsic_dimensionality_twonn
16222,4,1.4451643228530884,8,intrinsic_dimensionality_twonn
16434,4,1.4951649904251099,9,intrinsic_dimensionality_twonn
40273,6,1.4993765354156494,10,intrinsic_dimensionality_twonn
6747,6,1.513084888458252,11,intrinsic_dimensionality_twonn
9753,6,1.558372139930725,12,intrinsic_dimensionality_twonn
12071,1,1.584943175315857,13,intrinsic_dimensionality_twonn
30390,6,1.589790940284729,14,intrinsic_dimensionality_twonn
29893,0,1.60574209690094,15,intrinsic_dimensionality_twonn
28432,6,1.6289106607437134,16,intrinsic_dimensionality_twonn
9543,6,1.6356695890426636,17,intrinsic_dimensionality_twonn
14249,1,1.6493099927902222,18,intrinsic_dimensionality_twonn
39912,1,1.664084553718567,19,intrinsic_dimensionality_twonn
48612,1,1.6724364757537842,20,intrinsic_dimensionality_twonn
8825,1,1.6764169931411743,21,intrinsic_dimensionality_twonn
25935,6,1.6806755065917969,22,intrinsic_dimensionality_twonn
11333,3,1.695487380027771,23,intrinsic_dimensionality_twonn
40169,8,1.6960844993591309,24,intrinsic_dimensionality_twonn
22284,4,1.723933458328247,25,intrinsic_dimensionality_twonn
38572,6,1.7379155158996582,26,intrinsic_dimensionality_twonn
15688,8,1.7414274215698242,27,intrinsic_dimensionality_twonn
12824,6,1.763310194015503,28,intrinsic_dimensionality_twonn
23762,6,1.763534665107727,29,intrinsic_dimensionality_twonn
43862,6,1.766585350036621,30,intrinsic_dimensionality_twonn
44446,4,1.7718491554260254,31,intrinsic_dimensionality_twonn
18336,6,1.7770229578018188,32,intrinsic_dimensionality_twonn
22940,6,1.7878732681274414,33,intrinsic_dimensionality_twonn
2955,6,1.7911319732666016,34,intrinsic_dimensionality_twonn
33366,6,1.7959002256393433,35,intrinsic_dimensionality_twonn
807,6,1.797577977180481,36,intrinsic_dimensionality_twonn
18931,4,1.8031409978866577,37,intrinsic_dimensionality_twonn
31601,6,1.8054784536361694,38,intrinsic_dimensionality_twonn
17603,6,1.8081847429275513,39,intrinsic_dimensionality_twonn
14305,4,1.8144326210021973,40,intrinsic_dimensionality_twonn
22479,1,1.8178132772445679,41,intrinsic_dimensionality_twonn
19897,4,1.822153091430664,42,intrinsic_dimensionality_twonn
21284,2,1.8256410360336304,43,intrinsic_dimensionality_twonn
11429,6,1.8266505002975464,44,intrinsic_dimensionality_twonn
24667,3,1.8296780586242676,45,intrinsic_dimensionality_twonn
25806,4,1.840691328048706,46,intrinsic_dimensionality_twonn
3797,4,1.8454123735427856,47,intrinsic_dimensionality_twonn
1269,4,1.852962613105774,48,intrinsic_dimensionality_twonn
48023,4,1.8546428680419922,49,intrinsic_dimensionality_twonn
23257,6,1.855405569076538,50,intrinsic_dimensionality_twonn
29680,6,1.8578252792358398,51,intrinsic_dimensionality_twonn
1876,6,1.8602898120880127,52,intrinsic_dimensionality_twonn
13143,6,1.860355257987976,53,intrinsic_dimensionality_twonn
27803,6,1.8609671592712402,54,intrinsic_dimensionality_twonn
9980,6,1.8665423393249512,55,intrinsic_dimensionality_twonn
37479,6,1.8783091306686401,56,intrinsic_dimensionality_twonn
41374,6,1.8810375928878784,57,intrinsic_dimensionality_twonn
10273,6,1.8856614828109741,58,intrinsic_dimensionality_twonn
24282,6,1.8877555131912231,59,intrinsic_dimensionality_twonn
29958,6,1.8894360065460205,60,intrinsic_dimensionality_twonn
42516,4,1.8917733430862427,61,intrinsic_dimensionality_twonn
27767,6,1.893678069114685,62,intrinsic_dimensionality_twonn
20830,6,1.8940589427947998,63,intrinsic_dimensionality_twonn
2033,2,1.9027249813079834,64,intrinsic_dimensionality_twonn
39847,2,1.90485417842865,65,intrinsic_dimensionality_twonn
13847,6,1.906184196472168,66,intrinsic_dimensionality_twonn
41260,6,1.9177203178405762,67,intrinsic_dimensionality_twonn
11817,1,1.927553653717041,68,intrinsic_dimensionality_twonn
34604,4,1.931085228919983,69,intrinsic_dimensionality_twonn
12635,6,1.931816816329956,70,intrinsic_dimensionality_twonn
48889,4,1.9323126077651978,71,intrinsic_dimensionality_twonn
6510,6,1.9353203773498535,72,intrinsic_dimensionality_twonn
38365,2,1.9374839067459106,73,intrinsic_dimensionality_twonn
20027,6,1.9416755437850952,74,intrinsic_dimensionality_twonn
3976,6,1.9432716369628906,75,intrinsic_dimensionality_twonn
14501,1,1.9439470767974854,76,intrinsic_dimensionality_twonn
40959,6,1.9447120428085327,77,intrinsic_dimensionality_twonn
13239,1,1.9457484483718872,78,intrinsic_dimensionality_twonn
21270,1,1.9479503631591797,79,intrinsic_dimensionality_twonn
8122,3,1.9524980783462524,80,intrinsic_dimensionality_twonn
4904,6,1.9552041292190552,81,intrinsic_dimensionality_twonn
13647,1,1.971625566482544,82,intrinsic_dimensionality_twonn
44872,6,1.974035620689392,83,intrinsic_dimensionality_twonn
37097,6,1.9743202924728394,84,intrinsic_dimensionality_twonn
5834,1,1.976111888885498,85,intrinsic_dimensionality_twonn
7918,6,1.9836550951004028,86,intrinsic_dimensionality_twonn
6475,4,1.9838061332702637,87,intrinsic_dimensionality_twonn
24562,3,1.9856128692626953,88,intrinsic_dimensionality_twonn
29108,6,1.985939860343933,89,intrinsic_dimensionality_twonn
10733,6,1.986142635345459,90,intrinsic_dimensionality_twonn
17427,6,1.9915140867233276,91,intrinsic_dimensionality_twonn
19419,6,1.9935715198516846,92,intrinsic_dimensionality_twonn
47141,4,1.996529221534729,93,intrinsic_dimensionality_twonn
48337,6,1.99692964553833,94,intrinsic_dimensionality_twonn
44626,6,1.998124122619629,95,intrinsic_dimensionality_twonn
47071,6,1.9981952905654907,96,intrinsic_dimensionality_twonn
31505,4,2.0030665397644043,97,intrinsic_dimensionality_twonn
18927,1,2.003295660018921,98,intrinsic_dimensionality_twonn
16062,6,2.0040652751922607,99,intrinsic_dimensionality_twonn
6056,4,2.0045082569122314,100,intrinsic_dimensionality_twonn
16328,4,2.005563259124756,101,intrinsic_dimensionality_twonn
49426,1,2.0060126781463623,102,intrinsic_dimensionality_twonn
15071,6,2.007077932357788,103,intrinsic_dimensionality_twonn
20487,6,2.0109825134277344,104,intrinsic_dimensionality_twonn
34365,4,2.0165352821350098,105,intrinsic_dimensionality_twonn
26725,6,2.0172600746154785,106,intrinsic_dimensionality_twonn
4413,4,2.01904559135437,107,intrinsic_dimensionality_twonn
3631,6,2.019864082336426,108,intrinsic_dimensionality_twonn
39939,6,2.02060604095459,109,intrinsic_dimensionality_twonn
46828,1,2.0236117839813232,110,intrinsic_dimensionality_twonn
19208,4,2.0240373611450195,111,intrinsic_dimensionality_twonn
43111,6,2.0260610580444336,112,intrinsic_dimensionality_twonn
25914,6,2.0269720554351807,113,intrinsic_dimensionality_twonn
18060,4,2.030547857284546,114,intrinsic_dimensionality_twonn
48043,6,2.032100200653076,115,intrinsic_dimensionality_twonn
34286,6,2.03897762298584,116,intrinsic_dimensionality_twonn
24664,4,2.0409739017486572,117,intrinsic_dimensionality_twonn
23105,6,2.0415759086608887,118,intrinsic_dimensionality_twonn
40337,6,2.0424835681915283,119,intrinsic_dimensionality_twonn
5666,1,2.0471081733703613,120,intrinsic_dimensionality_twonn
35221,6,2.051520347595215,121,intrinsic_dimensionality_twonn
24136,2,2.0581321716308594,122,intrinsic_dimensionality_twonn
15513,6,2.0581560134887695,123,intrinsic_dimensionality_twonn
33367,6,2.059743642807007,124,intrinsic_dimensionality_twonn
48400,6,2.0623490810394287,125,intrinsic_dimensionality_twonn
32665,1,2.064472198486328,126,intrinsic_dimensionality_twonn
33948,6,2.0654242038726807,127,intrinsic_dimensionality_twonn
4440,6,2.0683038234710693,128,intrinsic_dimensionality_twonn
36285,6,2.0708816051483154,129,intrinsic_dimensionality_twonn
14236,6,2.071497678756714,130,intrinsic_dimensionality_twonn
31000,0,2.072387218475342,131,intrinsic_dimensionality_twonn
10195,6,2.0745797157287598,132,intrinsic_dimensionality_twonn
33013,4,2.0759599208831787,133,intrinsic_dimensionality_twonn
38865,6,2.0786609649658203,134,intrinsic_dimensionality_twonn
49537,6,2.0800390243530273,135,intrinsic_dimensionality_twonn
37564,6,2.0812981128692627,136,intrinsic_dimensionality_twonn
32029,4,2.0850613117218018,137,intrinsic_dimensionality_twonn
16254,4,2.0885517597198486,138,intrinsic_dimensionality_twonn
27285,4,2.091280221939087,139,intrinsic_dimensionality_twonn
7916,6,2.0927913188934326,140,intrinsic_dimensionality_twonn
24577,6,2.0930066108703613,141,intrinsic_dimensionality_twonn
26315,1,2.093663215637207,142,intrinsic_dimensionality_twonn
46877,2,2.0984139442443848,143,intrinsic_dimensionality_twonn
25672,4,2.0993289947509766,144,intrinsic_dimensionality_twonn
14025,0,2.099400281906128,145,intrinsic_dimensionality_twonn
24800,6,2.10060715675354,146,intrinsic_dimensionality_twonn
3262,6,2.1013429164886475,147,intrinsic_dimensionality_twonn
37970,6,2.101907730102539,148,intrinsic_dimensionality_twonn
32854,4,2.103105306625366,149,intrinsic_dimensionality_twonn
13036,2,2.1073801517486572,150,intrinsic_dimensionality_twonn
26376,0,2.113905906677246,151,intrinsic_dimensionality_twonn
41009,6,2.115180730819702,152,intrinsic_dimensionality_twonn
29106,6,2.116257667541504,153,intrinsic_dimensionality_twonn
22559,6,2.1207292079925537,154,intrinsic_dimensionality_twonn
28186,4,2.1222338676452637,155,intrinsic_dimensionality_twonn
48862,4,2.1261589527130127,156,intrinsic_dimensionality_twonn
33247,6,2.1278202533721924,157,intrinsic_dimensionality_twonn
13479,6,2.1278388500213623,158,intrinsic_dimensionality_twonn
12684,6,2.1293818950653076,159,intrinsic_dimensionality_twonn
30491,6,2.1329026222229004,160,intrinsic_dimensionality_twonn
4104,4,2.137864351272583,161,intrinsic_dimensionality_twonn
526,4,2.139500856399536,162,intrinsic_dimensionality_twonn
30694,2,2.1401169300079346,163,intrinsic_dimensionality_twonn
35565,6,2.1458017826080322,164,intrinsic_dimensionality_twonn
26469,6,2.145845651626587,165,intrinsic_dimensionality_twonn
9084,6,2.1459848880767822,166,intrinsic_dimensionality_twonn
17748,6,2.1463022232055664,167,intrinsic_dimensionality_twonn
44941,4,2.1482951641082764,168,intrinsic_dimensionality_twonn
42308,6,2.1497576236724854,169,intrinsic_dimensionality_twonn
31783,1,2.15035080909729,170,intrinsic_dimensionality_twonn
20689,6,2.15309739112854,171,intrinsic_dimensionality_twonn
15657,6,2.1542184352874756,172,intrinsic_dimensionality_twonn
7625,4,2.15423321723938,173,intrinsic_dimensionality_twonn
36500,1,2.1545252799987793,174,intrinsic_dimensionality_twonn
19545,6,2.1545910835266113,175,intrinsic_dimensionality_twonn
46263,6,2.1571083068847656,176,intrinsic_dimensionality_twonn
33726,6,2.1592774391174316,177,intrinsic_dimensionality_twonn
4966,6,2.1616203784942627,178,intrinsic_dimensionality_twonn
27881,6,2.162198066711426,179,intrinsic_dimensionality_twonn
5075,4,2.1655735969543457,180,intrinsic_dimensionality_twonn
26742,1,2.166285276412964,181,intrinsic_dimensionality_twonn
11318,6,2.1700820922851562,182,intrinsic_dimensionality_twonn
13049,6,2.1724624633789062,183,intrinsic_dimensionality_twonn
1367,6,2.172879457473755,184,intrinsic_dimensionality_twonn
25059,6,2.1738123893737793,185,intrinsic_dimensionality_twonn
12034,6,2.1741721630096436,186,intrinsic_dimensionality_twonn
31142,6,2.176668167114258,187,intrinsic_dimensionality_twonn
22,6,2.176774024963379,188,intrinsic_dimensionality_twonn
40136,8,2.1786868572235107,189,intrinsic_dimensionality_twonn
12879,6,2.180898427963257,190,intrinsic_dimensionality_twonn
28992,6,2.1841602325439453,191,intrinsic_dimensionality_twonn
30570,1,2.184849977493286,192,intrinsic_dimensionality_twonn
14500,2,2.1853275299072266,193,intrinsic_dimensionality_twonn
19450,1,2.1865053176879883,194,intrinsic_dimensionality_twonn
5789,6,2.18691349029541,195,intrinsic_dimensionality_twonn
27534,4,2.18806529045105,196,intrinsic_dimensionality_twonn
28481,6,2.1882588863372803,197,intrinsic_dimensionality_twonn
986,2,2.1884140968322754,198,intrinsic_dimensionality_twonn
11964,6,2.1920039653778076,199,intrinsic_dimensionality_twonn
7226,6,2.192277431488037,200,intrinsic_dimensionality_twonn
39046,6,2.1935789585113525,201,intrinsic_dimensionality_twonn
26265,2,2.2047908306121826,202,intrinsic_dimensionality_twonn
17957,6,2.204857349395752,203,intrinsic_dimensionality_twonn
19184,6,2.2051186561584473,204,intrinsic_dimensionality_twonn
38548,6,2.2072861194610596,205,intrinsic_dimensionality_twonn
38224,0,2.217719793319702,206,intrinsic_dimensionality_twonn
16499,6,2.217992067337036,207,intrinsic_dimensionality_twonn
46856,6,2.221662759780884,208,intrinsic_dimensionality_twonn
43974,4,2.222815990447998,209,intrinsic_dimensionality_twonn
2937,6,2.2231528759002686,210,intrinsic_dimensionality_twonn
14853,4,2.224261522293091,211,intrinsic_dimensionality_twonn
25999,6,2.227797031402588,212,intrinsic_dimensionality_twonn
31118,6,2.2320218086242676,213,intrinsic_dimensionality_twonn
25652,1,2.235495090484619,214,intrinsic_dimensionality_twonn
29405,4,2.235987663269043,215,intrinsic_dimensionality_twonn
23691,6,2.2363874912261963,216,intrinsic_dimensionality_twonn
22847,0,2.2378668785095215,217,intrinsic_dimensionality_twonn
22836,6,2.2379841804504395,218,intrinsic_dimensionality_twonn
20384,6,2.238344669342041,219,intrinsic_dimensionality_twonn
26829,6,2.2419285774230957,220,intrinsic_dimensionality_twonn
3970,4,2.247708797454834,221,intrinsic_dimensionality_twonn
6810,6,2.2485947608947754,222,intrinsic_dimensionality_twonn
45019,6,2.2526206970214844,223,intrinsic_dimensionality_twonn
25427,2,2.264110565185547,224,intrinsic_dimensionality_twonn
1681,1,2.2641210556030273,225,intrinsic_dimensionality_twonn
4377,6,2.264446973800659,226,intrinsic_dimensionality_twonn
38571,1,2.265791177749634,227,intrinsic_dimensionality_twonn
914,6,2.265963077545166,228,intrinsic_dimensionality_twonn
4144,6,2.2659683227539062,229,intrinsic_dimensionality_twonn
45582,6,2.266761302947998,230,intrinsic_dimensionality_twonn
48780,4,2.2671098709106445,231,intrinsic_dimensionality_twonn
26865,4,2.270280599594116,232,intrinsic_dimensionality_twonn
16059,6,2.2708020210266113,233,intrinsic_dimensionality_twonn
23421,4,2.272733688354492,234,intrinsic_dimensionality_twonn
25085,6,2.274055004119873,235,intrinsic_dimensionality_twonn
17326,6,2.2743077278137207,236,intrinsic_dimensionality_twonn
46490,4,2.2751364707946777,237,intrinsic_dimensionality_twonn
48201,6,2.2765839099884033,238,intrinsic_dimensionality_twonn
19761,0,2.2783315181732178,239,intrinsic_dimensionality_twonn
43317,1,2.2807106971740723,240,intrinsic_dimensionality_twonn
15110,6,2.2821872234344482,241,intrinsic_dimensionality_twonn
18627,4,2.287529945373535,242,intrinsic_dimensionality_twonn
19552,6,2.2875425815582275,243,intrinsic_dimensionality_twonn
7715,6,2.2875864505767822,244,intrinsic_dimensionality_twonn
36254,0,2.291109800338745,245,intrinsic_dimensionality_twonn
23269,6,2.291778087615967,246,intrinsic_dimensionality_twonn
29627,6,2.2922170162200928,247,intrinsic_dimensionality_twonn
11609,6,2.2933263778686523,248,intrinsic_dimensionality_twonn
36069,6,2.2936179637908936,249,intrinsic_dimensionality_twonn
46052,6,2.294455051422119,250,intrinsic_dimensionality_twonn
43074,6,2.295379877090454,251,intrinsic_dimensionality_twonn
23686,6,2.2959437370300293,252,intrinsic_dimensionality_twonn
49364,6,2.297058582305908,253,intrinsic_dimensionality_twonn
15462,1,2.29827880859375,254,intrinsic_dimensionality_twonn
20890,4,2.2989096641540527,255,intrinsic_dimensionality_twonn
32843,3,2.3009912967681885,256,intrinsic_dimensionality_twonn
24966,6,2.3027496337890625,257,intrinsic_dimensionality_twonn
3504,6,2.3097035884857178,258,intrinsic_dimensionality_twonn
29494,1,2.3110430240631104,259,intrinsic_dimensionality_twonn
19985,2,2.3113818168640137,260,intrinsic_dimensionality_twonn
2507,2,2.312093496322632,261,intrinsic_dimensionality_twonn
49821,8,2.312439441680908,262,intrinsic_dimensionality_twonn
10025,6,2.3126108646392822,263,intrinsic_dimensionality_twonn
10113,6,2.316087245941162,264,intrinsic_dimensionality_twonn
49210,6,2.3166582584381104,265,intrinsic_dimensionality_twonn
37995,1,2.317014694213867,266,intrinsic_dimensionality_twonn
23252,4,2.3220927715301514,267,intrinsic_dimensionality_twonn
27680,6,2.3258213996887207,268,intrinsic_dimensionality_twonn
42873,6,2.326155662536621,269,intrinsic_dimensionality_twonn
47764,6,2.3274335861206055,270,intrinsic_dimensionality_twonn
26514,8,2.3314247131347656,271,intrinsic_dimensionality_twonn
39823,6,2.333188056945801,272,intrinsic_dimensionality_twonn
1901,1,2.34163236618042,273,intrinsic_dimensionality_twonn
18895,6,2.341776132583618,274,intrinsic_dimensionality_twonn
2362,1,2.343386650085449,275,intrinsic_dimensionality_twonn
39010,6,2.345341205596924,276,intrinsic_dimensionality_twonn
28980,6,2.3461875915527344,277,intrinsic_dimensionality_twonn
27792,1,2.348998785018921,278,intrinsic_dimensionality_twonn
40617,6,2.352790355682373,279,intrinsic_dimensionality_twonn
35396,6,2.353250741958618,280,intrinsic_dimensionality_twonn
48072,6,2.35650897026062,281,intrinsic_dimensionality_twonn
25429,4,2.3603086471557617,282,intrinsic_dimensionality_twonn
49758,4,2.3620119094848633,283,intrinsic_dimensionality_twonn
49135,6,2.362285852432251,284,intrinsic_dimensionality_twonn
9979,2,2.36256742477417,285,intrinsic_dimensionality_twonn
34505,6,2.3639755249023438,286,intrinsic_dimensionality_twonn
19588,6,2.3647186756134033,287,intrinsic_dimensionality_twonn
10629,4,2.3727259635925293,288,intrinsic_dimensionality_twonn
32278,2,2.37355637550354,289,intrinsic_dimensionality_twonn
9661,4,2.375056028366089,290,intrinsic_dimensionality_twonn
26834,6,2.376317024230957,291,intrinsic_dimensionality_twonn
5263,6,2.3788328170776367,292,intrinsic_dimensionality_twonn
7911,6,2.379379987716675,293,intrinsic_dimensionality_twonn
323,1,2.3805904388427734,294,intrinsic_dimensionality_twonn
17884,0,2.3816025257110596,295,intrinsic_dimensionality_twonn
22818,1,2.3830056190490723,296,intrinsic_dimensionality_twonn
23563,6,2.3874776363372803,297,intrinsic_dimensionality_twonn
28504,6,2.3894829750061035,298,intrinsic_dimensionality_twonn
3478,0,2.390204906463623,299,intrinsic_dimensionality_twonn
15625,4,2.3916056156158447,300,intrinsic_dimensionality_twonn
38450,6,2.3926548957824707,301,intrinsic_dimensionality_twonn
28538,1,2.3941452503204346,302,intrinsic_dimensionality_twonn
36661,6,2.3946316242218018,303,intrinsic_dimensionality_twonn
24781,6,2.395465850830078,304,intrinsic_dimensionality_twonn
34603,6,2.3960330486297607,305,intrinsic_dimensionality_twonn
13117,6,2.3962597846984863,306,intrinsic_dimensionality_twonn
9839,6,2.3968448638916016,307,intrinsic_dimensionality_twonn
17484,6,2.396857738494873,308,intrinsic_dimensionality_twonn
27404,1,2.398190498352051,309,intrinsic_dimensionality_twonn
22153,4,2.398287057876587,310,intrinsic_dimensionality_twonn
15376,2,2.3987720012664795,311,intrinsic_dimensionality_twonn
17744,6,2.399989604949951,312,intrinsic_dimensionality_twonn
22363,6,2.4014711380004883,313,intrinsic_dimensionality_twonn
26897,4,2.401700973510742,314,intrinsic_dimensionality_twonn
26629,2,2.402717351913452,315,intrinsic_dimensionality_twonn
19608,6,2.403884172439575,316,intrinsic_dimensionality_twonn
31322,1,2.404374122619629,317,intrinsic_dimensionality_twonn
10517,6,2.4067277908325195,318,intrinsic_dimensionality_twonn
40398,2,2.4083757400512695,319,intrinsic_dimensionality_twonn
13127,6,2.4086387157440186,320,intrinsic_dimensionality_twonn
36853,1,2.4113171100616455,321,intrinsic_dimensionality_twonn
701,2,2.4139046669006348,322,intrinsic_dimensionality_twonn
