epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.31640625,,1.974207878112793,,
0,78,,,,,,,0.32010000944137573,2.2489326000213623
0,78,,,0.21837499737739563,,2.6145801544189453,,,
1,99,,,,0.29296875,,1.858429193496704,,
1,149,,,,0.380859375,,1.6705305576324463,,
1,157,,,,,,,0.35589998960494995,1.7599234580993652
1,157,,,0.3285749852657318,,1.8379193544387817,,,
2,199,,,,0.361328125,,1.851636528968811,,
2,236,,,,,,,0.37450000643730164,1.755516767501831
2,236,,,0.39285001158714294,,1.6557941436767578,,,
3,249,,,,0.384765625,,1.6045300960540771,,
3,299,,,,0.4765625,,1.4731690883636475,,
3,315,,,,,,,0.3677999973297119,2.0172183513641357
3,315,,,0.4313249886035919,,1.5492571592330933,,,
4,349,,,,0.47265625,,1.431583046913147,,
4,394,,,,,,,0.46070000529289246,1.7765367031097412
4,394,,,0.4507000148296356,,1.5173097848892212,,,
5,399,,,,0.466796875,,1.5858981609344482,,
5,449,,,,0.525390625,,1.3098578453063965,,
5,473,,,,,,,0.42800000309944153,3.284541130065918
5,473,,,0.49732500314712524,,1.3902308940887451,,,
6,499,,,,0.53515625,,1.2760159969329834,,
6,549,,,,0.55078125,,1.2421635389328003,,
6,552,,,,,,,0.4912000000476837,1.7854068279266357
6,552,,,0.5278750061988831,,1.3110063076019287,,,
7,599,,,,0.55078125,,1.2303968667984009,,
7,631,,,,,,,0.5425999760627747,1.4045506715774536
7,631,,,0.5511749982833862,,1.2462310791015625,,,
8,649,,,,0.54296875,,1.2599399089813232,,
8,699,,,,0.541015625,,1.2539302110671997,,
8,710,,,,,,,0.5965999960899353,1.1749508380889893
8,710,,,0.5701249837875366,,1.2014461755752563,,,
9,749,,,,0.599609375,,1.0860869884490967,,
9,789,,,,,,,0.5712000131607056,1.3509701490402222
9,789,,,0.5933250188827515,,1.1399182081222534,,,
10,799,,,,0.59375,,1.0834686756134033,,
10,849,,,,0.62109375,,1.047135829925537,,
10,868,,,,,,,0.4392000138759613,2.0693228244781494
10,868,,,0.6098250150680542,,1.0965465307235718,,,
11,899,,,,0.583984375,,1.193136215209961,,
11,947,,,,,,,0.527999997138977,1.5429253578186035
11,947,,,0.5986499786376953,,1.1292775869369507,,,
12,949,,,,0.556640625,,1.2649438381195068,,
12,999,,,,0.6171875,,1.1007771492004395,,
12,1026,,,,,,,0.6359999775886536,1.075392484664917
12,1026,,,0.6262000203132629,,1.0571714639663696,,,
13,1049,,,,0.619140625,,1.0378851890563965,,
13,1099,,,,0.666015625,,0.9510883092880249,,
13,1105,,,,,,,0.659600019454956,1.1071672439575195
13,1105,,,0.637374997138977,,1.0208977460861206,,,
14,1149,,,,0.64453125,,1.026245355606079,,
14,1184,,,,,,,0.6292999982833862,2.710783004760742
14,1184,,,0.6466000080108643,,0.9891554713249207,,,
15,1199,,,,0.630859375,,0.9594944715499878,,
15,1249,,,,0.708984375,,0.9284132122993469,,
15,1263,,,,,,,0.6539999842643738,1.1120442152023315
15,1263,,,0.6519250273704529,,0.9795267581939697,,,
16,1299,,,,0.6484375,,0.966019332408905,,
16,1342,,,,,,,0.6972000002861023,0.8631045818328857
16,1342,,,0.6658250093460083,,0.9417458772659302,,,
17,1349,,,,0.650390625,,0.904151976108551,,
17,1399,,,,0.693359375,,0.8894001841545105,,
17,1421,,,,,,,0.6736000180244446,0.9956401586532593
17,1421,,,0.6771249771118164,,0.9115396738052368,,,
18,1449,,,,0.703125,,0.8732016086578369,,
18,1499,,,,0.66015625,,0.9632347226142883,,
18,1500,,,,,,,0.47130000591278076,1.854995846748352
18,1500,,,0.6822249889373779,,0.8992144465446472,,,
19,1549,,,,0.689453125,,0.8948607444763184,,
19,1579,,,,,,,0.7050999999046326,0.8710210919380188
19,1579,,,0.6556500196456909,,0.9696694612503052,,,
20,1599,,,,0.716796875,,0.863501787185669,,
20,1649,,,,0.68359375,,0.9035969376564026,,
20,1658,,,,,,,0.6901000142097473,0.9358006119728088
20,1658,,,0.6891499757766724,,0.8791087865829468,,,
21,1699,,,,0.65625,,0.9760618805885315,,
21,1737,,,,,,,0.6984999775886536,0.8876708745956421
21,1737,,,0.6920250058174133,,0.863289475440979,,,
22,1749,,,,0.67578125,,0.8849080801010132,,
22,1799,,,,0.6953125,,0.8195429444313049,,
22,1816,,,,,,,0.7296000123023987,0.7899319529533386
22,1816,,,0.6985999941825867,,0.8476366400718689,,,
23,1849,,,,0.72265625,,0.7589160799980164,,
23,1895,,,,,,,0.7174999713897705,0.8540505170822144
23,1895,,,0.7068750262260437,,0.8278458118438721,,,
24,1899,,,,0.708984375,,0.8211691379547119,,
24,1949,,,,0.701171875,,0.8390997648239136,,
24,1974,,,,,,,0.7179999947547913,0.9209173917770386
24,1974,,,0.7070500254631042,,0.8210986256599426,,,
25,1999,,,,0.73046875,,0.7199477553367615,,
25,2049,,,,0.7265625,,0.8087402582168579,,
25,2053,,,,,,,0.7193999886512756,0.8479207754135132
25,2053,,,0.7135999798774719,,0.8062880039215088,,,
26,2099,,,,0.734375,,0.764366626739502,,
26,2132,,,,,,,0.6983000040054321,0.9002893567085266
26,2132,,,0.7200750112533569,,0.789125382900238,,,
27,2149,,,,0.716796875,,0.7693235278129578,,
27,2199,,,,0.697265625,,0.7713310718536377,,
27,2211,,,,,,,0.7513999938964844,0.7206408977508545
27,2211,,,0.723550021648407,,0.7847122550010681,,,
28,2249,,,,0.720703125,,0.8065194487571716,,
28,2290,,,,,,,0.7422000169754028,0.7686480283737183
28,2290,,,0.73089998960495,,0.7594909071922302,,,
29,2299,,,,0.76953125,,0.6920920014381409,,
29,2349,,,,0.75390625,,0.7214876413345337,,
29,2369,,,,,,,0.6926000118255615,0.9213010668754578
29,2369,,,0.7366250157356262,,0.749244749546051,,,
30,2399,,,,0.728515625,,0.7678053975105286,,
30,2448,,,,,,,0.7383999824523926,0.7628204822540283
30,2448,,,0.7339749932289124,,0.7476779818534851,,,
31,2449,,,,0.728515625,,0.7500677108764648,,
31,2499,,,,0.7421875,,0.7403666973114014,,
31,2527,,,,,,,0.7232999801635742,0.8799045085906982
31,2527,,,0.7407000064849854,,0.7320215106010437,,,
32,2549,,,,0.732421875,,0.7390612959861755,,
32,2599,,,,0.755859375,,0.6504387855529785,,
32,2606,,,,,,,0.751800000667572,0.7428021430969238
32,2606,,,0.7422000169754028,,0.728976309299469,,,
33,2649,,,,0.765625,,0.6633720993995667,,
33,2685,,,,,,,0.7391999959945679,0.7868954539299011
33,2685,,,0.7458500266075134,,0.7179043889045715,,,
34,2699,,,,0.74609375,,0.7490338087081909,,
34,2749,,,,0.751953125,,0.691847026348114,,
34,2764,,,,,,,0.7749999761581421,0.6756962537765503
34,2764,,,0.751675009727478,,0.7055392861366272,,,
35,2799,,,,0.779296875,,0.652133584022522,,
35,2843,,,,,,,0.7454000115394592,0.7561835646629333
35,2843,,,0.7524499893188477,,0.6953900456428528,,,
36,2849,,,,0.771484375,,0.7296290397644043,,
36,2899,,,,0.802734375,,0.6222836375236511,,
36,2922,,,,,,,0.754800021648407,0.7422401905059814
36,2922,,,0.7578499913215637,,0.6901501417160034,,,
37,2949,,,,0.728515625,,0.7326671481132507,,
37,2999,,,,0.791015625,,0.6375330090522766,,
