method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,0.8561999797821045,0.5380273461341858,0.8517000079154968
random,0,64,0.852400004863739,0.4966067969799042,0.8429999947547913
random,0,128,0.8568000197410583,0.483978658914566,0.8403000235557556
random,10,32,0.8309000134468079,0.5549860596656799,0.822700023651123
random,10,64,0.8409000039100647,0.5174724459648132,0.8288000226020813
random,10,128,0.8391000032424927,0.5388001799583435,0.8334000110626221
random,20,32,0.8281999826431274,0.5561183094978333,0.8167999982833862
random,20,64,0.8439000248908997,0.5576204657554626,0.8338000178337097
random,20,128,0.8375999927520752,0.5291994214057922,0.8213000297546387
random,30,32,0.8203999996185303,0.5883379578590393,0.807200014591217
random,30,64,0.8305000066757202,0.5811681747436523,0.8202999830245972
random,30,128,0.8181999921798706,0.6206018328666687,0.7993000149726868
random,50,32,0.802299976348877,0.6719923615455627,0.7918999791145325
random,50,64,0.7991999983787537,0.6796449422836304,0.7989000082015991
random,50,128,0.7986999750137329,0.6764124631881714,0.7925000190734863
random,70,32,0.7437000274658203,0.8557343482971191,0.7265999913215637
random,70,64,0.745199978351593,0.868533194065094,0.7343000173568726
random,70,128,0.7249000072479248,0.9352856278419496,0.7111999988555908
random,90,32,0.5825999975204468,1.3631994724273682,0.5814999938011169
random,90,64,0.5827000141143799,1.4315344095230105,0.5715000033378601
random,90,128,0.5626000165939331,1.3986328840255735,0.5403000116348267
