epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.275390625,,1.974663257598877,,
0,78,,,,,,,0.29089999198913574,4.3888468742370605
0,78,,,0.24267500638961792,,2.427495002746582,,,
1,99,,,,0.34375,,1.8552794456481934,,
1,149,,,,0.388671875,,1.8590469360351562,,
1,157,,,,,,,0.3522000014781952,1.823792576789856
1,157,,,0.36160001158714294,,1.7863993644714355,,,
2,199,,,,0.435546875,,1.5615710020065308,,
2,236,,,,,,,0.4350000023841858,2.3996012210845947
2,236,,,0.41107499599456787,,1.6338409185409546,,,
3,249,,,,0.44921875,,1.5263711214065552,,
3,299,,,,0.5078125,,1.3628833293914795,,
3,315,,,,,,,0.3395000100135803,9.456255912780762
3,315,,,0.45592498779296875,,1.51692533493042,,,
4,349,,,,0.455078125,,1.4468306303024292,,
4,394,,,,,,,0.5393999814987183,1.4180384874343872
4,394,,,0.46642500162124634,,1.4746978282928467,,,
5,399,,,,0.48828125,,1.456981897354126,,
5,449,,,,0.53125,,1.2067952156066895,,
5,473,,,,,,,0.5361999869346619,1.5253115892410278
5,473,,,0.518625020980835,,1.3460856676101685,,,
6,499,,,,0.572265625,,1.2381350994110107,,
6,549,,,,0.55859375,,1.2276194095611572,,
6,552,,,,,,,0.5156999826431274,3.775087594985962
6,552,,,0.546750009059906,,1.2614411115646362,,,
7,599,,,,0.576171875,,1.1689739227294922,,
7,631,,,,,,,0.5577999949455261,1.3298381567001343
7,631,,,0.5675749778747559,,1.2095636129379272,,,
8,649,,,,0.595703125,,1.1778454780578613,,
8,699,,,,0.607421875,,1.1135835647583008,,
8,710,,,,,,,0.61080002784729,1.1954787969589233
8,710,,,0.5907750129699707,,1.1534782648086548,,,
9,749,,,,0.634765625,,1.0487051010131836,,
9,789,,,,,,,0.588100016117096,1.377541422843933
9,789,,,0.6095499992370605,,1.0946828126907349,,,
10,799,,,,0.595703125,,1.135094404220581,,
10,849,,,,0.65234375,,0.9610049724578857,,
10,868,,,,,,,0.5781999826431274,1.311987042427063
10,868,,,0.6191499829292297,,1.067165493965149,,,
11,899,,,,0.625,,1.053486704826355,,
11,947,,,,,,,0.5929999947547913,1.6820673942565918
11,947,,,0.6320250034332275,,1.0372555255889893,,,
12,949,,,,0.591796875,,1.113158941268921,,
12,999,,,,0.630859375,,0.9975849986076355,,
12,1026,,,,,,,0.6656000018119812,0.9722161293029785
12,1026,,,0.6368749737739563,,1.0229507684707642,,,
13,1049,,,,0.63671875,,0.9331961870193481,,
13,1099,,,,0.650390625,,0.951409101486206,,
13,1105,,,,,,,0.6420999765396118,1.0947926044464111
13,1105,,,0.6535500288009644,,0.9709870219230652,,,
14,1149,,,,0.63671875,,1.034717321395874,,
14,1184,,,,,,,0.6646000146865845,0.9978545904159546
14,1184,,,0.6612750291824341,,0.9548726677894592,,,
15,1199,,,,0.693359375,,0.8967814445495605,,
15,1249,,,,0.677734375,,0.8828663229942322,,
15,1263,,,,,,,0.6825000047683716,0.9424790740013123
15,1263,,,0.6701499819755554,,0.9269121289253235,,,
16,1299,,,,0.6640625,,0.9637658596038818,,
16,1342,,,,,,,0.6672000288963318,1.0865470170974731
16,1342,,,0.6769000291824341,,0.9102811813354492,,,
17,1349,,,,0.666015625,,0.9417135119438171,,
17,1399,,,,0.67578125,,0.9021666049957275,,
17,1421,,,,,,,0.7074999809265137,0.8788260817527771
17,1421,,,0.6850500106811523,,0.8910073041915894,,,
18,1449,,,,0.7265625,,0.7664371728897095,,
18,1499,,,,0.69140625,,0.8732858896255493,,
18,1500,,,,,,,0.678600013256073,0.9348738193511963
18,1500,,,0.6938999891281128,,0.8704896569252014,,,
19,1549,,,,0.689453125,,0.8395535945892334,,
19,1579,,,,,,,0.6863999962806702,0.9335934519767761
19,1579,,,0.6951749920845032,,0.8531991243362427,,,
20,1599,,,,0.71484375,,0.8337175846099854,,
20,1649,,,,0.6796875,,0.8876619338989258,,
20,1658,,,,,,,0.713100016117096,0.9353784322738647
20,1658,,,0.701324999332428,,0.8380984663963318,,,
21,1699,,,,0.71484375,,0.8206815719604492,,
21,1737,,,,,,,0.6827999949455261,1.1308863162994385
21,1737,,,0.706849992275238,,0.8277725577354431,,,
22,1749,,,,0.705078125,,0.8540325164794922,,
22,1799,,,,0.732421875,,0.7524145841598511,,
22,1816,,,,,,,0.7330999970436096,0.7893286347389221
22,1816,,,0.7153499722480774,,0.806822657585144,,,
23,1849,,,,0.703125,,0.7883020639419556,,
23,1895,,,,,,,0.6523000001907349,1.0743205547332764
23,1895,,,0.7231749892234802,,0.7885191440582275,,,
24,1899,,,,0.669921875,,0.8670785427093506,,
24,1949,,,,0.74609375,,0.7510184049606323,,
24,1974,,,,,,,0.7432000041007996,0.7649450898170471
24,1974,,,0.7204999923706055,,0.7921326160430908,,,
25,1999,,,,0.71875,,0.7980090379714966,,
25,2049,,,,0.728515625,,0.7903449535369873,,
25,2053,,,,,,,0.6895999908447266,0.9483596682548523
25,2053,,,0.7243499755859375,,0.7788636088371277,,,
26,2099,,,,0.7421875,,0.6924242973327637,,
26,2132,,,,,,,0.7641000151634216,0.696585476398468
26,2132,,,0.7277250289916992,,0.7705107927322388,,,
27,2149,,,,0.748046875,,0.6691303849220276,,
27,2199,,,,0.724609375,,0.7653214931488037,,
27,2211,,,,,,,0.6741999983787537,1.4379627704620361
27,2211,,,0.7375249862670898,,0.7435292601585388,,,
28,2249,,,,0.728515625,,0.6993163228034973,,
28,2290,,,,,,,0.7452999949455261,0.7628535032272339
28,2290,,,0.7350500226020813,,0.7514430284500122,,,
29,2299,,,,0.787109375,,0.6531801819801331,,
29,2349,,,,0.767578125,,0.6827313899993896,,
29,2369,,,,,,,0.7311000227928162,0.897079586982727
29,2369,,,0.7434750199317932,,0.7234837412834167,,,
30,2399,,,,0.771484375,,0.6616637706756592,,
30,2448,,,,,,,0.7663000226020813,0.7002075910568237
30,2448,,,0.7410249710083008,,0.7304394245147705,,,
31,2449,,,,0.720703125,,0.7839836478233337,,
31,2499,,,,0.751953125,,0.702792763710022,,
31,2527,,,,,,,0.7336000204086304,0.818587601184845
31,2527,,,0.7498250007629395,,0.7074260711669922,,,
32,2549,,,,0.734375,,0.7073836326599121,,
32,2599,,,,0.7578125,,0.6621372699737549,,
32,2606,,,,,,,0.650600016117096,1.103649377822876
32,2606,,,0.7485250234603882,,0.7141070365905762,,,
33,2649,,,,0.759765625,,0.7016780376434326,,
33,2685,,,,,,,0.7404000163078308,0.7757169008255005
33,2685,,,0.7521499991416931,,0.7032620310783386,,,
34,2699,,,,0.763671875,,0.6792563199996948,,
34,2749,,,,0.73828125,,0.7023850083351135,,
34,2764,,,,,,,0.770799994468689,0.675942599773407
34,2764,,,0.753849983215332,,0.6941092014312744,,,
35,2799,,,,0.775390625,,0.6763681173324585,,
35,2843,,,,,,,0.7476000189781189,0.7993711233139038
35,2843,,,0.7574999928474426,,0.6820204854011536,,,
36,2849,,,,0.701171875,,0.8096495270729065,,
36,2899,,,,0.748046875,,0.7404986619949341,,
36,2922,,,,,,,0.7448999881744385,0.7915300726890564
36,2922,,,0.7637749910354614,,0.6716096997261047,,,
37,2949,,,,0.7734375,,0.6987906694412231,,
37,2999,,,,0.74609375,,0.6635702848434448,,
37,3001,,,,,,,0.7653999924659729,0.7294197678565979
37,3001,,,0.7652999758720398,,0.6694350838661194,,,
38,3049,,,,0.759765625,,0.6806458234786987,,
38,3080,,,,,,,0.761900007724762,0.7455477118492126
