epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,39,,,,,,,0.16599999368190765,4.723643779754639
0,39,,,0.1754000037908554,,3.90757417678833,,,
1,49,,,,0.25,,2.040663719177246,,
1,79,,,,,,,0.19580000638961792,3.068568468093872
1,79,,,0.2868500053882599,,2.0020501613616943,,,
2,99,,,,0.330078125,,1.8438053131103516,,
2,119,,,,,,,0.15369999408721924,5.38355016708374
2,119,,,0.3052999973297119,,1.9007419347763062,,,
3,149,,,,0.361328125,,1.7534618377685547,,
3,159,,,,,,,0.26030001044273376,2.272556781768799
3,159,,,0.3152500092983246,,1.8528143167495728,,,
4,199,,,,0.375,,1.5993428230285645,,
4,199,,,,,,,0.29919999837875366,2.0991973876953125
4,199,,,0.3560999929904938,,1.7293611764907837,,,
5,239,,,,,,,0.34380000829696655,2.0895752906799316
5,239,,,0.367900013923645,,1.674414038658142,,,
6,249,,,,0.392578125,,1.7367409467697144,,
6,279,,,,,,,0.32409998774528503,2.1760241985321045
6,279,,,0.39195001125335693,,1.6580085754394531,,,
7,299,,,,0.384765625,,1.7059035301208496,,
7,319,,,,,,,0.3734999895095825,1.8050322532653809
7,319,,,0.40244999527931213,,1.608751654624939,,,
8,349,,,,0.423828125,,1.463289499282837,,
8,359,,,,,,,0.3783000111579895,1.79054594039917
8,359,,,0.4198499917984009,,1.563511848449707,,,
9,399,,,,0.4375,,1.326324462890625,,
9,399,,,,,,,0.4239000082015991,1.748487114906311
9,399,,,0.44005000591278076,,1.5207182168960571,,,
10,439,,,,,,,0.36039999127388,1.8121728897094727
10,439,,,0.44885000586509705,,1.4973547458648682,,,
11,449,,,,0.453125,,1.4886679649353027,,
11,479,,,,,,,0.3977999985218048,1.818971872329712
11,479,,,0.4549500048160553,,1.4754586219787598,,,
12,499,,,,0.453125,,1.4766473770141602,,
12,519,,,,,,,0.46209999918937683,1.492830753326416
12,519,,,0.4726499915122986,,1.428887963294983,,,
13,549,,,,0.498046875,,1.3853785991668701,,
13,559,,,,,,,0.39489999413490295,2.0744030475616455
13,559,,,0.4859499931335449,,1.4080994129180908,,,
14,599,,,,0.46875,,1.31730318069458,,
14,599,,,,,,,0.4237000048160553,1.7591403722763062
14,599,,,0.4867999851703644,,1.4105628728866577,,,
15,639,,,,,,,0.49630001187324524,1.4379891157150269
15,639,,,0.5031499862670898,,1.3594017028808594,,,
16,649,,,,0.556640625,,1.2992284297943115,,
16,679,,,,,,,0.5034999847412109,1.4479619264602661
16,679,,,0.5268499851226807,,1.3131343126296997,,,
17,699,,,,0.5390625,,1.3226542472839355,,
17,719,,,,,,,0.49799999594688416,1.4512394666671753
17,719,,,0.5407999753952026,,1.2710082530975342,,,
18,749,,,,0.515625,,1.3327949047088623,,
18,759,,,,,,,0.41600000858306885,2.8386621475219727
18,759,,,0.5370000004768372,,1.2733999490737915,,,
19,799,,,,0.46875,,1.1882414817810059,,
19,799,,,,,,,0.49070000648498535,1.5207899808883667
19,799,,,0.5385500192642212,,1.2809337377548218,,,
20,839,,,,,,,0.4950000047683716,1.5865055322647095
20,839,,,0.5587999820709229,,1.2157655954360962,,,
21,849,,,,0.572265625,,1.2137887477874756,,
21,879,,,,,,,0.5249999761581421,1.4286904335021973
21,879,,,0.5680500268936157,,1.2042089700698853,,,
22,899,,,,0.599609375,,1.1589561700820923,,
22,919,,,,,,,0.5157999992370605,1.5260261297225952
22,919,,,0.5786499977111816,,1.1682898998260498,,,
23,949,,,,0.5859375,,1.1493866443634033,,
23,959,,,,,,,0.5464000105857849,1.3514827489852905
23,959,,,0.5895000100135803,,1.146031141281128,,,
24,999,,,,0.6875,,0.8844399452209473,,
24,999,,,,,,,0.6122999787330627,1.1046053171157837
24,999,,,0.5968499779701233,,1.126147747039795,,,
25,1039,,,,,,,0.5465999841690063,1.503146767616272
25,1039,,,0.6094499826431274,,1.0930486917495728,,,
26,1049,,,,0.583984375,,1.1620585918426514,,
26,1079,,,,,,,0.4887999892234802,1.632551908493042
26,1079,,,0.6045500040054321,,1.1056475639343262,,,
27,1099,,,,0.599609375,,1.0600323677062988,,
27,1119,,,,,,,0.5318999886512756,1.4534531831741333
27,1119,,,0.6164000034332275,,1.0747575759887695,,,
28,1149,,,,0.64453125,,1.0132851600646973,,
28,1159,,,,,,,0.5358999967575073,1.488339900970459
28,1159,,,0.6128000020980835,,1.083192229270935,,,
29,1199,,,,0.65625,,1.0605745315551758,,
29,1199,,,,,,,0.5823000073432922,1.2879443168640137
29,1199,,,0.6122499704360962,,1.0818392038345337,,,
30,1239,,,,,,,0.5128999948501587,1.6673513650894165
30,1239,,,0.6340500116348267,,1.0257935523986816,,,
31,1249,,,,0.626953125,,1.0380545854568481,,
31,1279,,,,,,,0.588699996471405,1.2035951614379883
31,1279,,,0.6304000020027161,,1.0314602851867676,,,
32,1299,,,,0.625,,1.0044907331466675,,
32,1319,,,,,,,0.6057999730110168,1.13258695602417
32,1319,,,0.6410499811172485,,1.0112359523773193,,,
33,1349,,,,0.666015625,,0.9968774318695068,,
33,1359,,,,,,,0.5799999833106995,1.275125503540039
33,1359,,,0.6409500241279602,,1.0136394500732422,,,
34,1399,,,,0.71875,,1.0664494037628174,,
34,1399,,,,,,,0.6263999938964844,1.09658682346344
34,1399,,,0.6490499973297119,,0.9830090999603271,,,
35,1439,,,,,,,0.6396999955177307,1.0375131368637085
35,1439,,,0.6542500257492065,,0.9687365293502808,,,
36,1449,,,,0.681640625,,0.88554847240448,,
36,1479,,,,,,,0.5841000080108643,1.3048465251922607
36,1479,,,0.6659500002861023,,0.9404057860374451,,,
37,1499,,,,0.638671875,,0.9817971587181091,,
37,1519,,,,,,,0.5598000288009644,1.415971279144287
37,1519,,,0.6621000170707703,,0.9536688327789307,,,
38,1549,,,,0.69140625,,0.8630027174949646,,
38,1559,,,,,,,0.6187000274658203,1.136942982673645
38,1559,,,0.6540499925613403,,0.9763287305831909,,,
39,1599,,,,0.59375,,1.2725101709365845,,
39,1599,,,,,,,0.5889999866485596,1.2280634641647339
39,1599,,,0.6636499762535095,,0.9429017305374146,,,
40,1639,,,,,,,0.6639000177383423,1.0013656616210938
40,1639,,,0.6604999899864197,,0.9532918930053711,,,
41,1649,,,,0.671875,,0.9180569648742676,,
41,1679,,,,,,,0.6269999742507935,1.120910882949829
41,1679,,,0.6777999997138977,,0.902197539806366,,,
42,1699,,,,0.703125,,0.8609294891357422,,
42,1719,,,,,,,0.5601999759674072,1.363204836845398
42,1719,,,0.6714500188827515,,0.9185267686843872,,,
43,1749,,,,0.6953125,,0.8638060092926025,,
43,1759,,,,,,,0.6230999827384949,1.131788730621338
43,1759,,,0.6761999726295471,,0.9094977378845215,,,
44,1799,,,,0.5,,1.3242199420928955,,
44,1799,,,,,,,0.6251000165939331,1.1255666017532349
44,1799,,,0.6794999837875366,,0.8980503082275391,,,
45,1839,,,,,,,0.6669999957084656,0.9787459969520569
45,1839,,,0.6837999820709229,,0.8885847926139832,,,
46,1849,,,,0.681640625,,0.8918181657791138,,
46,1879,,,,,,,0.6603000164031982,1.0128421783447266
46,1879,,,0.691349983215332,,0.8708165287971497,,,
47,1899,,,,0.751953125,,0.7466906905174255,,
47,1919,,,,,,,0.6028000116348267,1.2298333644866943
47,1919,,,0.6955000162124634,,0.8555514812469482,,,
48,1949,,,,0.740234375,,0.7364819049835205,,
48,1959,,,,,,,0.6284000277519226,1.1908901929855347
48,1959,,,0.6998500227928162,,0.8508315682411194,,,
49,1999,,,,0.6875,,0.8545784950256348,,
49,1999,,,,,,,0.6395000219345093,1.1444413661956787
49,1999,,,0.7002999782562256,,0.8464657068252563,,,
50,2039,,,,,,,0.6284000277519226,1.175047755241394
50,2039,,,0.7024000287055969,,0.8417872190475464,,,
51,2049,,,,0.69921875,,0.845677375793457,,
51,2079,,,,,,,0.6247000098228455,1.1597611904144287
51,2079,,,0.703249990940094,,0.8244034051895142,,,
52,2099,,,,0.671875,,0.8619886636734009,,
52,2119,,,,,,,0.6466000080108643,1.1051228046417236
52,2119,,,0.6992499828338623,,0.8487122058868408,,,
53,2149,,,,0.703125,,0.8800038695335388,,
53,2159,,,,,,,0.6090999841690063,1.1986422538757324
53,2159,,,0.7063999772071838,,0.8324389457702637,,,
54,2199,,,,0.625,,1.0899075269699097,,
54,2199,,,,,,,0.6365000009536743,1.101891040802002
54,2199,,,0.7158499956130981,,0.8012098670005798,,,
55,2239,,,,,,,0.6823999881744385,0.9489719867706299
55,2239,,,0.7124500274658203,,0.8186686635017395,,,
56,2249,,,,0.716796875,,0.8017675876617432,,
56,2279,,,,,,,0.6759999990463257,1.0133455991744995
