epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.267578125,,1.9839446544647217,,
0,54,,,,,,,0.21070000529289246,2.1158268451690674
0,54,,,0.2033928632736206,,2.94136643409729,,,
1,99,,,,0.31640625,,1.8863327503204346,,
1,109,,,,,,,0.2858999967575073,2.4199023246765137
1,109,,,0.3147857189178467,,1.930014967918396,,,
2,149,,,,0.3984375,,1.6926108598709106,,
2,164,,,,,,,0.34689998626708984,2.710090160369873
2,164,,,0.3751428425312042,,1.7357057332992554,,,
3,199,,,,0.435546875,,1.5742205381393433,,
3,219,,,,,,,0.40639999508857727,1.6695427894592285
3,219,,,0.43535715341567993,,1.5776842832565308,,,
4,249,,,,0.5,,1.3691831827163696,,
4,274,,,,,,,0.45590001344680786,1.568030834197998
4,274,,,0.47592857480049133,,1.443158507347107,,,
5,299,,,,0.537109375,,1.290640115737915,,
5,329,,,,,,,0.4884999990463257,1.5295357704162598
5,329,,,0.5208214521408081,,1.3331173658370972,,,
6,349,,,,0.5625,,1.2411515712738037,,
6,384,,,,,,,0.5,1.6589291095733643
6,384,,,0.5526071190834045,,1.2435121536254883,,,
7,399,,,,0.552734375,,1.2432039976119995,,
7,439,,,,,,,0.5432000160217285,1.3828532695770264
7,439,,,0.5867142677307129,,1.1565430164337158,,,
8,449,,,,0.62890625,,1.1094281673431396,,
8,494,,,,,,,0.5569000244140625,1.3662828207015991
8,494,,,0.6185356974601746,,1.0713801383972168,,,
9,499,,,,0.59765625,,1.0827802419662476,,
9,549,,,,0.625,,1.0618960857391357,,
9,549,,,,,,,0.5658000111579895,1.3499022722244263
9,549,,,0.6452857255935669,,0.9968967437744141,,,
10,599,,,,0.681640625,,0.882522702217102,,
10,604,,,,,,,0.5888000130653381,1.3689453601837158
10,604,,,0.6760357022285461,,0.9231590628623962,,,
11,649,,,,0.66796875,,0.9407644271850586,,
11,659,,,,,,,0.5848000049591064,1.3472084999084473
11,659,,,0.6939643025398254,,0.8672940731048584,,,
12,699,,,,0.740234375,,0.8242087364196777,,
12,714,,,,,,,0.619700014591217,1.2183486223220825
12,714,,,0.7159285545349121,,0.8083500862121582,,,
13,749,,,,0.720703125,,0.7566816210746765,,
13,769,,,,,,,0.6147000193595886,1.2678956985473633
13,769,,,0.735964298248291,,0.7529969811439514,,,
14,799,,,,0.76953125,,0.6793692111968994,,
14,824,,,,,,,0.6294000148773193,1.2957183122634888
14,824,,,0.753678560256958,,0.7113140225410461,,,
15,849,,,,0.77734375,,0.6180965900421143,,
15,879,,,,,,,0.6463000178337097,1.1535146236419678
15,879,,,0.7659285664558411,,0.6711033582687378,,,
16,899,,,,0.77734375,,0.6905949115753174,,
16,934,,,,,,,0.6700999736785889,1.055905818939209
16,934,,,0.7772142887115479,,0.6440088748931885,,,
17,949,,,,0.78125,,0.6093588471412659,,
17,989,,,,,,,0.6829000115394592,1.0336904525756836
17,989,,,0.7885357141494751,,0.610741138458252,,,
18,999,,,,0.83203125,,0.5276259183883667,,
18,1044,,,,,,,0.6751000285148621,1.0788949728012085
18,1044,,,0.7975357174873352,,0.5829698443412781,,,
19,1049,,,,0.8125,,0.5624362230300903,,
19,1099,,,,0.7982954978942871,,0.5112740993499756,,
19,1099,,,,,,,0.6707000136375427,1.1387054920196533
19,1099,,,0.807535707950592,,0.5522122383117676,,,
20,1149,,,,0.857421875,,0.47124728560447693,,
20,1154,,,,,,,0.6717000007629395,1.1076843738555908
20,1154,,,0.8176071643829346,,0.5274247527122498,,,
21,1199,,,,0.82421875,,0.5060863494873047,,
21,1209,,,,,,,0.6682000160217285,1.1981017589569092
21,1209,,,0.8239285945892334,,0.5067782998085022,,,
22,1249,,,,0.806640625,,0.5282254219055176,,
22,1264,,,,,,,0.6805999875068665,1.1195241212844849
22,1264,,,0.8282856941223145,,0.492782324552536,,,
23,1299,,,,0.8203125,,0.5526045560836792,,
23,1319,,,,,,,0.722000002861023,0.9289383888244629
23,1319,,,0.831678569316864,,0.4850480556488037,,,
24,1349,,,,0.814453125,,0.4999251067638397,,
24,1374,,,,,,,0.713699996471405,0.994838297367096
24,1374,,,0.8408214449882507,,0.46134790778160095,,,
25,1399,,,,0.8359375,,0.4526500701904297,,
25,1429,,,,,,,0.7182000279426575,0.9521872997283936
25,1429,,,0.8463928699493408,,0.4454871416091919,,,
26,1449,,,,0.833984375,,0.4476344585418701,,
26,1484,,,,,,,0.7193999886512756,0.9973318576812744
26,1484,,,0.8528571724891663,,0.4289681017398834,,,
