epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.306640625,,1.957353115081787,,
0,54,,,,,,,0.272599995136261,2.1911656856536865
0,54,,,0.2184285670518875,,2.8274757862091064,,,
1,99,,,,0.38671875,,1.8255021572113037,,
1,109,,,,,,,0.37380000948905945,1.8803728818893433
1,109,,,0.35821428894996643,,1.7654143571853638,,,
2,149,,,,0.40625,,1.6087154150009155,,
2,164,,,,,,,0.4174000024795532,3.787899971008301
2,164,,,0.4352142810821533,,1.589882493019104,,,
3,199,,,,0.470703125,,1.4932972192764282,,
3,219,,,,,,,0.4749999940395355,1.4746332168579102
3,219,,,0.4757857024669647,,1.4872939586639404,,,
4,249,,,,0.576171875,,1.3346251249313354,,
4,274,,,,,,,0.42800000309944153,1.8585131168365479
4,274,,,0.5299999713897705,,1.334814190864563,,,
5,299,,,,0.57421875,,1.2527003288269043,,
5,329,,,,,,,0.5184000134468079,1.3971543312072754
5,329,,,0.5607500076293945,,1.252002239227295,,,
6,349,,,,0.5703125,,1.2085278034210205,,
6,384,,,,,,,0.5291000008583069,1.4506433010101318
6,384,,,0.5814999938011169,,1.1929112672805786,,,
7,399,,,,0.611328125,,1.0952898263931274,,
7,439,,,,,,,0.5508999824523926,1.6004843711853027
7,439,,,0.620035707950592,,1.0924687385559082,,,
8,449,,,,0.65625,,0.9712135791778564,,
8,494,,,,,,,0.5986999869346619,1.1948049068450928
8,494,,,0.6679285764694214,,0.9414488673210144,,,
9,499,,,,0.70703125,,0.8719133138656616,,
9,549,,,,0.7130681872367859,,0.8067607283592224,,
9,549,,,,,,,0.590499997138977,1.3609730005264282
9,549,,,0.691178560256958,,0.8811815977096558,,,
10,599,,,,0.734375,,0.747763991355896,,
10,604,,,,,,,0.6256999969482422,1.2993847131729126
10,604,,,0.7155357003211975,,0.8178554773330688,,,
11,649,,,,0.771484375,,0.6833797097206116,,
11,659,,,,,,,0.6518999934196472,1.2444262504577637
11,659,,,0.7302142977714539,,0.7749871015548706,,,
12,699,,,,0.748046875,,0.708493709564209,,
12,714,,,,,,,0.6588000059127808,1.1551873683929443
12,714,,,0.7563214302062988,,0.7085357308387756,,,
13,749,,,,0.7734375,,0.6683789491653442,,
13,769,,,,,,,0.652400016784668,1.2021598815917969
13,769,,,0.7678214311599731,,0.6690447330474854,,,
14,799,,,,0.794921875,,0.6035629510879517,,
14,824,,,,,,,0.6901000142097473,1.0401333570480347
14,824,,,0.7822856903076172,,0.6271488666534424,,,
15,849,,,,0.7734375,,0.6767870187759399,,
15,879,,,,,,,0.6909999847412109,1.0580523014068604
15,879,,,0.7942500114440918,,0.6066437363624573,,,
16,899,,,,0.79296875,,0.618567943572998,,
16,934,,,,,,,0.6967999935150146,0.9567888379096985
16,934,,,0.8005714416503906,,0.580665647983551,,,
17,949,,,,0.818359375,,0.546296238899231,,
17,989,,,,,,,0.7002999782562256,0.9770406484603882
17,989,,,0.8088571429252625,,0.5517742037773132,,,
18,999,,,,0.81640625,,0.5251699090003967,,
18,1044,,,,,,,0.6833999752998352,1.145554542541504
18,1044,,,0.8172500133514404,,0.526672899723053,,,
19,1049,,,,0.83984375,,0.4637100100517273,,
19,1099,,,,0.8607954978942871,,0.4285470247268677,,
19,1099,,,,,,,0.6779000163078308,1.1220300197601318
19,1099,,,0.8288928866386414,,0.500449001789093,,,
20,1149,,,,0.818359375,,0.5490874648094177,,
20,1154,,,,,,,0.7127000093460083,0.9955742359161377
20,1154,,,0.8266428709030151,,0.515803873538971,,,
21,1199,,,,0.84375,,0.4393758475780487,,
21,1209,,,,,,,0.7143999934196472,0.987341582775116
21,1209,,,0.8309642672538757,,0.4903152585029602,,,
22,1249,,,,0.837890625,,0.47074538469314575,,
22,1264,,,,,,,0.7289000153541565,0.9917001724243164
22,1264,,,0.8412142992019653,,0.4661673307418823,,,
23,1299,,,,0.87109375,,0.40401649475097656,,
23,1319,,,,,,,0.7271999716758728,0.9869086146354675
23,1319,,,0.8452857136726379,,0.4586873948574066,,,
24,1349,,,,0.884765625,,0.3647683262825012,,
24,1374,,,,,,,0.7204999923706055,0.9402432441711426
24,1374,,,0.8513928651809692,,0.42586013674736023,,,
25,1399,,,,0.830078125,,0.4733792841434479,,
25,1429,,,,,,,0.7409999966621399,0.90264892578125
25,1429,,,0.8567857146263123,,0.41379499435424805,,,
26,1449,,,,0.88671875,,0.3215413987636566,,
26,1484,,,,,,,0.7281000018119812,1.0451443195343018
26,1484,,,0.8638928532600403,,0.39679592847824097,,,
27,1499,,,,0.876953125,,0.386700838804245,,
27,1539,,,,,,,0.7214999794960022,1.040452480316162
27,1539,,,0.865928590297699,,0.3933773934841156,,,
28,1549,,,,0.904296875,,0.2931777834892273,,
28,1594,,,,,,,0.7253000140190125,0.9892339110374451
28,1594,,,0.8739285469055176,,0.37130433320999146,,,
29,1599,,,,0.890625,,0.3309277892112732,,
29,1649,,,,0.8948863744735718,,0.3288201093673706,,
29,1649,,,,,,,0.7286999821662903,1.002038598060608
29,1649,,,0.8735714554786682,,0.36784598231315613,,,
30,1699,,,,0.849609375,,0.37746092677116394,,
30,1704,,,,,,,0.7469000220298767,0.9081722497940063
30,1704,,,0.8738571405410767,,0.36728084087371826,,,
31,1749,,,,0.89453125,,0.32104063034057617,,
31,1759,,,,,,,0.7426999807357788,0.9425073266029358
31,1759,,,0.8815357089042664,,0.3482569456100464,,,
32,1799,,,,0.88671875,,0.3412536084651947,,
32,1814,,,,,,,0.7418000102043152,0.9678808450698853
32,1814,,,0.884071409702301,,0.342218816280365,,,
33,1849,,,,0.884765625,,0.33575761318206787,,
33,1869,,,,,,,0.7479000091552734,0.9323217868804932
33,1869,,,0.8832857012748718,,0.3423418402671814,,,
34,1899,,,,0.888671875,,0.3458724021911621,,
34,1924,,,,,,,0.7390999794006348,0.9795007109642029
34,1924,,,0.8871428370475769,,0.3277236223220825,,,
35,1949,,,,0.896484375,,0.31198084354400635,,
35,1979,,,,,,,0.7484999895095825,0.9395946264266968
35,1979,,,0.8922500014305115,,0.31935903429985046,,,
36,1999,,,,0.87109375,,0.3475411832332611,,
36,2034,,,,,,,0.761900007724762,0.9166602492332458
36,2034,,,0.8916428685188293,,0.31588274240493774,,,
37,2049,,,,0.908203125,,0.31034165620803833,,
37,2089,,,,,,,0.7548999786376953,0.918467104434967
37,2089,,,0.8929643034934998,,0.31506475806236267,,,
38,2099,,,,0.884765625,,0.33067452907562256,,
38,2144,,,,,,,0.7401999831199646,0.991301953792572
38,2144,,,0.9000714421272278,,0.2934579849243164,,,
39,2149,,,,0.89453125,,0.28255289793014526,,
39,2199,,,,0.8892045617103577,,0.36945560574531555,,
39,2199,,,,,,,0.7595000267028809,0.8764225840568542
39,2199,,,0.9000357389450073,,0.2958519458770752,,,
40,2249,,,,0.896484375,,0.2827683985233307,,
40,2254,,,,,,,0.7493000030517578,0.9476585984230042
40,2254,,,0.9004642963409424,,0.2884487211704254,,,
41,2299,,,,0.90234375,,0.285273015499115,,
41,2309,,,,,,,0.7580999732017517,0.9333268404006958
41,2309,,,0.9033928513526917,,0.283701628446579,,,
42,2349,,,,0.90625,,0.3204735815525055,,
42,2364,,,,,,,0.7641000151634216,0.9268960952758789
42,2364,,,0.9060357213020325,,0.28020593523979187,,,
43,2399,,,,0.908203125,,0.28327053785324097,,
43,2419,,,,,,,0.7741000056266785,0.8667051792144775
43,2419,,,0.9038928747177124,,0.28137168288230896,,,
44,2449,,,,0.900390625,,0.28239378333091736,,
44,2474,,,,,,,0.7580999732017517,0.9583145380020142
44,2474,,,0.9084643125534058,,0.2689143717288971,,,
45,2499,,,,0.896484375,,0.3224775195121765,,
45,2529,,,,,,,0.7712000012397766,0.8908527493476868
45,2529,,,0.9100000262260437,,0.2684997320175171,,,
46,2549,,,,0.908203125,,0.2582205533981323,,
46,2584,,,,,,,0.7716000080108643,0.9240701198577881
