method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
intrinsic_dimensionality_twonn,0,32,0.8458999991416931,0.4954265058040619,0.8348000049591064
intrinsic_dimensionality_twonn,0,64,0.8540999889373779,0.5372276306152344,0.847100019454956
intrinsic_dimensionality_twonn,0,128,0.8507999777793884,0.4896067380905151,0.8402000069618225
intrinsic_dimensionality_twonn,10,32,0.8432999849319458,0.5721688866615295,0.8370000123977661
intrinsic_dimensionality_twonn,10,64,0.8410999774932861,0.5103817582130432,0.8281000256538391
intrinsic_dimensionality_twonn,10,128,0.8406999707221985,0.5244432687759399,0.8289999961853027
intrinsic_dimensionality_twonn,20,32,0.8187999725341797,0.6113303303718567,0.8095999956130981
intrinsic_dimensionality_twonn,20,64,0.8123999834060669,0.6038685441017151,0.8065000176429749
intrinsic_dimensionality_twonn,20,128,0.822700023651123,0.6339420080184937,0.8080999851226807
intrinsic_dimensionality_twonn,30,32,0.8019000291824341,0.6672341823577881,0.7875000238418579
intrinsic_dimensionality_twonn,30,64,0.7936000227928162,0.7420685291290283,0.7807999849319458
intrinsic_dimensionality_twonn,30,128,0.8029999732971191,0.6624511480331421,0.7911999821662903
intrinsic_dimensionality_twonn,50,32,0.703499972820282,0.9771451950073242,0.6897000074386597
intrinsic_dimensionality_twonn,50,64,0.7021999955177307,0.9654564261436462,0.6970000267028809
intrinsic_dimensionality_twonn,50,128,0.7293000221252441,0.9142855405807496,0.7175999879837036
intrinsic_dimensionality_twonn,70,32,0.6290000081062317,1.2376638650894165,0.617900013923645
intrinsic_dimensionality_twonn,70,64,0.6284999847412109,1.346340298652649,0.6021999716758728
intrinsic_dimensionality_twonn,70,128,0.6216999888420105,1.477570414543152,0.6176000237464905
intrinsic_dimensionality_twonn,90,32,0.451799988746643,2.543898344039917,0.4512999951839447
intrinsic_dimensionality_twonn,90,64,0.4205000102519989,3.067366123199463,0.41819998621940613
intrinsic_dimensionality_twonn,90,128,0.4406000077724457,2.460940361022949,0.4345000088214874
