method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,0.8475000262260437,0.4771371185779571,0.8413000106811523
random,0,64,0.8597000241279602,0.5023799538612366,0.8500999808311462
random,0,128,0.8475000262260437,0.5005525350570679,0.8402000069618225
random,10,32,0.8418999910354614,0.5056877732276917,0.8317000269889832
random,10,64,0.842199981212616,0.5049775242805481,0.8367999792098999
random,10,128,0.8420000076293945,0.5252880454063416,0.8302000164985657
random,20,32,0.8345999717712402,0.5486359596252441,0.8258000016212463
random,20,64,0.8353999853134155,0.5566257834434509,0.8202999830245972
random,20,128,0.8373000025749207,0.56770920753479,0.8202000260353088
random,30,32,0.826200008392334,0.5556224584579468,0.8179000020027161
random,30,64,0.8192999958992004,0.601229190826416,0.8104000091552734
random,30,128,0.8220999836921692,0.5982076525688171,0.8090000152587891
random,50,32,0.7896999716758728,0.723385214805603,0.7804999947547913
random,50,64,0.7857000231742859,0.7287970185279846,0.7800999879837036
random,50,128,0.7827000021934509,0.6766753196716309,0.7763000130653381
random,70,32,0.7376000285148621,0.8389302492141724,0.7235000133514404
random,70,64,0.7447999715805054,0.8677784204483032,0.7195000052452087
random,70,128,0.7303000092506409,0.8460078239440918,0.7182000279426575
random,90,32,0.5723000168800354,1.4824517965316772,0.5608999729156494
random,90,64,0.5598999857902527,1.4060091972351074,0.5454999804496765
random,90,128,0.5580000281333923,1.573367953300476,0.548799991607666
