sample_id,label,score,rank,method
58147,1,1.359320878982544,0,intrinsic_dimensionality_twonn
40134,8,1.4216433763504028,1,intrinsic_dimensionality_twonn
32502,8,1.4330720901489258,2,intrinsic_dimensionality_twonn
937,4,1.4414721727371216,3,intrinsic_dimensionality_twonn
6817,4,1.4470491409301758,4,intrinsic_dimensionality_twonn
53346,4,1.498708963394165,5,intrinsic_dimensionality_twonn
55317,1,1.5003349781036377,6,intrinsic_dimensionality_twonn
48524,9,1.5099868774414062,7,intrinsic_dimensionality_twonn
18334,8,1.5231683254241943,8,intrinsic_dimensionality_twonn
54094,1,1.5274055004119873,9,intrinsic_dimensionality_twonn
44997,8,1.531623125076294,10,intrinsic_dimensionality_twonn
53420,8,1.531799077987671,11,intrinsic_dimensionality_twonn
21561,4,1.5376594066619873,12,intrinsic_dimensionality_twonn
20465,1,1.5378272533416748,13,intrinsic_dimensionality_twonn
49869,8,1.5388526916503906,14,intrinsic_dimensionality_twonn
7131,1,1.541806697845459,15,intrinsic_dimensionality_twonn
41658,1,1.5420856475830078,16,intrinsic_dimensionality_twonn
32807,1,1.5437657833099365,17,intrinsic_dimensionality_twonn
28350,1,1.5444568395614624,18,intrinsic_dimensionality_twonn
25769,6,1.5496068000793457,19,intrinsic_dimensionality_twonn
20666,8,1.5521812438964844,20,intrinsic_dimensionality_twonn
57498,6,1.556593894958496,21,intrinsic_dimensionality_twonn
30745,4,1.558159351348877,22,intrinsic_dimensionality_twonn
31718,1,1.5641905069351196,23,intrinsic_dimensionality_twonn
5207,3,1.57082200050354,24,intrinsic_dimensionality_twonn
44308,8,1.5738463401794434,25,intrinsic_dimensionality_twonn
21581,4,1.5782089233398438,26,intrinsic_dimensionality_twonn
41163,4,1.5800628662109375,27,intrinsic_dimensionality_twonn
11043,1,1.5893290042877197,28,intrinsic_dimensionality_twonn
21767,1,1.5904394388198853,29,intrinsic_dimensionality_twonn
18629,8,1.5941581726074219,30,intrinsic_dimensionality_twonn
28995,3,1.5966676473617554,31,intrinsic_dimensionality_twonn
