method,percent_removed,val_acc_mean,val_acc_std,val_loss_mean,val_loss_std,test_acc_mean,test_acc_std,n_seeds,retention
corr_integral,0,0.9733333388964335,0.005316336789691508,0.11446357021729148,0.04487118250856417,0.9736666480700175,0.008320061947967562,3,1.0
corr_integral,10,0.9805999994277954,0.0007549903026775477,0.0790815229217211,0.003258392842440075,0.9816333452860514,0.00023090960420741168,3,0.9
corr_integral,20,0.962399999300639,0.008310817228700643,0.16727878153324124,0.04679919255194292,0.9053333401679993,0.07104718528797051,3,0.8
corr_integral,30,0.9554666678110758,0.009851069686805377,0.173903355995814,0.030963033784812893,0.9559666713078817,0.010576078320265263,3,0.7
corr_integral,50,0.8550333380699158,0.009839895864862695,0.5876284241676331,0.19427369832092609,0.8507000009218851,0.013856778078604675,3,0.5
corr_integral,70,0.8258000016212463,0.02098167868556506,1.0806306600570679,0.0814437138996432,0.812666654586792,0.04476978977041475,3,0.30000000000000004
corr_integral,90,0.38493333260218304,0.015768436239920983,2.0076787074406943,0.020278515861195792,0.39143332839012146,0.014856080615140736,3,0.09999999999999998
effective_rank,0,0.9788999954859415,0.006065483182071554,0.07928182681401567,0.022886507423626145,0.979200005531311,0.007744016154198663,3,1.0
effective_rank,10,0.9772000114123026,0.003407356766993689,0.10153083999951677,0.014831486215775945,0.9765000144640604,0.006720128141788419,3,0.9
effective_rank,20,0.8641333182652792,0.0065759698720579685,0.49723948041598004,0.10297570022465856,0.8608000079790751,0.008524687654491074,3,0.8
effective_rank,30,0.8656000097592672,0.006803666903765852,0.6058055957158407,0.10295346183580434,0.8593666752179464,0.014098352837569038,3,0.7
effective_rank,50,0.8586333394050598,0.003066498049674143,0.7810924649238586,0.05642134537251305,0.8589666883150736,0.003317131462956012,3,0.5
effective_rank,70,0.7955000201861063,0.0071358256218313505,1.081769545873006,0.014605329595457166,0.8014000058174133,0.011466029331652828,3,0.30000000000000004
effective_rank,90,0.4716666638851165,0.010013166342420417,1.7816341320673625,0.021761819226568172,0.482999990383784,0.014381583022366114,3,0.09999999999999998
forgetting_events,0,0.9770333369572958,0.006201056471444411,0.09020992616812384,0.025513270363285677,0.977399984995524,0.006502304601730992,3,1.0
forgetting_events,10,0.9768333236376444,0.0040624445785914344,0.0954121773441632,0.018358566010840436,0.9754666686058044,0.007081205568053883,3,0.9
forgetting_events,20,0.9719333251317342,0.01011156958290254,0.12064570685227706,0.05277674003035768,0.9523333311080933,0.03781855949535481,3,0.8
forgetting_events,30,0.9763999978701273,0.006702247834705546,0.10338113953669863,0.03363680907241406,0.9739000002543131,0.011889899528936758,3,0.7
forgetting_events,50,0.9732333421707153,0.005907901157453668,0.13788148264090216,0.04368565443191909,0.9585666656494141,0.01721809667153229,3,0.5
forgetting_events,70,0.9723666508992513,0.00047256959258888936,0.20101048549016312,0.00750013262821251,0.9730000098546346,0.0024879610698484047,3,0.30000000000000004
forgetting_events,90,0.3354666729768117,0.18749214951395976,1.9561960697174072,0.3007843519138167,0.3265666663646698,0.19060431354029908,3,0.09999999999999998
intrinsic_dimensionality_twonn,0,0.9743333260218302,0.0045742073779619545,0.10380113621552779,0.021028067351762547,0.9704999923706055,0.005597313043050472,3,1.0
intrinsic_dimensionality_twonn,10,0.9817333221435547,0.0017009808702841548,0.07105570038159686,0.007425772298764121,0.9817999998728434,0.002688880968415039,3,0.9
intrinsic_dimensionality_twonn,20,0.9582333167394003,0.017537784007311697,0.19355899095535278,0.09593441941021524,0.8665666580200195,0.10996411428584954,3,0.8
intrinsic_dimensionality_twonn,30,0.9723999897638956,0.005434142619226556,0.11687444398800527,0.029843351882040726,0.9533999959627787,0.03040987785849094,3,0.7
intrinsic_dimensionality_twonn,50,0.9744333426157633,0.0030924563961453834,0.1135409648219744,0.015772829037276056,0.9748333295186361,0.0034961999895892285,3,0.5
intrinsic_dimensionality_twonn,70,0.9501000046730042,0.011699979121879207,0.2498042285442352,0.05929864167075091,0.952566663424174,0.01071278667685936,3,0.30000000000000004
intrinsic_dimensionality_twonn,90,0.45479999979337055,0.0030265551266256555,1.4355174700419109,0.007103324263892671,0.4605666697025299,0.006482546259500494,3,0.09999999999999998
random,0,0.9692999919255575,0.007574302330940737,0.12509914239247635,0.037980758207712656,0.9660000006357828,0.005267832601758476,3,1.0
random,10,0.9791666666666666,0.0032654492642653524,0.08334122101465857,0.017299827811391656,0.9781999985376993,0.005766269079289578,3,0.9
random,20,0.9711333314577738,0.007345988699114922,0.11538157363732654,0.033726388449233834,0.9401999910672506,0.01585466721680392,3,0.8
random,30,0.976366659005483,0.00011545480210371786,0.09549245486656821,0.003542293465068655,0.9670333464940389,0.01684231268257508,3,0.7
random,50,0.9626333316167196,0.008404951911359579,0.17596281568209327,0.04585208942689413,0.9552000164985657,0.01778566826284509,3,0.5
random,70,0.9259000221888224,0.045517357852321146,0.4064278155565262,0.2865542186121095,0.9057666659355164,0.07907177007199333,3,0.30000000000000004
random,90,0.7858666578928629,0.012331413375996863,1.092424750328064,0.014208785592967317,0.7961000204086304,0.011109912889126106,3,0.09999999999999998
