epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,48,,,,,,,0.15919999778270721,2.273881435394287
0,48,,,0.1826000064611435,,2.1498236656188965,,,
1,49,,,,0.263671875,,2.035951614379883,,
1,97,,,,,,,0.2459000051021576,2.1292874813079834
1,97,,,0.3089599907398224,,1.9248859882354736,,,
2,99,,,,0.359375,,1.8005456924438477,,
2,146,,,,,,,0.353300005197525,1.9763699769973755
2,146,,,0.43775999546051025,,1.6519124507904053,,,
3,149,,,,0.54296875,,1.4913983345031738,,
3,195,,,,,,,0.4837999939918518,1.825547456741333
3,195,,,0.5908799767494202,,1.3885143995285034,,,
4,199,,,,0.6484375,,1.2837073802947998,,
4,244,,,,,,,0.5634999871253967,1.6605695486068726
4,244,,,0.7084400057792664,,1.1487053632736206,,,
5,249,,,,0.716796875,,1.0663535594940186,,
5,293,,,,,,,0.6402999758720398,1.5023952722549438
5,293,,,0.7705199718475342,,0.9358305335044861,,,
6,299,,,,0.796875,,0.8229272365570068,,
6,342,,,,,,,0.699999988079071,1.356778860092163
6,342,,,0.8255599737167358,,0.7616269588470459,,,
7,349,,,,0.837890625,,0.6781632900238037,,
7,391,,,,,,,0.746399998664856,1.2726948261260986
7,391,,,0.8755199909210205,,0.6255561113357544,,,
8,399,,,,0.908203125,,0.5328513383865356,,
8,440,,,,,,,0.7760999798774719,1.1630858182907104
8,440,,,0.9094399809837341,,0.5127302408218384,,,
9,449,,,,0.92578125,,0.4503341615200043,,
9,489,,,,,,,0.7997000217437744,1.0864686965942383
9,489,,,0.9311599731445312,,0.4210678040981293,,,
10,499,,,,0.9375,,0.3926580548286438,,
10,538,,,,,,,0.8248000144958496,0.9940093755722046
10,538,,,0.9436399936676025,,0.35152366757392883,,,
11,549,,,,0.94140625,,0.3270112872123718,,
11,587,,,,,,,0.8356999754905701,0.9193865060806274
11,587,,,0.9502400159835815,,0.2987324893474579,,,
12,599,,,,0.94921875,,0.27865031361579895,,
12,636,,,,,,,0.8270000219345093,0.9134489297866821
12,636,,,0.9557200074195862,,0.25729936361312866,,,
13,649,,,,0.966796875,,0.21314942836761475,,
13,685,,,,,,,0.8436999917030334,0.8085803985595703
13,685,,,0.9610000252723694,,0.2271156907081604,,,
14,699,,,,0.95703125,,0.23163042962551117,,
14,734,,,,,,,0.8312000036239624,0.8497401475906372
14,734,,,0.9643200039863586,,0.2033671736717224,,,
15,749,,,,0.97265625,,0.20056426525115967,,
15,783,,,,,,,0.8410999774932861,0.7717527151107788
15,783,,,0.9669600129127502,,0.1847052127122879,,,
16,799,,,,0.96875,,0.19553330540657043,,
16,832,,,,,,,0.8357999920845032,0.7817673087120056
16,832,,,0.9692800045013428,,0.17097583413124084,,,
17,849,,,,0.9765625,,0.15751387178897858,,
17,881,,,,,,,0.8389999866485596,0.6956227421760559
17,881,,,0.9703599810600281,,0.15892626345157623,,,
18,899,,,,0.955078125,,0.1881129890680313,,
18,930,,,,,,,0.8370000123977661,0.6913679838180542
18,930,,,0.9717599749565125,,0.1487329751253128,,,
19,931,0.8346999883651733,0.6817269921302795,,,,,,
