epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.4453125,,2.1089820861816406,,
0,68,,,,,,,0.384799987077713,2.026942491531372
0,68,,,0.2940285801887512,,2.180331230163574,,,
1,99,,,,0.421875,,1.886648178100586,,
1,137,,,,,,,0.5249000191688538,1.709060788154602
1,137,,,0.4600285589694977,,1.880561351776123,,,
2,149,,,,0.56640625,,1.636347770690918,,
2,199,,,,0.62109375,,1.4630026817321777,,
2,206,,,,,,,0.6935999989509583,1.3705053329467773
2,206,,,0.5908285975456238,,1.5692354440689087,,,
3,249,,,,0.708984375,,1.223062515258789,,
3,275,,,,,,,0.692300021648407,1.1319466829299927
3,275,,,0.717199981212616,,1.2494206428527832,,,
4,299,,,,0.8046875,,0.9999055862426758,,
4,344,,,,,,,0.5616000294685364,1.1421312093734741
4,344,,,0.8192571401596069,,0.9487615823745728,,,
5,349,,,,0.87890625,,0.7738862037658691,,
5,399,,,,0.87109375,,0.6798895001411438,,
5,413,,,,,,,0.9056000113487244,0.5806016325950623
5,413,,,0.8778856992721558,,0.70326828956604,,,
6,449,,,,0.90625,,0.5548806190490723,,
6,482,,,,,,,0.8360000252723694,0.5831443071365356
6,482,,,0.9085428714752197,,0.5241068601608276,,,
7,499,,,,0.916015625,,0.42665719985961914,,
7,549,,,,0.943359375,,0.347517192363739,,
7,551,,,,,,,0.6207000017166138,1.004744291305542
7,551,,,0.9247142672538757,,0.4053781032562256,,,
8,599,,,,0.94921875,,0.29115182161331177,,
8,620,,,,,,,0.9077000021934509,0.3784393072128296
8,620,,,0.9353142976760864,,0.3283352255821228,,,
9,649,,,,0.95703125,,0.25553447008132935,,
9,689,,,,,,,0.923799991607666,0.3246375024318695
9,689,,,0.942714273929596,,0.2771572172641754,,,
10,699,,,,0.95703125,,0.2181001752614975,,
10,749,,,,0.966796875,,0.19626836478710175,,
10,758,,,,,,,0.9574999809265137,0.20878291130065918
10,758,,,0.9487714171409607,,0.24064955115318298,,,
11,799,,,,0.94140625,,0.20403914153575897,,
11,827,,,,,,,0.8130999803543091,0.5946192741394043
11,827,,,0.9532856941223145,,0.21305853128433228,,,
12,849,,,,0.95703125,,0.1903030276298523,,
12,896,,,,,,,0.9534000158309937,0.2020857185125351
12,896,,,0.9575999975204468,,0.19275319576263428,,,
13,899,,,,0.9609375,,0.1884927749633789,,
13,949,,,,0.958984375,,0.17829985916614532,,
13,965,,,,,,,0.96670001745224,0.16053444147109985
13,965,,,0.9597428441047668,,0.1759488433599472,,,
14,999,,,,0.970703125,,0.1401742696762085,,
14,1034,,,,,,,0.8899999856948853,0.3939320743083954
14,1034,,,0.9623714089393616,,0.16316576302051544,,,
15,1049,,,,0.966796875,,0.14322757720947266,,
15,1099,,,,0.974609375,,0.12213540822267532,,
15,1103,,,,,,,0.9623000025749207,0.16310659050941467
15,1103,,,0.9648857116699219,,0.1515130251646042,,,
16,1149,,,,0.953125,,0.15476927161216736,,
16,1172,,,,,,,0.9697999954223633,0.1390683650970459
16,1172,,,0.9668571352958679,,0.14126193523406982,,,
17,1199,,,,0.966796875,,0.1436835378408432,,
17,1241,,,,,,,0.9545000195503235,0.17624104022979736
17,1241,,,0.9682000279426575,,0.13325588405132294,,,
18,1249,,,,0.970703125,,0.13431942462921143,,
18,1299,,,,0.958984375,,0.1425514817237854,,
18,1310,,,,,,,0.9538999795913696,0.16911673545837402
18,1310,,,0.9697714447975159,,0.12628845870494843,,,
19,1349,,,,0.96875,,0.11680001765489578,,
19,1379,,,,,,,0.8842999935150146,0.3696443736553192
19,1379,,,0.9711999893188477,,0.12085124105215073,,,
20,1399,,,,0.9765625,,0.10183809697628021,,
20,1448,,,,,,,0.9480000138282776,0.1956072300672531
20,1448,,,0.9718571305274963,,0.11500594764947891,,,
21,1449,,,,0.974609375,,0.09132357686758041,,
21,1499,,,,0.962890625,,0.12911924719810486,,
21,1517,,,,,,,0.9556000232696533,0.16564899682998657
21,1517,,,0.9735714197158813,,0.11040781438350677,,,
22,1518,0.9606000185012817,0.15115749835968018,,,,,,
