epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.380859375,,2.0835437774658203,,
0,68,,,,,,,0.359499990940094,2.063262701034546
0,68,,,0.314942866563797,,2.135664701461792,,,
1,99,,,,0.498046875,,1.7921972274780273,,
1,137,,,,,,,0.4731999933719635,1.7289398908615112
1,137,,,0.5096856951713562,,1.7577112913131714,,,
2,149,,,,0.630859375,,1.4921154975891113,,
2,199,,,,0.7265625,,1.2535462379455566,,
2,206,,,,,,,0.5974000096321106,1.3786969184875488
2,206,,,0.64605712890625,,1.399242877960205,,,
3,249,,,,0.748046875,,0.9938269853591919,,
3,275,,,,,,,0.7095000147819519,1.0452067852020264
3,275,,,0.7630857229232788,,1.0318022966384888,,,
4,299,,,,0.857421875,,0.7439562082290649,,
4,344,,,,,,,0.6304000020027161,1.0534507036209106
4,344,,,0.8346285820007324,,0.7402102947235107,,,
5,349,,,,0.857421875,,0.6425597667694092,,
5,399,,,,0.892578125,,0.48690107464790344,,
5,413,,,,,,,0.8205000162124634,0.6604596972465515
5,413,,,0.8722571134567261,,0.5525842905044556,,,
6,449,,,,0.904296875,,0.4296822249889374,,
6,482,,,,,,,0.8138999938964844,0.5610458254814148
6,482,,,0.9065428376197815,,0.4306701719760895,,,
7,499,,,,0.916015625,,0.38548487424850464,,
7,549,,,,0.939453125,,0.3321044445037842,,
7,551,,,,,,,0.857699990272522,0.4797993302345276
7,551,,,0.9294000267982483,,0.34614166617393494,,,
8,599,,,,0.955078125,,0.26586681604385376,,
8,620,,,,,,,0.8684999942779541,0.4469541013240814
8,620,,,0.9427714347839355,,0.2884829342365265,,,
9,649,,,,0.94921875,,0.2604740262031555,,
9,689,,,,,,,0.9254000186920166,0.3008245527744293
9,689,,,0.9519143104553223,,0.2451198399066925,,,
10,699,,,,0.9375,,0.2503820061683655,,
10,749,,,,0.955078125,,0.20925283432006836,,
10,758,,,,,,,0.9398000240325928,0.27380692958831787
10,758,,,0.9567714333534241,,0.2134331911802292,,,
11,799,,,,0.962890625,,0.18222647905349731,,
11,827,,,,,,,0.8741000294685364,0.4135003983974457
11,827,,,0.9604571461677551,,0.1901049017906189,,,
12,849,,,,0.98046875,,0.13037705421447754,,
12,896,,,,,,,0.9491999745368958,0.21063415706157684
12,896,,,0.9634571671485901,,0.1717703938484192,,,
13,899,,,,0.966796875,,0.18170231580734253,,
13,949,,,,0.974609375,,0.1341281235218048,,
13,965,,,,,,,0.9330999851226807,0.26121431589126587
13,965,,,0.9668856859207153,,0.15571229159832,,,
14,999,,,,0.974609375,,0.1235162690281868,,
14,1034,,,,,,,0.9380000233650208,0.23155441880226135
14,1034,,,0.9689714312553406,,0.14318229258060455,,,
15,1049,,,,0.978515625,,0.1167638972401619,,
15,1099,,,,0.97265625,,0.12878385186195374,,
15,1103,,,,,,,0.9495000243186951,0.19500097632408142
15,1103,,,0.970714271068573,,0.13362042605876923,,,
16,1149,,,,0.970703125,,0.13094043731689453,,
16,1172,,,,,,,0.9581000208854675,0.17698340117931366
16,1172,,,0.9717714190483093,,0.12423674762248993,,,
17,1199,,,,0.958984375,,0.13209514319896698,,
17,1241,,,,,,,0.9550999999046326,0.1789959818124771
17,1241,,,0.9733714461326599,,0.11536972969770432,,,
18,1249,,,,0.96875,,0.13536152243614197,,
18,1299,,,,0.98046875,,0.10306794196367264,,
18,1310,,,,,,,0.9362000226974487,0.22517533600330353
18,1310,,,0.9749714136123657,,0.1113731786608696,,,
19,1349,,,,0.98046875,,0.0874263197183609,,
19,1379,,,,,,,0.8411999940872192,0.4605122208595276
19,1379,,,0.9761999845504761,,0.10423001646995544,,,
20,1399,,,,0.974609375,,0.10207627713680267,,
20,1448,,,,,,,0.9460999965667725,0.18697617948055267
20,1448,,,0.9778285622596741,,0.09935638308525085,,,
21,1449,,,,0.9921875,,0.06763909757137299,,
21,1499,,,,0.984375,,0.07544074952602386,,
21,1517,,,,,,,0.9496999979019165,0.17935757339000702
21,1517,,,0.9785714149475098,,0.09563596546649933,,,
22,1518,0.9496999979019165,0.17348112165927887,,,,,,
