epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.318359375,,2.113842010498047,,
0,87,,,,,,,0.4016999900341034,1.9181116819381714
0,87,,,0.3321777880191803,,2.126751661300659,,,
1,99,,,,0.4921875,,1.8449735641479492,,
1,149,,,,0.576171875,,1.6393427848815918,,
1,175,,,,,,,0.49410000443458557,1.5667800903320312
1,175,,,0.5206888914108276,,1.6996817588806152,,,
2,199,,,,0.697265625,,1.3167688846588135,,
2,249,,,,0.7109375,,1.1556576490402222,,
2,263,,,,,,,0.7249000072479248,1.0852171182632446
2,263,,,0.6972444653511047,,1.2570863962173462,,,
3,299,,,,0.83203125,,0.8412061929702759,,
3,349,,,,0.86328125,,0.6860864162445068,,
3,351,,,,,,,0.8571000099182129,0.7304156422615051
3,351,,,0.8353777527809143,,0.8476622104644775,,,
4,399,,,,0.912109375,,0.5271254181861877,,
4,439,,,,,,,0.8641999959945679,0.5378193259239197
4,439,,,0.9048666954040527,,0.5625156164169312,,,
5,449,,,,0.921875,,0.4421605169773102,,
5,499,,,,0.94140625,,0.3804960250854492,,
5,527,,,,,,,0.9248999953269958,0.3990819454193115
5,527,,,0.9335333108901978,,0.3949872851371765,,,
6,549,,,,0.94140625,,0.3028436601161957,,
6,599,,,,0.970703125,,0.23070412874221802,,
6,615,,,,,,,0.9320999979972839,0.3150293529033661
6,615,,,0.9487777948379517,,0.2959666848182678,,,
7,649,,,,0.953125,,0.23689182102680206,,
7,699,,,,0.966796875,,0.19351515173912048,,
7,703,,,,,,,0.9503999948501587,0.23738209903240204
7,703,,,0.9565777778625488,,0.2347685694694519,,,
8,749,,,,0.958984375,,0.18391357362270355,,
8,791,,,,,,,0.9587000012397766,0.201967254281044
8,791,,,0.9619333148002625,,0.19467557966709137,,,
9,799,,,,0.951171875,,0.20768842101097107,,
9,849,,,,0.974609375,,0.14543099701404572,,
9,879,,,,,,,0.9368000030517578,0.24655786156654358
9,879,,,0.9660221934318542,,0.16710327565670013,,,
10,899,,,,0.958984375,,0.169033944606781,,
10,949,,,,0.96875,,0.14131289720535278,,
10,967,,,,,,,0.9588000178337097,0.17470906674861908
10,967,,,0.9689777493476868,,0.14809180796146393,,,
11,999,,,,0.974609375,,0.11571383476257324,,
11,1049,,,,0.974609375,,0.11420854926109314,,
11,1055,,,,,,,0.9629999995231628,0.15917764604091644
11,1055,,,0.9703555703163147,,0.1328924000263214,,,
12,1099,,,,0.970703125,,0.12206028401851654,,
12,1143,,,,,,,0.9369999766349792,0.22849126160144806
12,1143,,,0.9726444482803345,,0.12118018418550491,,,
13,1149,,,,0.97265625,,0.12509700655937195,,
13,1199,,,,0.96484375,,0.14444738626480103,,
13,1231,,,,,,,0.9606999754905701,0.15267013013362885
13,1231,,,0.975600004196167,,0.11133232712745667,,,
14,1249,,,,0.96875,,0.1132994145154953,,
14,1299,,,,0.966796875,,0.12849217653274536,,
14,1319,,,,,,,0.9693999886512756,0.1314619928598404
14,1319,,,0.976711094379425,,0.10309629142284393,,,
15,1349,,,,0.974609375,,0.1264019012451172,,
15,1399,,,,0.9765625,,0.08928991109132767,,
15,1407,,,,,,,0.970300018787384,0.11867402493953705
15,1407,,,0.9783333539962769,,0.09665345400571823,,,
16,1449,,,,0.98046875,,0.09545887261629105,,
16,1495,,,,,,,0.9692999720573425,0.12464994192123413
16,1495,,,0.9788888692855835,,0.09081066399812698,,,
17,1499,,,,0.9921875,,0.05829794704914093,,
17,1549,,,,0.984375,,0.07707150280475616,,
17,1583,,,,,,,0.9652000069618225,0.13371793925762177
17,1583,,,0.9799110889434814,,0.0856921374797821,,,
18,1599,,,,0.98828125,,0.061475977301597595,,
18,1649,,,,0.9765625,,0.09356023371219635,,
18,1671,,,,,,,0.9624000191688538,0.13784070312976837
18,1671,,,0.9811555743217468,,0.08133869618177414,,,
19,1699,,,,0.990234375,,0.07370227575302124,,
19,1749,,,,0.98046875,,0.07306243479251862,,
19,1759,,,,,,,0.9750999808311462,0.09805598855018616
19,1759,,,0.9824444651603699,,0.07774542272090912,,,
20,1799,,,,0.984375,,0.08048605173826218,,
20,1847,,,,,,,0.9746999740600586,0.10194344818592072
20,1847,,,0.9828222393989563,,0.0748513787984848,,,
21,1849,,,,0.9921875,,0.04619462043046951,,
21,1899,,,,0.98828125,,0.06449806690216064,,
21,1935,,,,,,,0.9760000109672546,0.09158487617969513
21,1935,,,0.9836221933364868,,0.07176224142313004,,,
22,1949,,,,0.98828125,,0.05652470886707306,,
22,1999,,,,0.98046875,,0.07300932705402374,,
22,2023,,,,,,,0.9731000065803528,0.10373041778802872
22,2023,,,0.9844222068786621,,0.06924091279506683,,,
23,2049,,,,0.97265625,,0.08608338236808777,,
23,2099,,,,0.98828125,,0.05094420909881592,,
23,2111,,,,,,,0.965499997138977,0.12628377974033356
23,2111,,,0.9845333099365234,,0.06697477400302887,,,
24,2149,,,,0.98046875,,0.06142381578683853,,
24,2199,,,,0.9824561476707458,,0.0792141929268837,,
24,2199,,,,,,,0.9771999716758728,0.08869586884975433
24,2199,,,0.9848666787147522,,0.06510651856660843,,,
25,2249,,,,0.98828125,,0.05718902125954628,,
25,2287,,,,,,,0.9714000225067139,0.10574247688055038
25,2287,,,0.9851111173629761,,0.06277433037757874,,,
26,2299,,,,0.9921875,,0.050980232656002045,,
26,2349,,,,0.98828125,,0.04804348200559616,,
26,2375,,,,,,,0.9611999988555908,0.13591480255126953
26,2375,,,0.9861999750137329,,0.06066882982850075,,,
27,2399,,,,0.982421875,,0.0631532073020935,,
27,2449,,,,0.984375,,0.06574098765850067,,
27,2463,,,,,,,0.9758999943733215,0.09017268568277359
27,2463,,,0.9864222407341003,,0.05917634442448616,,,
28,2499,,,,0.982421875,,0.06996136903762817,,
28,2549,,,,0.986328125,,0.04642254114151001,,
28,2551,,,,,,,0.9779999852180481,0.08343659341335297
28,2551,,,0.9870889186859131,,0.05745507404208183,,,
29,2599,,,,0.986328125,,0.06870103627443314,,
29,2639,,,,,,,0.978600025177002,0.08448367565870285
