epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,,,,,0.11240000277757645,2.3349204063415527
0,9,,,0.9408000111579895,,0.9388580322265625,,,
1,19,,,,,,,0.11240000277757645,2.587985038757324
1,19,,,0.9657999873161316,,0.2410416454076767,,,
2,29,,,,,,,0.11240000277757645,3.6572914123535156
2,29,,,0.9657999873161316,,0.2190680354833603,,,
3,39,,,,,,,0.11240000277757645,4.964369297027588
3,39,,,0.9657999873161316,,0.20683303475379944,,,
4,49,,,,0.9795918464660645,,0.1316518783569336,,
4,49,,,,,,,0.11240000277757645,5.571319103240967
4,49,,,0.9657999873161316,,0.19783054292201996,,,
5,59,,,,,,,0.11240000277757645,5.799192428588867
5,59,,,0.9657999873161316,,0.1905498057603836,,,
6,60,0.11349999904632568,5.848361015319824,,,,,,
