epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.345703125,,2.0985774993896484,,
0,87,,,,,,,0.3734999895095825,1.9081945419311523
0,87,,,0.3243555426597595,,2.1087639331817627,,,
1,99,,,,0.482421875,,1.8072290420532227,,
1,149,,,,0.556640625,,1.54500150680542,,
1,175,,,,,,,0.5537999868392944,1.4882326126098633
1,175,,,0.5390889048576355,,1.6617406606674194,,,
2,199,,,,0.72265625,,1.2878117561340332,,
2,249,,,,0.802734375,,1.026208519935608,,
2,263,,,,,,,0.7430999875068665,1.0238769054412842
2,263,,,0.7344444394111633,,1.1802810430526733,,,
3,299,,,,0.8515625,,0.7857351303100586,,
3,349,,,,0.8828125,,0.613582968711853,,
3,351,,,,,,,0.66839998960495,1.0001808404922485
3,351,,,0.8702666759490967,,0.7460136413574219,,,
4,399,,,,0.9375,,0.4627229571342468,,
4,439,,,,,,,0.906000018119812,0.47322148084640503
4,439,,,0.9405555725097656,,0.462393581867218,,,
5,449,,,,0.96875,,0.34012371301651,,
5,499,,,,0.970703125,,0.2640186548233032,,
5,527,,,,,,,0.9254999756813049,0.36064666509628296
5,527,,,0.9697555303573608,,0.3010099530220032,,,
6,549,,,,0.970703125,,0.23836572468280792,,
6,599,,,,0.96875,,0.20338402688503265,,
6,615,,,,,,,0.9064000248908997,0.37890785932540894
6,615,,,0.9797555804252625,,0.20757079124450684,,,
7,649,,,,0.984375,,0.14943033456802368,,
7,699,,,,0.982421875,,0.14088046550750732,,
7,703,,,,,,,0.944100022315979,0.2524506151676178
7,703,,,0.9858444333076477,,0.15218716859817505,,,
8,749,,,,0.998046875,,0.10298161953687668,,
8,791,,,,,,,0.9509000182151794,0.2133832573890686
8,791,,,0.9888222217559814,,0.11899803578853607,,,
9,799,,,,0.98828125,,0.12023688852787018,,
9,849,,,,0.9921875,,0.0899629294872284,,
9,879,,,,,,,0.9496999979019165,0.20945832133293152
9,879,,,0.9914000034332275,,0.09711278975009918,,,
10,899,,,,0.986328125,,0.09838731586933136,,
10,949,,,,0.98828125,,0.08820366859436035,,
