epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,48,,,,,,,0.26330000162124634,2.136031150817871
0,48,,,0.2709600031375885,,2.20233416557312,,,
1,49,,,,0.302734375,,2.087158203125,,
1,97,,,,,,,0.38019999861717224,1.8730798959732056
1,97,,,0.3877600133419037,,1.944289207458496,,,
2,99,,,,0.4765625,,1.7807574272155762,,
2,146,,,,,,,0.5235999822616577,1.640305519104004
2,146,,,0.544439971446991,,1.6756776571273804,,,
3,149,,,,0.62890625,,1.5044283866882324,,
3,195,,,,,,,0.6355000138282776,1.3955754041671753
3,195,,,0.676639974117279,,1.421518325805664,,,
4,199,,,,0.73828125,,1.255439281463623,,
4,244,,,,,,,0.7346000075340271,1.1168404817581177
4,244,,,0.7903599739074707,,1.1339513063430786,,,
5,249,,,,0.84765625,,0.9608629941940308,,
5,293,,,,,,,0.795199990272522,0.8480036854743958
5,293,,,0.85944002866745,,0.8457610011100769,,,
6,299,,,,0.8828125,,0.6953627467155457,,
6,342,,,,,,,0.828000009059906,0.676445484161377
6,342,,,0.8955600261688232,,0.6238915920257568,,,
7,349,,,,0.9296875,,0.4877933859825134,,
7,391,,,,,,,0.8500000238418579,0.5657691955566406
7,391,,,0.9214400053024292,,0.4675346910953522,,,
8,399,,,,0.92578125,,0.41580912470817566,,
8,440,,,,,,,0.8815000057220459,0.49807676672935486
8,440,,,0.9416800141334534,,0.3605180084705353,,,
9,449,,,,0.966796875,,0.2826523184776306,,
9,489,,,,,,,0.880299985408783,0.4797825217247009
9,489,,,0.9620000123977661,,0.28904902935028076,,,
10,499,,,,0.9765625,,0.24060100317001343,,
10,538,,,,,,,0.9161999821662903,0.37061193585395813
10,538,,,0.9714000225067139,,0.23883993923664093,,,
11,549,,,,0.98046875,,0.21382196247577667,,
11,587,,,,,,,0.9217000007629395,0.33997660875320435
11,587,,,0.978879988193512,,0.20066456496715546,,,
12,599,,,,0.97265625,,0.19253012537956238,,
12,636,,,,,,,0.9341999888420105,0.29512152075767517
12,636,,,0.9836000204086304,,0.17113646864891052,,,
13,649,,,,0.984375,,0.16740722954273224,,
