epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,48,,,,,,,0.25429999828338623,2.1200246810913086
0,48,,,0.31119999289512634,,2.1116652488708496,,,
1,49,,,,0.35546875,,1.9234628677368164,,
1,97,,,,,,,0.3197000026702881,1.8951780796051025
1,97,,,0.3846000134944916,,1.7940844297409058,,,
2,99,,,,0.505859375,,1.6139898300170898,,
2,146,,,,,,,0.436599999666214,1.6891450881958008
2,146,,,0.5248399972915649,,1.5506174564361572,,,
3,149,,,,0.619140625,,1.3769488334655762,,
3,195,,,,,,,0.5353000164031982,1.4537185430526733
3,195,,,0.6478000283241272,,1.313224196434021,,,
4,199,,,,0.650390625,,1.258618950843811,,
4,244,,,,,,,0.5335000157356262,1.312973141670227
4,244,,,0.7307199835777283,,1.0648016929626465,,,
5,249,,,,0.76953125,,0.9500694274902344,,
5,293,,,,,,,0.6934999823570251,0.9971249103546143
5,293,,,0.8083199858665466,,0.8401726484298706,,,
6,299,,,,0.830078125,,0.7616257667541504,,
6,342,,,,,,,0.7390999794006348,0.8589390516281128
6,342,,,0.8619999885559082,,0.6495479941368103,,,
7,349,,,,0.8984375,,0.5439226031303406,,
7,391,,,,,,,0.7721999883651733,0.7454698085784912
7,391,,,0.8965200185775757,,0.510120689868927,,,
8,399,,,,0.921875,,0.4321150481700897,,
8,440,,,,,,,0.8069999814033508,0.6347417831420898
8,440,,,0.9189599752426147,,0.4129360020160675,,,
9,449,,,,0.9453125,,0.33171454071998596,,
9,489,,,,,,,0.8252999782562256,0.6152969002723694
9,489,,,0.932919979095459,,0.34466806054115295,,,
10,499,,,,0.931640625,,0.3144442141056061,,
10,538,,,,,,,0.8496999740600586,0.5035293102264404
10,538,,,0.9424800276756287,,0.296500027179718,,,
11,549,,,,0.955078125,,0.2648848593235016,,
11,587,,,,,,,0.8892999887466431,0.4262857437133789
11,587,,,0.9525600075721741,,0.2569885849952698,,,
12,599,,,,0.962890625,,0.21496686339378357,,
12,636,,,,,,,0.8966000080108643,0.4306562542915344
12,636,,,0.9594399929046631,,0.22582507133483887,,,
13,649,,,,0.958984375,,0.20580735802650452,,
13,685,,,,,,,0.90829998254776,0.3793582320213318
13,685,,,0.9642800092697144,,0.20162661373615265,,,
14,699,,,,0.98046875,,0.16134066879749298,,
14,734,,,,,,,0.885699987411499,0.4106980562210083
14,734,,,0.9697999954223633,,0.1822541207075119,,,
15,749,,,,0.970703125,,0.1686277538537979,,
15,783,,,,,,,0.917900025844574,0.328106164932251
15,783,,,0.9724000096321106,,0.1635046750307083,,,
16,799,,,,0.98046875,,0.1533554196357727,,
16,832,,,,,,,0.9132999777793884,0.32881447672843933
16,832,,,0.9744799733161926,,0.14953118562698364,,,
17,849,,,,0.96484375,,0.17126309871673584,,
17,881,,,,,,,0.9287999868392944,0.2879127562046051
17,881,,,0.9768000245094299,,0.13687251508235931,,,
18,899,,,,0.986328125,,0.10984008014202118,,
18,930,,,,,,,0.9297999739646912,0.28192138671875
18,930,,,0.9789599776268005,,0.12671518325805664,,,
19,949,,,,0.98046875,,0.13719835877418518,,
19,979,,,,,,,0.9423999786376953,0.2429649829864502
19,979,,,0.9798399806022644,,0.11953521519899368,,,
20,999,,,,0.97265625,,0.12134354561567307,,
20,1028,,,,,,,0.8277999758720398,0.5679035782814026
20,1028,,,0.9801999926567078,,0.1114947721362114,,,
21,1049,,,,0.97265625,,0.11249138414859772,,
21,1077,,,,,,,0.9373999834060669,0.25485995411872864
21,1077,,,0.9822800159454346,,0.10508234053850174,,,
22,1099,,,,0.990234375,,0.10550031065940857,,
22,1126,,,,,,,0.951200008392334,0.21341371536254883
22,1126,,,0.9822400212287903,,0.10000677406787872,,,
23,1149,,,,0.986328125,,0.09695421159267426,,
23,1175,,,,,,,0.9505000114440918,0.21400447189807892
23,1175,,,0.983240008354187,,0.09497510641813278,,,
24,1199,,,,0.98828125,,0.08920293301343918,,
24,1224,,,,,,,0.9434999823570251,0.2324926257133484
24,1224,,,0.9841200113296509,,0.09161414951086044,,,
25,1249,,,,0.982421875,,0.07976754754781723,,
25,1273,,,,,,,0.953000009059906,0.19443339109420776
25,1273,,,0.9846000075340271,,0.08770016580820084,,,
26,1299,,,,0.994140625,,0.07119022309780121,,
26,1322,,,,,,,0.9417999982833862,0.22458072006702423
26,1322,,,0.9858800172805786,,0.08436925709247589,,,
27,1349,,,,0.9921875,,0.07466086000204086,,
27,1371,,,,,,,0.953499972820282,0.1952076107263565
27,1371,,,0.9865599870681763,,0.08135170489549637,,,
28,1399,,,,0.98828125,,0.07163257896900177,,
28,1420,,,,,,,0.9580000042915344,0.18517662584781647
28,1420,,,0.9869199991226196,,0.07879558950662613,,,
29,1449,,,,0.98046875,,0.08514956384897232,,
29,1469,,,,,,,0.9415000081062317,0.226363405585289
29,1469,,,0.9870799779891968,,0.07614677399396896,,,
30,1499,,,,0.982421875,,0.08176232129335403,,
30,1518,,,,,,,0.9541000127792358,0.18272219598293304
30,1518,,,0.9869199991226196,,0.07488223165273666,,,
31,1549,,,,0.97265625,,0.1307007074356079,,
31,1567,,,,,,,0.9521999955177307,0.191305011510849
31,1567,,,0.9875199794769287,,0.07294394075870514,,,
32,1599,,,,0.98828125,,0.057562291622161865,,
32,1616,,,,,,,0.9553999900817871,0.18309907615184784
32,1616,,,0.9879599809646606,,0.07137123495340347,,,
33,1649,,,,0.990234375,,0.0704510435461998,,
33,1665,,,,,,,0.958299994468689,0.16857747733592987
33,1665,,,0.9878799915313721,,0.07045748084783554,,,
34,1699,,,,0.986328125,,0.08328060805797577,,
34,1714,,,,,,,0.9577999711036682,0.16935820877552032
34,1714,,,0.9878000020980835,,0.06929425895214081,,,
35,1749,,,,0.9921875,,0.050784580409526825,,
35,1763,,,,,,,0.9581000208854675,0.16922946274280548
35,1763,,,0.9888399839401245,,0.06787209212779999,,,
36,1799,,,,0.984375,,0.0774705708026886,,
36,1812,,,,,,,0.9575999975204468,0.17400461435317993
36,1812,,,0.9888799786567688,,0.06720755994319916,,,
37,1849,,,,0.9921875,,0.060672126710414886,,
37,1861,,,,,,,0.958899974822998,0.1675492376089096
37,1861,,,0.9886000156402588,,0.06620422750711441,,,
38,1899,,,,0.98828125,,0.06229185312986374,,
38,1910,,,,,,,0.9581000208854675,0.16701336205005646
38,1910,,,0.9888399839401245,,0.06562280654907227,,,
39,1949,,,,0.98828125,,0.07605719566345215,,
39,1959,,,,,,,0.9605000019073486,0.16258598864078522
39,1959,,,0.9887999892234802,,0.06488316506147385,,,
40,1999,,,,0.982421875,,0.07605380564928055,,
40,2008,,,,,,,0.958899974822998,0.16541995108127594
40,2008,,,0.9894000291824341,,0.06376194208860397,,,
41,2049,,,,0.990234375,,0.06193235516548157,,
41,2057,,,,,,,0.9592999815940857,0.16928431391716003
41,2057,,,0.9894400238990784,,0.06339810788631439,,,
42,2099,,,,0.99609375,,0.05135536566376686,,
42,2106,,,,,,,0.9605000019073486,0.161955788731575
42,2106,,,0.989080011844635,,0.0634448453783989,,,
43,2149,,,,0.994140625,,0.06377248466014862,,
43,2155,,,,,,,0.9599000215530396,0.16154618561267853
43,2155,,,0.9896799921989441,,0.06355512887239456,,,
44,2199,,,,0.9921875,,0.05801432952284813,,
44,2204,,,,,,,0.9602000117301941,0.1610150784254074
44,2204,,,0.9896000027656555,,0.06286022812128067,,,
45,2205,0.9657999873161316,0.1455824077129364,,,,,,
