epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.380859375,,2.0917091369628906,,
0,68,,,,,,,0.37279999256134033,2.003866195678711
0,68,,,0.2962000072002411,,2.1656785011291504,,,
1,99,,,,0.408203125,,1.8376588821411133,,
1,137,,,,,,,0.4864000082015991,1.6816130876541138
1,137,,,0.4413999915122986,,1.842273235321045,,,
2,149,,,,0.537109375,,1.6194796562194824,,
2,199,,,,0.666015625,,1.4219326972961426,,
2,206,,,,,,,0.6805999875068665,1.3693628311157227
2,206,,,0.592457115650177,,1.5287810564041138,,,
3,249,,,,0.765625,,1.1229393482208252,,
3,275,,,,,,,0.7915999889373779,1.0094761848449707
3,275,,,0.7469428777694702,,1.1787388324737549,,,
4,299,,,,0.794921875,,0.9294800758361816,,
4,344,,,,,,,0.786300003528595,0.8159827589988708
4,344,,,0.8414000272750854,,0.8560595512390137,,,
5,349,,,,0.90234375,,0.6933659315109253,,
5,399,,,,0.892578125,,0.5748005509376526,,
5,413,,,,,,,0.8525999784469604,0.6358190178871155
5,413,,,0.8960285782814026,,0.6218990087509155,,,
6,449,,,,0.923828125,,0.42057502269744873,,
6,482,,,,,,,0.8324999809265137,0.5885747671127319
6,482,,,0.9241714477539062,,0.46013545989990234,,,
7,499,,,,0.935546875,,0.38956040143966675,,
7,549,,,,0.951171875,,0.31081879138946533,,
7,551,,,,,,,0.920199990272522,0.37931540608406067
7,551,,,0.9383714199066162,,0.3548032343387604,,,
8,599,,,,0.94921875,,0.269672691822052,,
8,620,,,,,,,0.9330000281333923,0.30130159854888916
8,620,,,0.9488571286201477,,0.2831745445728302,,,
9,649,,,,0.95703125,,0.24645495414733887,,
9,689,,,,,,,0.9271000027656555,0.3063027560710907
9,689,,,0.9555428624153137,,0.2370522916316986,,,
10,699,,,,0.95703125,,0.22653573751449585,,
10,749,,,,0.966796875,,0.20939543843269348,,
10,758,,,,,,,0.8779000043869019,0.42842337489128113
10,758,,,0.9590857028961182,,0.20537309348583221,,,
11,799,,,,0.958984375,,0.19057044386863708,,
11,827,,,,,,,0.9570000171661377,0.19165310263633728
11,827,,,0.9628571271896362,,0.18115508556365967,,,
12,849,,,,0.955078125,,0.17276427149772644,,
12,896,,,,,,,0.9614999890327454,0.171617329120636
12,896,,,0.9656857252120972,,0.16195543110370636,,,
13,899,,,,0.97265625,,0.13101008534431458,,
13,949,,,,0.962890625,,0.16581499576568604,,
13,965,,,,,,,0.8978999853134155,0.32383352518081665
13,965,,,0.968999981880188,,0.14753371477127075,,,
14,999,,,,0.978515625,,0.12810344994068146,,
14,1034,,,,,,,0.9430999755859375,0.2244757115840912
14,1034,,,0.9705714583396912,,0.13657411932945251,,,
15,1049,,,,0.970703125,,0.14844956994056702,,
15,1099,,,,0.9765625,,0.12458211183547974,,
15,1103,,,,,,,0.9180999994277954,0.2756823003292084
15,1103,,,0.9713143110275269,,0.12751370668411255,,,
16,1149,,,,0.974609375,,0.10651335120201111,,
16,1172,,,,,,,0.9458000063896179,0.2053757607936859
16,1172,,,0.973628580570221,,0.11892133206129074,,,
17,1199,,,,0.974609375,,0.1173764169216156,,
17,1241,,,,,,,0.9621999859809875,0.14641380310058594
17,1241,,,0.975942850112915,,0.11118869483470917,,,
18,1249,,,,0.95703125,,0.13698673248291016,,
18,1299,,,,0.982421875,,0.08955533802509308,,
18,1310,,,,,,,0.9672999978065491,0.13137714564800262
18,1310,,,0.9757428765296936,,0.10596252977848053,,,
19,1349,,,,0.982421875,,0.08453795313835144,,
19,1379,,,,,,,0.9649999737739563,0.13894709944725037
19,1379,,,0.9781428575515747,,0.09971161186695099,,,
20,1399,,,,0.982421875,,0.08579136431217194,,
20,1448,,,,,,,0.9671000242233276,0.13006815314292908
20,1448,,,0.9783714413642883,,0.09601690620183945,,,
21,1449,,,,0.984375,,0.09342710673809052,,
21,1499,,,,0.986328125,,0.083269864320755,,
21,1517,,,,,,,0.9664000272750854,0.1274699568748474
21,1517,,,0.9796857237815857,,0.0916178748011589,,,
22,1549,,,,0.984375,,0.0776623785495758,,
22,1586,,,,,,,0.9663000106811523,0.12408854067325592
22,1586,,,0.9798571467399597,,0.08771174401044846,,,
23,1599,,,,0.984375,,0.07410372793674469,,
23,1649,,,,0.98046875,,0.08765434473752975,,
23,1655,,,,,,,0.9265999794006348,0.24473781883716583
23,1655,,,0.9818000197410583,,0.08448117971420288,,,
24,1656,0.9320999979972839,0.23181627690792084,,,,,,
