epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,29,,,,,,,0.2198999971151352,2.2284750938415527
0,29,,,0.1945333331823349,,2.248366594314575,,,
1,49,,,,0.302734375,,2.1046619415283203,,
1,59,,,,,,,0.4059000015258789,2.0524632930755615
1,59,,,0.33500000834465027,,2.1247341632843018,,,
2,89,,,,,,,0.4498000144958496,1.8991888761520386
2,89,,,0.39933332800865173,,1.979949951171875,,,
3,99,,,,0.46484375,,1.856562614440918,,
3,119,,,,,,,0.46799999475479126,1.765811562538147
3,119,,,0.47119998931884766,,1.8362823724746704,,,
4,149,,,,0.4934210479259491,,1.7018142938613892,,
4,149,,,,,,,0.4903999865055084,1.655225396156311
4,149,,,0.5346666574478149,,1.7047665119171143,,,
5,179,,,,,,,0.5863999724388123,1.5142436027526855
5,179,,,0.5910000205039978,,1.573609471321106,,,
6,199,,,,0.6640625,,1.3926832675933838,,
6,209,,,,,,,0.633899986743927,1.3683265447616577
6,209,,,0.6640666723251343,,1.4326848983764648,,,
7,239,,,,,,,0.7390999794006348,1.2146565914154053
7,239,,,0.7160666584968567,,1.2802369594573975,,,
8,249,,,,0.802734375,,1.1118733882904053,,
8,269,,,,,,,0.6894999742507935,1.135284423828125
8,269,,,0.7668666839599609,,1.1301783323287964,,,
9,299,,,,0.7828947305679321,,0.9237080812454224,,
9,299,,,,,,,0.8238999843597412,0.9144335985183716
9,299,,,0.8178666830062866,,0.9884554147720337,,,
10,329,,,,,,,0.8185999989509583,0.8707522749900818
10,329,,,0.8471999764442444,,0.8639230728149414,,,
11,349,,,,0.884765625,,0.7236771583557129,,
11,359,,,,,,,0.7440999746322632,0.8934352397918701
11,359,,,0.8737999796867371,,0.7567250728607178,,,
12,389,,,,,,,0.8909000158309937,0.6501523852348328
12,389,,,0.8872666954994202,,0.6732841730117798,,,
13,399,,,,0.908203125,,0.5776773691177368,,
13,419,,,,,,,0.8873999714851379,0.6049096584320068
13,419,,,0.9050666689872742,,0.5900202989578247,,,
14,449,,,,0.8947368264198303,,0.5277441143989563,,
14,449,,,,,,,0.70169997215271,0.8505086898803711
14,449,,,0.9158666729927063,,0.525515079498291,,,
15,479,,,,,,,0.8689000010490417,0.5520050525665283
15,479,,,0.9232000112533569,,0.4724750518798828,,,
16,499,,,,0.92578125,,0.41343042254447937,,
16,509,,,,,,,0.9204000234603882,0.42891019582748413
16,509,,,0.9291999936103821,,0.4263059198856354,,,
17,539,,,,,,,0.9140999913215637,0.441485732793808
17,539,,,0.9348666667938232,,0.3878784477710724,,,
18,549,,,,0.931640625,,0.3742344379425049,,
18,569,,,,,,,0.906000018119812,0.4264947175979614
18,569,,,0.9392666816711426,,0.3559114634990692,,,
19,599,,,,0.9802631735801697,,0.26878607273101807,,
19,599,,,,,,,0.9404000043869019,0.3291875123977661
19,599,,,0.9431999921798706,,0.3291463553905487,,,
20,629,,,,,,,0.9318000078201294,0.3375210464000702
20,629,,,0.9448666572570801,,0.3077806830406189,,,
21,649,,,,0.943359375,,0.2622257471084595,,
21,659,,,,,,,0.9348000288009644,0.30631452798843384
21,659,,,0.9491999745368958,,0.28764134645462036,,,
22,689,,,,,,,0.9089999794960022,0.3847246468067169
22,689,,,0.9508000016212463,,0.27073612809181213,,,
23,699,,,,0.96484375,,0.2563272714614868,,
23,719,,,,,,,0.9485999941825867,0.2770288288593292
23,719,,,0.9537333250045776,,0.25799760222435,,,
24,749,,,,0.9539473652839661,,0.20113210380077362,,
24,749,,,,,,,0.9265000224113464,0.3154716193675995
24,749,,,0.95660001039505,,0.24355383217334747,,,
25,779,,,,,,,0.947700023651123,0.264448881149292
25,779,,,0.9560666680335999,,0.23390354216098785,,,
