sample_id,label,score,rank,method
1573,35,16.33795738220215,0,intrinsic_dimensionality_twonn
2810,39,17.767417907714844,1,intrinsic_dimensionality_twonn
1570,53,18.0096378326416,2,intrinsic_dimensionality_twonn
3968,43,18.0767879486084,3,intrinsic_dimensionality_twonn
2417,39,18.171358108520508,4,intrinsic_dimensionality_twonn
3756,1,18.19357681274414,5,intrinsic_dimensionality_twonn
741,43,18.20949935913086,6,intrinsic_dimensionality_twonn
3927,1,18.23363494873047,7,intrinsic_dimensionality_twonn
393,1,18.317123413085938,8,intrinsic_dimensionality_twonn
453,41,18.320697784423828,9,intrinsic_dimensionality_twonn
634,43,18.358928680419922,10,intrinsic_dimensionality_twonn
2730,0,18.45193099975586,11,intrinsic_dimensionality_twonn
1882,46,18.550657272338867,12,intrinsic_dimensionality_twonn
370,58,18.55942153930664,13,intrinsic_dimensionality_twonn
2572,10,18.66876220703125,14,intrinsic_dimensionality_twonn
3047,61,18.757003784179688,15,intrinsic_dimensionality_twonn
4241,1,18.771739959716797,16,intrinsic_dimensionality_twonn
2261,46,18.78633689880371,17,intrinsic_dimensionality_twonn
3739,1,18.790067672729492,18,intrinsic_dimensionality_twonn
3125,58,18.930278778076172,19,intrinsic_dimensionality_twonn
257,50,19.03903579711914,20,intrinsic_dimensionality_twonn
1833,41,19.059337615966797,21,intrinsic_dimensionality_twonn
3726,43,19.0642147064209,22,intrinsic_dimensionality_twonn
2307,1,19.06681251525879,23,intrinsic_dimensionality_twonn
2388,1,19.10711097717285,24,intrinsic_dimensionality_twonn
3901,57,19.114452362060547,25,intrinsic_dimensionality_twonn
3272,1,19.134891510009766,26,intrinsic_dimensionality_twonn
2513,50,19.143447875976562,27,intrinsic_dimensionality_twonn
388,1,19.146602630615234,28,intrinsic_dimensionality_twonn
4230,42,19.224933624267578,29,intrinsic_dimensionality_twonn
3585,43,19.261775970458984,30,intrinsic_dimensionality_twonn
2786,53,19.289390563964844,31,intrinsic_dimensionality_twonn
2311,5,19.325937271118164,32,intrinsic_dimensionality_twonn
1853,1,19.345325469970703,33,intrinsic_dimensionality_twonn
3826,40,19.350465774536133,34,intrinsic_dimensionality_twonn
867,57,19.388824462890625,35,intrinsic_dimensionality_twonn
3673,57,19.392196655273438,36,intrinsic_dimensionality_twonn
2883,1,19.40424346923828,37,intrinsic_dimensionality_twonn
1335,43,19.41291046142578,38,intrinsic_dimensionality_twonn
40,56,19.41608428955078,39,intrinsic_dimensionality_twonn
3455,43,19.418697357177734,40,intrinsic_dimensionality_twonn
2500,45,19.427928924560547,41,intrinsic_dimensionality_twonn
326,1,19.42970848083496,42,intrinsic_dimensionality_twonn
316,47,19.441267013549805,43,intrinsic_dimensionality_twonn
3963,44,19.46558380126953,44,intrinsic_dimensionality_twonn
2732,43,19.515451431274414,45,intrinsic_dimensionality_twonn
4166,47,19.589336395263672,46,intrinsic_dimensionality_twonn
1015,45,19.594497680664062,47,intrinsic_dimensionality_twonn
2762,47,19.596511840820312,48,intrinsic_dimensionality_twonn
3744,58,19.607343673706055,49,intrinsic_dimensionality_twonn
1903,52,19.65166664123535,50,intrinsic_dimensionality_twonn
53,56,19.653539657592773,51,intrinsic_dimensionality_twonn
3199,41,19.66547966003418,52,intrinsic_dimensionality_twonn
2950,1,19.66741943359375,53,intrinsic_dimensionality_twonn
1546,6,19.67044448852539,54,intrinsic_dimensionality_twonn
1045,8,19.68208885192871,55,intrinsic_dimensionality_twonn
3155,52,19.695476531982422,56,intrinsic_dimensionality_twonn
4000,52,19.70834732055664,57,intrinsic_dimensionality_twonn
260,57,19.714702606201172,58,intrinsic_dimensionality_twonn
180,39,19.718135833740234,59,intrinsic_dimensionality_twonn
1369,56,19.737567901611328,60,intrinsic_dimensionality_twonn
280,40,19.75434112548828,61,intrinsic_dimensionality_twonn
797,47,19.76263427734375,62,intrinsic_dimensionality_twonn
3817,0,19.771892547607422,63,intrinsic_dimensionality_twonn
1024,43,19.78992462158203,64,intrinsic_dimensionality_twonn
2033,1,19.796241760253906,65,intrinsic_dimensionality_twonn
3466,53,19.811477661132812,66,intrinsic_dimensionality_twonn
1564,43,19.824270248413086,67,intrinsic_dimensionality_twonn
4296,30,19.827362060546875,68,intrinsic_dimensionality_twonn
2735,52,19.832401275634766,69,intrinsic_dimensionality_twonn
3324,52,19.8471622467041,70,intrinsic_dimensionality_twonn
1532,40,19.865291595458984,71,intrinsic_dimensionality_twonn
2439,61,19.875770568847656,72,intrinsic_dimensionality_twonn
3456,1,19.880908966064453,73,intrinsic_dimensionality_twonn
3033,58,19.881423950195312,74,intrinsic_dimensionality_twonn
306,45,19.881511688232422,75,intrinsic_dimensionality_twonn
590,1,19.89139175415039,76,intrinsic_dimensionality_twonn
495,51,19.904748916625977,77,intrinsic_dimensionality_twonn
984,46,19.919273376464844,78,intrinsic_dimensionality_twonn
2335,1,19.94141387939453,79,intrinsic_dimensionality_twonn
1449,59,19.957670211791992,80,intrinsic_dimensionality_twonn
3454,46,19.999866485595703,81,intrinsic_dimensionality_twonn
4168,46,20.003528594970703,82,intrinsic_dimensionality_twonn
4170,50,20.017242431640625,83,intrinsic_dimensionality_twonn
3584,46,20.041637420654297,84,intrinsic_dimensionality_twonn
2240,52,20.05813217163086,85,intrinsic_dimensionality_twonn
2056,58,20.0616512298584,86,intrinsic_dimensionality_twonn
3434,58,20.075075149536133,87,intrinsic_dimensionality_twonn
1123,58,20.078092575073242,88,intrinsic_dimensionality_twonn
3253,1,20.0877742767334,89,intrinsic_dimensionality_twonn
1713,51,20.088050842285156,90,intrinsic_dimensionality_twonn
2864,43,20.091876983642578,91,intrinsic_dimensionality_twonn
3339,56,20.09689712524414,92,intrinsic_dimensionality_twonn
1638,43,20.139379501342773,93,intrinsic_dimensionality_twonn
2543,58,20.16180419921875,94,intrinsic_dimensionality_twonn
3985,57,20.175861358642578,95,intrinsic_dimensionality_twonn
4090,43,20.180234909057617,96,intrinsic_dimensionality_twonn
3899,8,20.19835662841797,97,intrinsic_dimensionality_twonn
1442,42,20.203250885009766,98,intrinsic_dimensionality_twonn
3732,6,20.20600128173828,99,intrinsic_dimensionality_twonn
2135,52,20.212238311767578,100,intrinsic_dimensionality_twonn
500,1,20.21567153930664,101,intrinsic_dimensionality_twonn
3304,0,20.220584869384766,102,intrinsic_dimensionality_twonn
3277,47,20.233028411865234,103,intrinsic_dimensionality_twonn
1594,56,20.246335983276367,104,intrinsic_dimensionality_twonn
1540,47,20.259183883666992,105,intrinsic_dimensionality_twonn
4096,47,20.26529312133789,106,intrinsic_dimensionality_twonn
3342,1,20.26885223388672,107,intrinsic_dimensionality_twonn
2075,52,20.278518676757812,108,intrinsic_dimensionality_twonn
177,0,20.27910614013672,109,intrinsic_dimensionality_twonn
2725,58,20.29296112060547,110,intrinsic_dimensionality_twonn
2724,1,20.299110412597656,111,intrinsic_dimensionality_twonn
1253,57,20.30319595336914,112,intrinsic_dimensionality_twonn
581,56,20.304527282714844,113,intrinsic_dimensionality_twonn
3972,1,20.30664825439453,114,intrinsic_dimensionality_twonn
3200,1,20.316471099853516,115,intrinsic_dimensionality_twonn
2879,39,20.319232940673828,116,intrinsic_dimensionality_twonn
119,43,20.31949806213379,117,intrinsic_dimensionality_twonn
2563,32,20.323434829711914,118,intrinsic_dimensionality_twonn
647,57,20.32733917236328,119,intrinsic_dimensionality_twonn
70,46,20.331195831298828,120,intrinsic_dimensionality_twonn
1863,1,20.344703674316406,121,intrinsic_dimensionality_twonn
63,42,20.346052169799805,122,intrinsic_dimensionality_twonn
2437,42,20.35163116455078,123,intrinsic_dimensionality_twonn
728,52,20.353164672851562,124,intrinsic_dimensionality_twonn
2774,52,20.37176513671875,125,intrinsic_dimensionality_twonn
2387,1,20.375835418701172,126,intrinsic_dimensionality_twonn
4278,1,20.380489349365234,127,intrinsic_dimensionality_twonn
4323,63,20.38434600830078,128,intrinsic_dimensionality_twonn
308,39,20.399349212646484,129,intrinsic_dimensionality_twonn
111,53,20.401731491088867,130,intrinsic_dimensionality_twonn
2044,43,20.420658111572266,131,intrinsic_dimensionality_twonn
2753,53,20.435344696044922,132,intrinsic_dimensionality_twonn
2830,6,20.438369750976562,133,intrinsic_dimensionality_twonn
1325,58,20.441497802734375,134,intrinsic_dimensionality_twonn
527,39,20.453279495239258,135,intrinsic_dimensionality_twonn
3495,46,20.462215423583984,136,intrinsic_dimensionality_twonn
3209,60,20.469717025756836,137,intrinsic_dimensionality_twonn
2918,53,20.483348846435547,138,intrinsic_dimensionality_twonn
2110,30,20.48453140258789,139,intrinsic_dimensionality_twonn
1245,43,20.486623764038086,140,intrinsic_dimensionality_twonn
311,0,20.490497589111328,141,intrinsic_dimensionality_twonn
4196,51,20.4913330078125,142,intrinsic_dimensionality_twonn
1904,1,20.498653411865234,143,intrinsic_dimensionality_twonn
2588,0,20.503026962280273,144,intrinsic_dimensionality_twonn
2025,46,20.519943237304688,145,intrinsic_dimensionality_twonn
3420,57,20.524154663085938,146,intrinsic_dimensionality_twonn
2589,63,20.525131225585938,147,intrinsic_dimensionality_twonn
474,6,20.527307510375977,148,intrinsic_dimensionality_twonn
2800,58,20.535890579223633,149,intrinsic_dimensionality_twonn
1513,53,20.542482376098633,150,intrinsic_dimensionality_twonn
71,56,20.54629898071289,151,intrinsic_dimensionality_twonn
812,43,20.54885482788086,152,intrinsic_dimensionality_twonn
1474,42,20.549333572387695,153,intrinsic_dimensionality_twonn
4018,1,20.557788848876953,154,intrinsic_dimensionality_twonn
4123,52,20.56759262084961,155,intrinsic_dimensionality_twonn
335,39,20.575958251953125,156,intrinsic_dimensionality_twonn
2065,52,20.57761001586914,157,intrinsic_dimensionality_twonn
3551,1,20.596229553222656,158,intrinsic_dimensionality_twonn
3135,50,20.599632263183594,159,intrinsic_dimensionality_twonn
1146,39,20.602252960205078,160,intrinsic_dimensionality_twonn
2721,6,20.607444763183594,161,intrinsic_dimensionality_twonn
2681,57,20.620315551757812,162,intrinsic_dimensionality_twonn
3820,57,20.624589920043945,163,intrinsic_dimensionality_twonn
1539,50,20.628421783447266,164,intrinsic_dimensionality_twonn
3902,0,20.63060760498047,165,intrinsic_dimensionality_twonn
341,39,20.63515853881836,166,intrinsic_dimensionality_twonn
670,47,20.636165618896484,167,intrinsic_dimensionality_twonn
210,58,20.65111541748047,168,intrinsic_dimensionality_twonn
1280,10,20.65115737915039,169,intrinsic_dimensionality_twonn
2844,59,20.656169891357422,170,intrinsic_dimensionality_twonn
303,39,20.657852172851562,171,intrinsic_dimensionality_twonn
3691,47,20.659128189086914,172,intrinsic_dimensionality_twonn
1657,1,20.66822052001953,173,intrinsic_dimensionality_twonn
123,60,20.674945831298828,174,intrinsic_dimensionality_twonn
1411,53,20.67682647705078,175,intrinsic_dimensionality_twonn
1373,40,20.679288864135742,176,intrinsic_dimensionality_twonn
2591,0,20.687538146972656,177,intrinsic_dimensionality_twonn
2325,61,20.69174575805664,178,intrinsic_dimensionality_twonn
4272,1,20.6942081451416,179,intrinsic_dimensionality_twonn
2893,51,20.697242736816406,180,intrinsic_dimensionality_twonn
3889,6,20.702884674072266,181,intrinsic_dimensionality_twonn
4187,1,20.707202911376953,182,intrinsic_dimensionality_twonn
1763,1,20.70798110961914,183,intrinsic_dimensionality_twonn
4235,53,20.709688186645508,184,intrinsic_dimensionality_twonn
3815,52,20.71942138671875,185,intrinsic_dimensionality_twonn
3045,5,20.729690551757812,186,intrinsic_dimensionality_twonn
1852,58,20.733184814453125,187,intrinsic_dimensionality_twonn
4190,46,20.734031677246094,188,intrinsic_dimensionality_twonn
3306,47,20.736186981201172,189,intrinsic_dimensionality_twonn
394,2,20.736495971679688,190,intrinsic_dimensionality_twonn
1057,43,20.7493896484375,191,intrinsic_dimensionality_twonn
686,53,20.753517150878906,192,intrinsic_dimensionality_twonn
2460,63,20.75818634033203,193,intrinsic_dimensionality_twonn
3425,0,20.77117919921875,194,intrinsic_dimensionality_twonn
3412,1,20.771432876586914,195,intrinsic_dimensionality_twonn
1293,52,20.774463653564453,196,intrinsic_dimensionality_twonn
