sample_id,label,score,rank,method
2145,43,2.328730344772339,0,llm_classifier
1094,1,2.3962998390197754,1,llm_classifier
4205,5,2.4093148708343506,2,llm_classifier
294,1,2.4127488136291504,3,llm_classifier
395,53,2.413405179977417,4,llm_classifier
2002,57,2.4144444465637207,5,llm_classifier
4011,59,2.4145052433013916,6,llm_classifier
2041,45,2.4145333766937256,7,llm_classifier
1842,58,2.4193313121795654,8,llm_classifier
4101,57,2.4198966026306152,9,llm_classifier
4097,1,2.420522689819336,10,llm_classifier
1734,46,2.4213504791259766,11,llm_classifier
3728,39,2.42173433303833,12,llm_classifier
2155,43,2.421745777130127,13,llm_classifier
86,47,2.422489643096924,14,llm_classifier
4024,63,2.4235198497772217,15,llm_classifier
843,46,2.4238531589508057,16,llm_classifier
1984,44,2.4241909980773926,17,llm_classifier
2091,10,2.4248080253601074,18,llm_classifier
4251,58,2.425703763961792,19,llm_classifier
445,57,2.426330089569092,20,llm_classifier
780,1,2.4271998405456543,21,llm_classifier
918,42,2.4276719093322754,22,llm_classifier
4052,39,2.4281787872314453,23,llm_classifier
2218,56,2.428277015686035,24,llm_classifier
664,43,2.4286022186279297,25,llm_classifier
1133,39,2.428778648376465,26,llm_classifier
3414,56,2.4290523529052734,27,llm_classifier
2154,46,2.42941951751709,28,llm_classifier
2081,52,2.429503917694092,29,llm_classifier
3947,45,2.4298624992370605,30,llm_classifier
1692,1,2.4301185607910156,31,llm_classifier
2083,1,2.4302053451538086,32,llm_classifier
476,39,2.4304604530334473,33,llm_classifier
1985,57,2.4314754009246826,34,llm_classifier
1945,39,2.4316391944885254,35,llm_classifier
36,10,2.431647539138794,36,llm_classifier
980,58,2.4317429065704346,37,llm_classifier
2341,1,2.431814670562744,38,llm_classifier
437,56,2.433154582977295,39,llm_classifier
2199,52,2.4335861206054688,40,llm_classifier
2568,53,2.4337315559387207,41,llm_classifier
273,1,2.43422532081604,42,llm_classifier
164,47,2.434417247772217,43,llm_classifier
20,58,2.4345226287841797,44,llm_classifier
1076,52,2.4347195625305176,45,llm_classifier
2200,56,2.434774398803711,46,llm_classifier
1560,59,2.434828519821167,47,llm_classifier
242,42,2.4350199699401855,48,llm_classifier
4020,58,2.435589551925659,49,llm_classifier
694,46,2.435734748840332,50,llm_classifier
2248,58,2.4358043670654297,51,llm_classifier
2799,1,2.4358320236206055,52,llm_classifier
688,0,2.4365878105163574,53,llm_classifier
3452,2,2.4366183280944824,54,llm_classifier
3106,17,2.437270164489746,55,llm_classifier
4103,53,2.437434196472168,56,llm_classifier
1201,58,2.438079833984375,57,llm_classifier
1140,39,2.4386677742004395,58,llm_classifier
2769,58,2.438880443572998,59,llm_classifier
1,1,2.4389467239379883,60,llm_classifier
4328,1,2.4389753341674805,61,llm_classifier
4051,1,2.438992977142334,62,llm_classifier
3851,47,2.439244270324707,63,llm_classifier
3002,63,2.439298152923584,64,llm_classifier
2970,1,2.439800977706909,65,llm_classifier
921,1,2.439896583557129,66,llm_classifier
3757,56,2.4400157928466797,67,llm_classifier
847,1,2.4402027130126953,68,llm_classifier
1776,1,2.440373420715332,69,llm_classifier
2149,50,2.4409232139587402,70,llm_classifier
844,42,2.441624641418457,71,llm_classifier
632,6,2.4418869018554688,72,llm_classifier
4169,49,2.442121982574463,73,llm_classifier
2147,1,2.44227933883667,74,llm_classifier
417,1,2.4424118995666504,75,llm_classifier
2026,58,2.4427785873413086,76,llm_classifier
1273,43,2.4428133964538574,77,llm_classifier
2808,56,2.4430031776428223,78,llm_classifier
2162,47,2.4430932998657227,79,llm_classifier
2017,52,2.4431357383728027,80,llm_classifier
1774,6,2.4431843757629395,81,llm_classifier
3596,0,2.4435830116271973,82,llm_classifier
3538,41,2.443666458129883,83,llm_classifier
226,50,2.443939208984375,84,llm_classifier
4206,63,2.4439806938171387,85,llm_classifier
3595,40,2.44401216506958,86,llm_classifier
3776,1,2.444300413131714,87,llm_classifier
1931,51,2.4444026947021484,88,llm_classifier
2502,56,2.4444520473480225,89,llm_classifier
1948,44,2.4444730281829834,90,llm_classifier
1878,47,2.4445934295654297,91,llm_classifier
1999,43,2.4456915855407715,92,llm_classifier
2303,1,2.445767641067505,93,llm_classifier
2699,51,2.4459567070007324,94,llm_classifier
3981,59,2.446106433868408,95,llm_classifier
771,50,2.4461092948913574,96,llm_classifier
4085,54,2.446333885192871,97,llm_classifier
3833,59,2.446369171142578,98,llm_classifier
4140,1,2.446561098098755,99,llm_classifier
2054,39,2.4468302726745605,100,llm_classifier
2144,46,2.4469895362854004,101,llm_classifier
241,63,2.447129011154175,102,llm_classifier
2332,58,2.447211503982544,103,llm_classifier
1977,63,2.4473366737365723,104,llm_classifier
3289,6,2.4477710723876953,105,llm_classifier
3837,21,2.4478793144226074,106,llm_classifier
4018,1,2.447882652282715,107,llm_classifier
3566,52,2.4481749534606934,108,llm_classifier
784,0,2.4482192993164062,109,llm_classifier
1799,1,2.448302745819092,110,llm_classifier
2195,42,2.448357343673706,111,llm_classifier
4284,53,2.4483885765075684,112,llm_classifier
3424,1,2.44858455657959,113,llm_classifier
3858,0,2.4486093521118164,114,llm_classifier
374,43,2.4487838745117188,115,llm_classifier
3003,43,2.4489998817443848,116,llm_classifier
2167,46,2.449146270751953,117,llm_classifier
4124,43,2.4491701126098633,118,llm_classifier
2339,53,2.4494121074676514,119,llm_classifier
