epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.5754342079162598
0,48,,3.124218702316284,,
1,49,,,2.5677132606506348,
1,97,,,,2.470290422439575
1,97,,2.5099973678588867,,
2,99,,,2.4704701900482178,
2,146,,,,2.417332410812378
2,146,,2.447225570678711,,
3,149,,,2.4226233959198,
3,195,,,,2.2505552768707275
3,195,,2.3791894912719727,,
4,199,,,2.2915825843811035,
4,244,,,,2.056870698928833
4,244,,2.2150683403015137,,
5,249,,,2.074441909790039,
5,293,,,,1.9176799058914185
5,293,,2.040637731552124,,
6,299,,,1.974606990814209,
6,342,,,,1.8005660772323608
6,342,,1.9221813678741455,,
7,349,,,1.8385019302368164,
7,391,,,,1.7177478075027466
7,391,,1.8270527124404907,,
8,399,,,1.7860027551651,
8,440,,,,1.651384949684143
8,440,,1.7501696348190308,,
9,449,,,1.6982280015945435,
9,489,,,,1.593573808670044
9,489,,1.6884156465530396,,
10,499,,,1.6489293575286865,
10,538,,,,1.5582032203674316
10,538,,1.6388096809387207,,
11,549,,,1.6048922538757324,
11,587,,,,1.5188429355621338
11,587,,1.5948989391326904,,
12,599,,,1.5672112703323364,
12,636,,,,1.495058298110962
12,636,,1.5562307834625244,,
13,649,,,1.536116600036621,
13,685,,,,1.4636471271514893
13,685,,1.522759199142456,,
14,699,,,1.4849791526794434,
14,734,,,,1.445557713508606
14,734,,1.4930081367492676,,
15,749,,,1.443739414215088,
15,783,,,,1.4268308877944946
15,783,,1.4652501344680786,,
16,799,,,1.4402974843978882,
16,832,,,,1.411302089691162
16,832,,1.4420825242996216,,
17,849,,,1.4417906999588013,
17,881,,,,1.3963840007781982
17,881,,1.4194774627685547,,
18,899,,,1.3766424655914307,
18,930,,,,1.3829387426376343
18,930,,1.3971925973892212,,
19,949,,,1.3951770067214966,
19,979,,,,1.3773754835128784
19,979,,1.3790335655212402,,
20,999,,,1.3577260971069336,
20,1028,,,,1.3680827617645264
20,1028,,1.3610601425170898,,
21,1049,,,1.3656691312789917,
21,1077,,,,1.3587785959243774
21,1077,,1.343173623085022,,
22,1099,,,1.352453351020813,
22,1126,,,,1.3501845598220825
22,1126,,1.3265076875686646,,
23,1149,,,1.2951972484588623,
23,1175,,,,1.3437148332595825
23,1175,,1.3106410503387451,,
24,1199,,,1.2920624017715454,
24,1224,,,,1.346501350402832
24,1224,,1.2961293458938599,,
25,1249,,,1.27349853515625,
25,1273,,,,1.3397759199142456
25,1273,,1.2820534706115723,,
26,1299,,,1.2810053825378418,
26,1322,,,,1.338128685951233
26,1322,,1.2688020467758179,,
27,1349,,,1.2435985803604126,
27,1371,,,,1.3312610387802124
27,1371,,1.2535297870635986,,
28,1399,,,1.2485628128051758,
28,1420,,,,1.3316893577575684
28,1420,,1.2401026487350464,,
29,1449,,,1.2086389064788818,
29,1469,,,,1.3303378820419312
29,1469,,1.2263964414596558,,
30,1499,,,1.2462902069091797,
30,1518,,,,1.3308448791503906
30,1518,,1.2134894132614136,,
31,1549,,,1.1986241340637207,
31,1567,,,,1.3369067907333374
31,1567,,1.2007073163986206,,
32,1599,,,1.1892163753509521,
32,1616,,,,1.3367700576782227
32,1616,,1.1890263557434082,,
33,1649,,,1.1655646562576294,
33,1665,,,,1.3347671031951904
33,1665,,1.1744986772537231,,
34,1699,,,1.1750433444976807,
34,1714,,,,1.3417617082595825
34,1714,,1.161910057067871,,
35,1749,,,1.167214274406433,
35,1763,,,,1.3387352228164673
35,1763,,1.1485579013824463,,
36,1799,,,1.1572767496109009,
36,1812,,,,1.3494147062301636
36,1812,,1.1348938941955566,,
37,1849,,,1.141191840171814,
37,1861,,,,1.349854588508606
37,1861,,1.121721625328064,,
38,1899,,,1.1236432790756226,
38,1910,,,,1.3590775728225708
38,1910,,1.108870506286621,,
39,1949,,,1.0914393663406372,
39,1959,,,,1.3643265962600708
39,1959,,1.0962213277816772,,
40,1999,,,1.1014082431793213,
40,2008,,,,1.370116949081421
40,2008,,1.0823496580123901,,
41,2049,,,1.0759629011154175,
41,2057,,,,1.371260404586792
41,2057,,1.0684359073638916,,
42,2099,,,1.0728213787078857,
42,2106,,,,1.3849360942840576
42,2106,,1.0548527240753174,,
43,2149,,,1.0465751886367798,
43,2155,,,,1.383873701095581
43,2155,,1.042664885520935,,
44,2199,,,1.0521210432052612,
44,2204,,,,1.398910403251648
44,2204,,1.0293691158294678,,
45,2205,1.398910403251648,,,
