epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.3230748176574707
0,6,,3.6553544998168945,,
1,13,,,,3.277939558029175
1,13,,4.326992511749268,,
2,20,,,,3.091111898422241
2,20,,3.0209801197052,,
3,27,,,,2.910620927810669
3,27,,2.863887310028076,,
4,34,,,,2.7993593215942383
4,34,,2.710721254348755,,
5,41,,,,2.684244155883789
5,41,,2.628661870956421,,
6,48,,,,2.6481857299804688
6,48,,2.577289342880249,,
7,49,,,2.5584354400634766,
7,55,,,,2.6334214210510254
7,55,,2.543653964996338,,
8,62,,,,2.607266426086426
8,62,,2.5190327167510986,,
9,69,,,,2.5847506523132324
9,69,,2.5031728744506836,,
10,76,,,,2.570570945739746
10,76,,2.487515687942505,,
11,83,,,,2.5597846508026123
11,83,,2.4722771644592285,,
12,90,,,,2.5446197986602783
12,90,,2.459547519683838,,
13,97,,,,2.55102801322937
13,97,,2.448668956756592,,
14,99,,,2.446000099182129,
14,104,,,,2.5482637882232666
14,104,,2.444751739501953,,
15,111,,,,2.5297110080718994
15,111,,2.4340031147003174,,
16,118,,,,2.5353381633758545
16,118,,2.425473690032959,,
17,125,,,,2.530775547027588
17,125,,2.417491912841797,,
18,132,,,,2.5443196296691895
18,132,,2.410170316696167,,
19,139,,,,2.5224297046661377
19,139,,2.4010584354400635,,
20,146,,,,2.5431628227233887
20,146,,2.395864248275757,,
21,149,,,2.369717836380005,
21,153,,,,2.5238442420959473
21,153,,2.387075185775757,,
22,160,,,,2.561265230178833
22,160,,2.3796324729919434,,
23,167,,,,2.5321502685546875
23,167,,2.3727898597717285,,
24,174,,,,2.5455572605133057
24,174,,2.360194683074951,,
25,181,,,,2.531038522720337
25,181,,2.354962110519409,,
26,188,,,,2.534752130508423
26,188,,2.34146785736084,,
27,195,,,,2.5467545986175537
27,195,,2.329957962036133,,
28,199,,,2.3143863677978516,
28,202,,,,2.5182788372039795
28,202,,2.324099540710449,,
29,209,,,,2.526492118835449
29,209,,2.3153417110443115,,
30,216,,,,2.5505990982055664
30,216,,2.3064124584198,,
31,223,,,,2.5283968448638916
31,223,,2.2931792736053467,,
32,230,,,,2.5298357009887695
32,230,,2.280298948287964,,
33,237,,,,2.554309129714966
33,237,,2.269561290740967,,
34,244,,,,2.5374796390533447
34,244,,2.259223461151123,,
35,249,,,2.2333948612213135,
35,251,,,,2.5224597454071045
35,251,,2.246178150177002,,
36,258,,,,2.5158302783966064
36,258,,2.2349486351013184,,
37,265,,,,2.5025038719177246
37,265,,2.2180283069610596,,
38,272,,,,2.5063276290893555
38,272,,2.204862594604492,,
39,279,,,,2.4926035404205322
39,279,,2.188971996307373,,
40,286,,,,2.4754369258880615
40,286,,2.170790672302246,,
41,293,,,,2.446319341659546
41,293,,2.15260910987854,,
42,299,,,2.135812282562256,
42,300,,,,2.4619433879852295
42,300,,2.133531093597412,,
43,307,,,,2.4550724029541016
43,307,,2.1172568798065186,,
44,314,,,,2.427255868911743
44,314,,2.0978660583496094,,
45,321,,,,2.3969521522521973
45,321,,2.075958728790283,,
46,328,,,,2.4017174243927
46,328,,2.0544803142547607,,
47,335,,,,2.403940439224243
47,335,,2.037648916244507,,
48,342,,,,2.3521547317504883
48,342,,2.0205695629119873,,
49,349,,,1.9572429656982422,
49,349,,,,2.3843576908111572
49,349,,2.000349283218384,,
50,356,,,,2.3499531745910645
50,356,,1.9895179271697998,,
51,363,,,,2.361143112182617
51,363,,1.96955144405365,,
52,370,,,,2.3369140625
52,370,,1.9527333974838257,,
53,377,,,,2.336759567260742
53,377,,1.9354735612869263,,
54,384,,,,2.3372995853424072
54,384,,1.9191529750823975,,
55,391,,,,2.3369433879852295
55,391,,1.9074913263320923,,
56,398,,,,2.3312530517578125
56,398,,1.8945634365081787,,
57,399,,,1.8628387451171875,
57,405,,,,2.35282564163208
57,405,,1.8809527158737183,,
58,412,,,,2.34810209274292
58,412,,1.8678935766220093,,
59,419,,,,2.347748041152954
59,419,,1.8589533567428589,,
60,426,,,,2.3289408683776855
60,426,,1.8428975343704224,,
61,433,,,,2.350435256958008
61,433,,1.8331085443496704,,
62,440,,,,2.3607871532440186
62,440,,1.8181263208389282,,
63,447,,,,2.3579697608947754
63,447,,1.8115719556808472,,
64,449,,,1.807647943496704,
64,454,,,,2.3688199520111084
64,454,,1.7932326793670654,,
65,461,,,,2.35554575920105
65,461,,1.7860877513885498,,
66,468,,,,2.366068124771118
66,468,,1.7731163501739502,,
67,475,,,,2.369457960128784
67,475,,1.7639873027801514,,
68,482,,,,2.3685050010681152
68,482,,1.750179409980774,,
69,489,,,,2.388406753540039
69,489,,1.7435634136199951,,
70,496,,,,2.3831119537353516
70,496,,1.7304267883300781,,
71,499,,,1.7310419082641602,
71,503,,,,2.3945999145507812
71,503,,1.7208011150360107,,
72,510,,,,2.3814566135406494
72,510,,1.7179584503173828,,
73,517,,,,2.389680862426758
73,517,,1.7037768363952637,,
74,524,,,,2.398092746734619
74,524,,1.6933491230010986,,
75,531,,,,2.3967130184173584
75,531,,1.6832988262176514,,
76,532,2.3967130184173584,,,
