method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
corr_integral,0,32,,1.2923930883407593,
corr_integral,0,64,,1.2904309034347534,
corr_integral,0,128,,1.2875831127166748,
corr_integral,10,32,,1.3049087524414062,
corr_integral,10,64,,1.3057385683059692,
corr_integral,10,128,,1.3010237216949463,
corr_integral,20,32,,1.3303378820419312,
corr_integral,20,64,,1.3240419626235962,
corr_integral,20,128,,1.3255146741867063,
corr_integral,30,32,,1.3522332906723022,
corr_integral,30,64,,1.3448275327682495,
corr_integral,30,128,,1.3503504991531372,
corr_integral,50,32,,1.4205037355422974,
corr_integral,50,64,,1.4189528226852417,
corr_integral,50,128,,1.4225140810012815,
corr_integral,70,32,,1.587983250617981,
corr_integral,70,64,,1.5901644229888916,
corr_integral,70,128,,1.5885165929794312,
corr_integral,90,32,,2.307455778121948,
corr_integral,90,64,,2.266449213027954,
corr_integral,90,128,,2.328940868377685,
