epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5346860885620117,
0,61,,,,2.505113363265991
0,61,,2.9076788425445557,,
1,99,,,2.4583890438079834,
1,123,,,,2.4522323608398438
1,123,,2.4819352626800537,,
2,149,,,2.420825242996216,
2,185,,,,2.3281261920928955
2,185,,2.4165334701538086,,
3,199,,,2.33207368850708,
3,247,,,,2.063302993774414
3,247,,2.239895820617676,,
4,249,,,2.1208834648132324,
4,299,,,1.9593585729599,
4,309,,,,1.9121413230895996
4,309,,2.0286664962768555,,
5,349,,,1.8610055446624756,
5,371,,,,1.785660982131958
5,371,,1.8889939785003662,,
6,399,,,1.7977533340454102,
6,433,,,,1.6788681745529175
6,433,,1.7860703468322754,,
7,449,,,1.725151538848877,
7,495,,,,1.6172131299972534
7,495,,1.7086509466171265,,
8,499,,,1.7115955352783203,
8,549,,,1.6084113121032715,
8,557,,,,1.557814598083496
8,557,,1.6483454704284668,,
9,599,,,1.5945134162902832,
9,619,,,,1.5227280855178833
9,619,,1.5987411737442017,,
10,649,,,1.5819716453552246,
10,681,,,,1.4891602993011475
10,681,,1.5553849935531616,,
11,699,,,1.50420081615448,
11,743,,,,1.4538630247116089
11,743,,1.5184385776519775,,
12,749,,,1.5185794830322266,
12,799,,,1.4416468143463135,
12,805,,,,1.4492073059082031
12,805,,1.4855691194534302,,
13,849,,,1.4390314817428589,
13,867,,,,1.4124315977096558
13,867,,1.459252119064331,,
14,899,,,1.4492844343185425,
14,929,,,,1.3962692022323608
14,929,,1.4318933486938477,,
15,949,,,1.4156980514526367,
15,991,,,,1.3841191530227661
15,991,,1.409879207611084,,
16,999,,,1.4135041236877441,
16,1049,,,1.401505947113037,
16,1053,,,,1.3670049905776978
16,1053,,1.3872929811477661,,
17,1099,,,1.353906512260437,
17,1115,,,,1.3536336421966553
17,1115,,1.368811845779419,,
18,1149,,,1.3625932931900024,
18,1177,,,,1.3387736082077026
18,1177,,1.351466417312622,,
19,1199,,,1.370112419128418,
19,1239,,,,1.3380730152130127
19,1239,,1.3352560997009277,,
20,1249,,,1.3498637676239014,
20,1299,,,1.304921269416809,
20,1301,,,,1.3259705305099487
20,1301,,1.321276307106018,,
21,1349,,,1.3386569023132324,
21,1363,,,,1.318983554840088
21,1363,,1.3045927286148071,,
22,1399,,,1.3033521175384521,
22,1425,,,,1.315721869468689
22,1425,,1.2923530340194702,,
23,1449,,,1.2882946729660034,
23,1487,,,,1.308955192565918
23,1487,,1.2777314186096191,,
24,1499,,,1.2478902339935303,
24,1549,,,1.129766583442688,
24,1549,,,,1.3169139623641968
24,1549,,1.2649626731872559,,
25,1599,,,1.2716634273529053,
25,1611,,,,1.2974796295166016
25,1611,,1.2544379234313965,,
26,1649,,,1.245194435119629,
26,1673,,,,1.2970165014266968
26,1673,,1.2396448850631714,,
27,1699,,,1.2243101596832275,
27,1735,,,,1.3009133338928223
27,1735,,1.2298842668533325,,
28,1749,,,1.2218496799468994,
28,1797,,,,1.290875792503357
28,1797,,1.2190617322921753,,
29,1799,,,1.2120308876037598,
29,1849,,,1.206645131111145,
29,1859,,,,1.298140525817871
29,1859,,1.206557035446167,,
30,1899,,,1.202492594718933,
30,1921,,,,1.3041126728057861
30,1921,,1.1952412128448486,,
31,1949,,,1.1778340339660645,
31,1983,,,,1.2905861139297485
31,1983,,1.185349464416504,,
32,1999,,,1.162747859954834,
32,2045,,,,1.2950398921966553
32,2045,,1.1729272603988647,,
33,2049,,,1.1659801006317139,
33,2099,,,1.1565461158752441,
33,2107,,,,1.2943611145019531
33,2107,,1.162495732307434,,
34,2149,,,1.1441504955291748,
34,2169,,,,1.2968631982803345
34,2169,,1.1512278318405151,,
35,2199,,,1.13498854637146,
35,2231,,,,1.2864700555801392
35,2231,,1.1403864622116089,,
36,2249,,,1.139345407485962,
36,2293,,,,1.294954538345337
36,2293,,1.1300376653671265,,
37,2299,,,1.122664451599121,
37,2349,,,1.1019231081008911,
37,2355,,,,1.2980674505233765
37,2355,,1.1193357706069946,,
38,2399,,,1.0921363830566406,
38,2417,,,,1.304580807685852
38,2417,,1.1077563762664795,,
39,2449,,,1.0813953876495361,
39,2479,,,,1.3083927631378174
39,2479,,1.0981112718582153,,
40,2499,,,1.0743598937988281,
40,2541,,,,1.309346318244934
40,2541,,1.0855827331542969,,
41,2549,,,1.103281021118164,
41,2599,,,1.0814560651779175,
41,2603,,,,1.3202449083328247
41,2603,,1.075462818145752,,
42,2649,,,1.0645040273666382,
42,2665,,,,1.3177062273025513
42,2665,,1.0644809007644653,,
43,2699,,,1.0451405048370361,
43,2727,,,,1.3232158422470093
43,2727,,1.0529059171676636,,
44,2749,,,1.0364444255828857,
44,2789,,,,1.3315364122390747
44,2789,,1.0437862873077393,,
45,2799,,,1.0136098861694336,
45,2849,,,1.0607683658599854,
45,2851,,,,1.3355854749679565
45,2851,,1.030432105064392,,
46,2899,,,1.0380783081054688,
46,2913,,,,1.339076042175293
46,2913,,1.0204252004623413,,
47,2949,,,1.0173178911209106,
47,2975,,,,1.3530064821243286
47,2975,,1.00835120677948,,
48,2999,,,0.9879916906356812,
48,3037,,,,1.3537418842315674
48,3037,,0.9991568326950073,,
49,3049,,,0.9835221767425537,
49,3099,,,1.0995665788650513,
49,3099,,,,1.3588991165161133
49,3099,,0.9851059913635254,,
50,3149,,,0.9921519756317139,
50,3161,,,,1.362001657485962
50,3161,,0.9754549860954285,,
51,3162,1.362001657485962,,,
