epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.495462656021118
0,6,,3.907585382461548,,
1,13,,,,3.2462832927703857
1,13,,4.261972427368164,,
2,20,,,,2.895101547241211
2,20,,3.146240234375,,
3,27,,,,2.7345786094665527
3,27,,2.8579068183898926,,
4,34,,,,2.6533753871917725
4,34,,2.7126073837280273,,
5,41,,,,2.6018049716949463
5,41,,2.6429684162139893,,
6,48,,,,2.578514337539673
6,48,,2.5958313941955566,,
7,49,,,2.576902389526367,
7,55,,,,2.5623199939727783
7,55,,2.566845417022705,,
8,62,,,,2.5434446334838867
8,62,,2.5462708473205566,,
9,69,,,,2.53006649017334
9,69,,2.5254225730895996,,
10,76,,,,2.5190553665161133
10,76,,2.5032427310943604,,
11,83,,,,2.524846076965332
11,83,,2.49176025390625,,
12,90,,,,2.51729679107666
12,90,,2.478245496749878,,
13,97,,,,2.5046162605285645
13,97,,2.462916374206543,,
14,99,,,2.44405460357666,
14,104,,,,2.528883695602417
14,104,,2.4499266147613525,,
15,111,,,,2.4935643672943115
15,111,,2.4453840255737305,,
16,118,,,,2.4896891117095947
16,118,,2.426466941833496,,
17,125,,,,2.516381025314331
17,125,,2.4129745960235596,,
18,132,,,,2.4884438514709473
18,132,,2.4104111194610596,,
19,139,,,,2.490752935409546
19,139,,2.392467498779297,,
20,146,,,,2.482130527496338
20,146,,2.379638910293579,,
21,149,,,2.343088150024414,
21,153,,,,2.4848382472991943
21,153,,2.3685860633850098,,
22,160,,,,2.467322826385498
22,160,,2.3512322902679443,,
23,167,,,,2.475991725921631
23,167,,2.3362021446228027,,
24,174,,,,2.467690944671631
24,174,,2.3266477584838867,,
25,181,,,,2.454929828643799
25,181,,2.3116261959075928,,
26,188,,,,2.4534378051757812
26,188,,2.290114641189575,,
27,195,,,,2.451080083847046
27,195,,2.280933141708374,,
28,199,,,2.262897491455078,
28,202,,,,2.4544291496276855
28,202,,2.2598884105682373,,
29,209,,,,2.445939064025879
29,209,,2.2476394176483154,,
30,216,,,,2.413464069366455
30,216,,2.2262611389160156,,
31,223,,,,2.413513422012329
31,223,,2.2074975967407227,,
32,230,,,,2.3776960372924805
32,230,,2.1843647956848145,,
33,237,,,,2.3537533283233643
33,237,,2.1543800830841064,,
34,244,,,,2.334681510925293
34,244,,2.1341984272003174,,
35,249,,,2.08554744720459,
35,251,,,,2.3143577575683594
35,251,,2.103804111480713,,
36,258,,,,2.299009323120117
36,258,,2.0765788555145264,,
37,265,,,,2.283496856689453
37,265,,2.0508553981781006,,
38,272,,,,2.260807514190674
38,272,,2.0241289138793945,,
39,279,,,,2.241905450820923
39,279,,1.9973653554916382,,
40,286,,,,2.245143175125122
40,286,,1.9745070934295654,,
41,293,,,,2.2126264572143555
41,293,,1.9572724103927612,,
42,299,,,1.9491431713104248,
42,300,,,,2.2327651977539062
42,300,,1.9350554943084717,,
43,307,,,,2.1994552612304688
43,307,,1.9214352369308472,,
44,314,,,,2.2001852989196777
44,314,,1.8906804323196411,,
45,321,,,,2.204820156097412
45,321,,1.8745673894882202,,
46,328,,,,2.185727834701538
46,328,,1.8540867567062378,,
47,335,,,,2.178438425064087
47,335,,1.8305864334106445,,
48,342,,,,2.1949586868286133
48,342,,1.8097209930419922,,
49,349,,,1.8438321352005005,
49,349,,,,2.188286066055298
49,349,,1.7913635969161987,,
50,356,,,,2.18062162399292
50,356,,1.7787549495697021,,
51,363,,,,2.1945583820343018
51,363,,1.7665501832962036,,
52,370,,,,2.167936325073242
52,370,,1.7483501434326172,,
53,377,,,,2.192790985107422
53,377,,1.7296137809753418,,
54,384,,,,2.183216094970703
54,384,,1.7093297243118286,,
55,391,,,,2.1781535148620605
55,391,,1.6949164867401123,,
56,398,,,,2.1921443939208984
56,398,,1.675012469291687,,
57,399,,,1.6667802333831787,
57,405,,,,2.1917755603790283
57,405,,1.6617835760116577,,
58,412,,,,2.1943275928497314
58,412,,1.6445974111557007,,
59,419,,,,2.2038846015930176
59,419,,1.6328643560409546,,
60,426,,,,2.207836866378784
60,426,,1.612228512763977,,
61,433,,,,2.2070000171661377
61,433,,1.6018667221069336,,
62,440,,,,2.2043673992156982
62,440,,1.5872629880905151,,
63,447,,,,2.21586275100708
63,447,,1.5764930248260498,,
64,449,,,1.5447332859039307,
64,454,,,,2.221597194671631
64,454,,1.561266541481018,,
65,461,,,,2.2264244556427
65,461,,1.546694040298462,,
66,468,,,,2.21991229057312
66,468,,1.534035563468933,,
67,475,,,,2.260775327682495
67,475,,1.5244901180267334,,
68,476,2.260775327682495,,,
