method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
effective_rank,0,32,,1.2848374843597412,
effective_rank,0,64,,1.2909585237503052,
effective_rank,0,128,,1.2864700555801392,
effective_rank,10,32,,1.3063631057739258,
effective_rank,10,64,,1.307023048400879,
effective_rank,10,128,,1.302035927772522,
effective_rank,20,32,,1.3265520334243774,
effective_rank,20,64,,1.3250538110733032,
effective_rank,20,128,,1.324042558670044,
effective_rank,30,32,,1.3528709411621094,
effective_rank,30,64,,1.3520030975341797,
effective_rank,30,128,,1.352939486503601,
effective_rank,50,32,,1.432019829750061,
effective_rank,50,64,,1.4249024391174316,
effective_rank,50,128,,1.430319905281067,
effective_rank,70,32,,1.598501205444336,
effective_rank,70,64,,1.5937947034835815,
effective_rank,70,128,,1.6106436252593994,
effective_rank,90,32,,2.139320135116577,
effective_rank,90,64,,2.160022020339966,
effective_rank,90,128,,2.167936325073242,
