epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.575432777404785,
0,54,,,,2.53788423538208
0,54,,3.025991678237915,,
1,99,,,2.4731311798095703,
1,109,,,,2.450979232788086
1,109,,2.494743585586548,,
2,149,,,2.4215755462646484,
2,164,,,,2.3682546615600586
2,164,,2.431394338607788,,
3,199,,,2.295597553253174,
3,219,,,,2.1309621334075928
3,219,,2.314892292022705,,
4,249,,,2.082657814025879,
4,274,,,,1.9545576572418213
4,274,,2.0937325954437256,,
5,299,,,1.9614969491958618,
5,329,,,,1.8183642625808716
5,329,,1.9506845474243164,,
6,349,,,1.843564748764038,
6,384,,,,1.712586760520935
6,384,,1.8400219678878784,,
7,399,,,1.74126136302948,
7,439,,,,1.6548374891281128
7,439,,1.760250449180603,,
8,449,,,1.7107503414154053,
8,494,,,,1.591101884841919
8,494,,1.695533037185669,,
9,499,,,1.6564416885375977,
9,549,,,1.6203148365020752,
9,549,,,,1.5544439554214478
9,549,,1.6423050165176392,,
10,599,,,1.5904982089996338,
10,604,,,,1.5235016345977783
10,604,,1.5976938009262085,,
11,649,,,1.5793111324310303,
11,659,,,,1.483272671699524
11,659,,1.5568100214004517,,
12,699,,,1.511864423751831,
12,714,,,,1.451263427734375
12,714,,1.5213342905044556,,
13,749,,,1.5001344680786133,
13,769,,,,1.4393247365951538
13,769,,1.4900760650634766,,
14,799,,,1.4355251789093018,
14,824,,,,1.4117923974990845
14,824,,1.4614760875701904,,
15,849,,,1.4376672506332397,
15,879,,,,1.3981910943984985
15,879,,1.4353525638580322,,
16,899,,,1.3798903226852417,
16,934,,,,1.3805700540542603
16,934,,1.4110472202301025,,
17,949,,,1.3910138607025146,
17,989,,,,1.3716671466827393
17,989,,1.3887642621994019,,
18,999,,,1.3764538764953613,
18,1044,,,,1.3580976724624634
18,1044,,1.3676419258117676,,
19,1049,,,1.3526092767715454,
19,1099,,,1.3525617122650146,
19,1099,,,,1.3500653505325317
19,1099,,1.34920334815979,,
20,1149,,,1.3662714958190918,
20,1154,,,,1.3424497842788696
20,1154,,1.3300824165344238,,
21,1199,,,1.3310492038726807,
21,1209,,,,1.3340648412704468
21,1209,,1.3147783279418945,,
22,1249,,,1.294920563697815,
22,1264,,,,1.3273218870162964
22,1264,,1.2982937097549438,,
23,1299,,,1.2692539691925049,
23,1319,,,,1.319300889968872
23,1319,,1.2814891338348389,,
24,1349,,,1.2620913982391357,
24,1374,,,,1.318284034729004
24,1374,,1.2672761678695679,,
25,1399,,,1.250666856765747,
25,1429,,,,1.31793212890625
25,1429,,1.2532447576522827,,
26,1449,,,1.2310023307800293,
26,1484,,,,1.3118302822113037
26,1484,,1.240753173828125,,
27,1499,,,1.2399078607559204,
27,1539,,,,1.3094865083694458
27,1539,,1.2256345748901367,,
28,1549,,,1.1909778118133545,
28,1594,,,,1.313631534576416
28,1594,,1.214482307434082,,
29,1599,,,1.182879090309143,
29,1649,,,1.2310099601745605,
29,1649,,,,1.306837797164917
29,1649,,1.2001217603683472,,
30,1699,,,1.1773746013641357,
30,1704,,,,1.313044548034668
30,1704,,1.1877422332763672,,
31,1749,,,1.1758971214294434,
31,1759,,,,1.3073277473449707
31,1759,,1.1749615669250488,,
32,1799,,,1.1781697273254395,
32,1814,,,,1.3135253190994263
32,1814,,1.1608425378799438,,
33,1849,,,1.1540271043777466,
33,1869,,,,1.313029170036316
33,1869,,1.1494553089141846,,
34,1899,,,1.150174617767334,
34,1924,,,,1.314686894416809
34,1924,,1.1362431049346924,,
35,1949,,,1.1214183568954468,
35,1979,,,,1.3200942277908325
35,1979,,1.124537467956543,,
36,1999,,,1.116090178489685,
36,2034,,,,1.3222036361694336
36,2034,,1.1114035844802856,,
37,2049,,,1.0926966667175293,
37,2089,,,,1.3309587240219116
37,2089,,1.09765625,,
38,2099,,,1.0694725513458252,
38,2144,,,,1.3335596323013306
38,2144,,1.0861090421676636,,
39,2149,,,1.063617467880249,
39,2199,,,1.085200548171997,
39,2199,,,,1.3438420295715332
39,2199,,1.0727516412734985,,
40,2249,,,1.060323715209961,
40,2254,,,,1.342960238456726
40,2254,,1.061108946800232,,
41,2299,,,1.080764651298523,
41,2309,,,,1.3507622480392456
41,2309,,1.0466516017913818,,
42,2349,,,1.0534815788269043,
42,2364,,,,1.3619632720947266
42,2364,,1.034670352935791,,
43,2399,,,1.0307104587554932,
43,2419,,,,1.367005467414856
43,2419,,1.021718978881836,,
44,2449,,,1.0240325927734375,
44,2474,,,,1.3698680400848389
44,2474,,1.0092144012451172,,
45,2475,1.3698680400848389,,,
