epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.6375081539154053
0,30,,3.124516487121582,,
1,49,,,2.537875175476074,
1,61,,,,2.4983303546905518
1,61,,2.5624454021453857,,
2,92,,,,2.458745002746582
2,92,,2.4876911640167236,,
3,99,,,2.44100284576416,
3,123,,,,2.4300179481506348
3,123,,2.4500222206115723,,
4,149,,,2.38031005859375,
4,154,,,,2.3912839889526367
4,154,,2.410889148712158,,
5,185,,,,2.2688040733337402
5,185,,2.3574719429016113,,
6,199,,,2.240939140319824,
6,216,,,,2.1099321842193604
6,216,,2.2355480194091797,,
7,247,,,,2.0075035095214844
7,247,,2.1066231727600098,,
8,249,,,2.0580198764801025,
8,278,,,,1.9247442483901978
8,278,,2.0156588554382324,,
9,299,,,1.964534044265747,
9,309,,,,1.8387088775634766
9,309,,1.9352506399154663,,
10,340,,,,1.7696996927261353
10,340,,1.8705084323883057,,
11,349,,,1.8486112356185913,
11,371,,,,1.7376435995101929
11,371,,1.813779354095459,,
12,399,,,1.7715870141983032,
12,402,,,,1.6901049613952637
12,402,,1.7653014659881592,,
13,433,,,,1.6631360054016113
13,433,,1.7223283052444458,,
14,449,,,1.6872111558914185,
14,464,,,,1.6294686794281006
14,464,,1.6870468854904175,,
15,495,,,,1.6026625633239746
15,495,,1.6483383178710938,,
16,499,,,1.619045615196228,
16,526,,,,1.5793814659118652
16,526,,1.6163369417190552,,
17,549,,,1.5712311267852783,
17,557,,,,1.5573865175247192
17,557,,1.5888779163360596,,
18,588,,,,1.5449498891830444
18,588,,1.5587540864944458,,
19,599,,,1.537667155265808,
19,619,,,,1.5241024494171143
19,619,,1.5346506834030151,,
20,649,,,1.512040615081787,
20,650,,,,1.514164924621582
20,650,,1.5107187032699585,,
21,681,,,,1.499503254890442
21,681,,1.4887340068817139,,
22,699,,,1.4444869756698608,
22,712,,,,1.4853302240371704
22,712,,1.4663808345794678,,
23,743,,,,1.4748563766479492
23,743,,1.4453260898590088,,
24,749,,,1.426504373550415,
24,774,,,,1.464577078819275
24,774,,1.4256054162979126,,
25,799,,,1.4374284744262695,
25,805,,,,1.4588958024978638
25,805,,1.4067374467849731,,
26,836,,,,1.4451704025268555
26,836,,1.3894758224487305,,
27,849,,,1.3633220195770264,
27,867,,,,1.4378281831741333
27,867,,1.3695361614227295,,
28,898,,,,1.4371141195297241
28,898,,1.354465365409851,,
29,899,,,1.3217436075210571,
29,929,,,,1.4357199668884277
29,929,,1.3356480598449707,,
30,949,,,1.33601975440979,
30,960,,,,1.4276493787765503
30,960,,1.3209812641143799,,
31,991,,,,1.4255924224853516
31,991,,1.3022247552871704,,
32,999,,,1.2805051803588867,
32,1022,,,,1.4263759851455688
32,1022,,1.2881516218185425,,
33,1049,,,1.2798511981964111,
33,1053,,,,1.430967092514038
33,1053,,1.2708301544189453,,
34,1084,,,,1.424156904220581
34,1084,,1.2555208206176758,,
35,1099,,,1.2361912727355957,
35,1115,,,,1.423832893371582
35,1115,,1.238598346710205,,
36,1146,,,,1.4298352003097534
36,1146,,1.223241925239563,,
37,1149,,,1.1854816675186157,
37,1177,,,,1.4312437772750854
37,1177,,1.2090665102005005,,
38,1199,,,1.201526165008545,
38,1208,,,,1.4365079402923584
38,1208,,1.1931161880493164,,
39,1239,,,,1.439765453338623
39,1239,,1.1786689758300781,,
40,1249,,,1.1812677383422852,
40,1270,,,,1.447886347770691
40,1270,,1.1611789464950562,,
41,1299,,,1.1760053634643555,
41,1301,,,,1.4552010297775269
41,1301,,1.1450432538986206,,
42,1332,,,,1.4578758478164673
42,1332,,1.128452181816101,,
43,1349,,,1.1237794160842896,
43,1363,,,,1.4533895254135132
43,1363,,1.1139453649520874,,
44,1394,,,,1.4787968397140503
44,1394,,1.0973906517028809,,
45,1399,,,1.0628321170806885,
45,1425,,,,1.4828981161117554
45,1425,,1.0810166597366333,,
46,1449,,,1.070518136024475,
46,1456,,,,1.4885228872299194
46,1456,,1.0655914545059204,,
47,1487,,,,1.4978373050689697
47,1487,,1.050459861755371,,
48,1499,,,1.0113054513931274,
48,1518,,,,1.5098484754562378
48,1518,,1.0324519872665405,,
49,1549,,,1.0564022064208984,
49,1549,,,,1.5227631330490112
49,1549,,1.018521785736084,,
50,1580,,,,1.531490445137024
50,1580,,1.0010181665420532,,
51,1581,1.531490445137024,,,
