epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.5617802143096924
0,42,,2.996729612350464,,
1,49,,,2.5494041442871094,
1,85,,,,2.465444564819336
1,85,,2.518174886703491,,
2,99,,,2.484649658203125,
2,128,,,,2.41628360748291
2,128,,2.4594857692718506,,
3,149,,,2.4131109714508057,
3,171,,,,2.3305673599243164
3,171,,2.4096407890319824,,
4,199,,,2.255129814147949,
4,214,,,,2.1027462482452393
4,214,,2.280832529067993,,
5,249,,,2.0776593685150146,
5,257,,,,1.9700888395309448
5,257,,2.103733539581299,,
6,299,,,1.9583051204681396,
6,300,,,,1.8519014120101929
6,300,,1.9915999174118042,,
7,343,,,,1.7720226049423218
7,343,,1.8994430303573608,,
8,349,,,1.8336758613586426,
8,386,,,,1.7062840461730957
8,386,,1.8245359659194946,,
9,399,,,1.727117657661438,
9,429,,,,1.6555347442626953
9,429,,1.7658568620681763,,
10,449,,,1.7328362464904785,
10,472,,,,1.616896629333496
10,472,,1.7146626710891724,,
11,499,,,1.6554992198944092,
11,515,,,,1.5810763835906982
11,515,,1.6692677736282349,,
12,549,,,1.6120505332946777,
12,558,,,,1.543135404586792
12,558,,1.6340405941009521,,
13,599,,,1.5862011909484863,
13,601,,,,1.524309515953064
13,601,,1.5985231399536133,,
14,644,,,,1.5035752058029175
14,644,,1.566430926322937,,
15,649,,,1.5821315050125122,
15,687,,,,1.4789683818817139
15,687,,1.5383224487304688,,
16,699,,,1.4917182922363281,
16,730,,,,1.4625815153121948
16,730,,1.5119872093200684,,
17,749,,,1.463673710823059,
17,773,,,,1.4421863555908203
17,773,,1.4874191284179688,,
18,799,,,1.4599647521972656,
18,816,,,,1.4269425868988037
18,816,,1.4640741348266602,,
19,849,,,1.4247654676437378,
19,859,,,,1.4210740327835083
19,859,,1.4446693658828735,,
20,899,,,1.4235774278640747,
20,902,,,,1.405530571937561
20,902,,1.423045039176941,,
21,945,,,,1.3960281610488892
21,945,,1.4046040773391724,,
22,949,,,1.364957571029663,
22,988,,,,1.3890376091003418
22,988,,1.3870229721069336,,
23,999,,,1.360507607460022,
23,1031,,,,1.3797156810760498
23,1031,,1.3689647912979126,,
24,1049,,,1.3458858728408813,
24,1074,,,,1.3710851669311523
24,1074,,1.3525867462158203,,
25,1099,,,1.3491261005401611,
25,1117,,,,1.3692970275878906
25,1117,,1.3362514972686768,,
26,1149,,,1.351047158241272,
26,1160,,,,1.3614330291748047
26,1160,,1.3204305171966553,,
27,1199,,,1.3215415477752686,
27,1203,,,,1.3581472635269165
27,1203,,1.3032196760177612,,
28,1246,,,,1.3517014980316162
28,1246,,1.2894083261489868,,
29,1249,,,1.3007316589355469,
29,1289,,,,1.3483197689056396
29,1289,,1.2740764617919922,,
30,1299,,,1.2436912059783936,
30,1332,,,,1.350708246231079
30,1332,,1.2599090337753296,,
31,1349,,,1.2204983234405518,
31,1375,,,,1.350919485092163
31,1375,,1.244415521621704,,
32,1399,,,1.2287371158599854,
32,1418,,,,1.3512299060821533
32,1418,,1.2319015264511108,,
33,1449,,,1.1997053623199463,
33,1461,,,,1.3530056476593018
33,1461,,1.2144862413406372,,
34,1499,,,1.2164802551269531,
34,1504,,,,1.354857325553894
34,1504,,1.202720046043396,,
35,1547,,,,1.357909083366394
35,1547,,1.186033010482788,,
36,1549,,,1.1691336631774902,
36,1590,,,,1.3567935228347778
36,1590,,1.1699515581130981,,
37,1599,,,1.1287832260131836,
37,1633,,,,1.3674192428588867
37,1633,,1.1578620672225952,,
38,1649,,,1.1187515258789062,
38,1676,,,,1.3700342178344727
38,1676,,1.1416486501693726,,
39,1699,,,1.1109840869903564,
39,1719,,,,1.3816983699798584
39,1719,,1.1263319253921509,,
40,1749,,,1.1540560722351074,
40,1762,,,,1.384326696395874
40,1762,,1.113836646080017,,
41,1799,,,1.104435682296753,
41,1805,,,,1.3882776498794556
41,1805,,1.0962376594543457,,
42,1848,,,,1.391422986984253
42,1848,,1.0834341049194336,,
43,1849,,,1.0735526084899902,
43,1891,,,,1.4059643745422363
43,1891,,1.0685442686080933,,
44,1899,,,1.0185894966125488,
44,1934,,,,1.4117993116378784
44,1934,,1.051468014717102,,
45,1935,1.4117993116378784,,,
