epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5712385177612305,
0,61,,,,2.526801109313965
0,61,,2.9599249362945557,,
1,99,,,2.484851360321045,
1,123,,,,2.4554972648620605
1,123,,2.4882099628448486,,
2,149,,,2.432547092437744,
2,185,,,,2.3625519275665283
2,185,,2.423811912536621,,
3,199,,,2.3558435440063477,
3,247,,,,2.10439395904541
3,247,,2.268371105194092,,
4,249,,,2.1351284980773926,
4,299,,,1.967337965965271,
4,309,,,,1.943889856338501
4,309,,2.0460429191589355,,
5,349,,,1.88364577293396,
5,371,,,,1.7912349700927734
5,371,,1.907613754272461,,
6,399,,,1.7903244495391846,
6,433,,,,1.6987648010253906
6,433,,1.8010449409484863,,
7,449,,,1.7137537002563477,
7,495,,,,1.63681161403656
7,495,,1.7234588861465454,,
8,499,,,1.6933536529541016,
8,549,,,1.6504948139190674,
8,557,,,,1.5843921899795532
8,557,,1.6610214710235596,,
9,599,,,1.6090195178985596,
9,619,,,,1.5386056900024414
9,619,,1.6103439331054688,,
10,649,,,1.573447823524475,
10,681,,,,1.5156891345977783
10,681,,1.5652936697006226,,
11,699,,,1.5536999702453613,
11,743,,,,1.4730141162872314
11,743,,1.5298264026641846,,
12,749,,,1.494113802909851,
12,799,,,1.4720919132232666,
12,805,,,,1.4452054500579834
12,805,,1.494093418121338,,
13,849,,,1.4318751096725464,
13,867,,,,1.4225634336471558
13,867,,1.4681146144866943,,
14,899,,,1.43947172164917,
14,929,,,,1.4116233587265015
14,929,,1.4376660585403442,,
15,949,,,1.429855227470398,
15,991,,,,1.3976696729660034
15,991,,1.4161930084228516,,
16,999,,,1.4072048664093018,
16,1049,,,1.3848589658737183,
16,1053,,,,1.3718029260635376
16,1053,,1.3955329656600952,,
17,1099,,,1.3947453498840332,
17,1115,,,,1.363632082939148
17,1115,,1.3753347396850586,,
18,1149,,,1.3526211977005005,
18,1177,,,,1.3554261922836304
18,1177,,1.3572651147842407,,
19,1199,,,1.3396284580230713,
19,1239,,,,1.343207597732544
19,1239,,1.3414580821990967,,
20,1249,,,1.3229762315750122,
20,1299,,,1.3046021461486816,
20,1301,,,,1.3296812772750854
20,1301,,1.3254691362380981,,
21,1349,,,1.292067289352417,
21,1363,,,,1.3208227157592773
21,1363,,1.3101974725723267,,
22,1399,,,1.289844274520874,
22,1425,,,,1.3152823448181152
22,1425,,1.2961058616638184,,
23,1449,,,1.2720082998275757,
23,1487,,,,1.3138843774795532
23,1487,,1.283637523651123,,
24,1499,,,1.2635129690170288,
24,1549,,,1.2487390041351318,
24,1549,,,,1.31230890750885
24,1549,,1.2699451446533203,,
25,1599,,,1.2459479570388794,
25,1611,,,,1.3029743432998657
25,1611,,1.2569094896316528,,
26,1649,,,1.2339706420898438,
26,1673,,,,1.2970967292785645
26,1673,,1.2457871437072754,,
27,1699,,,1.228832483291626,
27,1735,,,,1.3032881021499634
27,1735,,1.2328062057495117,,
28,1749,,,1.2292654514312744,
28,1797,,,,1.2935523986816406
28,1797,,1.2220720052719116,,
29,1799,,,1.1754891872406006,
29,1849,,,1.2205097675323486,
29,1859,,,,1.3036302328109741
29,1859,,1.2096748352050781,,
30,1899,,,1.196665644645691,
30,1921,,,,1.29280686378479
30,1921,,1.1991517543792725,,
31,1949,,,1.17279052734375,
31,1983,,,,1.290225863456726
31,1983,,1.1872327327728271,,
32,1999,,,1.1860194206237793,
32,2045,,,,1.2932779788970947
32,2045,,1.1754634380340576,,
33,2049,,,1.1249330043792725,
33,2099,,,1.1622980833053589,
33,2107,,,,1.2950375080108643
33,2107,,1.164196252822876,,
34,2149,,,1.1695975065231323,
34,2169,,,,1.2955851554870605
34,2169,,1.1528739929199219,,
35,2199,,,1.1323885917663574,
35,2231,,,,1.292954444885254
35,2231,,1.1427345275878906,,
36,2249,,,1.1140773296356201,
36,2293,,,,1.293670415878296
36,2293,,1.1314736604690552,,
37,2299,,,1.1280531883239746,
37,2349,,,1.1291451454162598,
37,2355,,,,1.3008726835250854
37,2355,,1.1201688051223755,,
38,2399,,,1.1332556009292603,
38,2417,,,,1.3091964721679688
38,2417,,1.1069972515106201,,
39,2449,,,1.108188509941101,
39,2479,,,,1.3067570924758911
39,2479,,1.098538875579834,,
40,2499,,,1.0974770784378052,
40,2541,,,,1.3158326148986816
40,2541,,1.0872247219085693,,
41,2549,,,1.0832233428955078,
41,2599,,,1.0822486877441406,
41,2603,,,,1.3175017833709717
41,2603,,1.0765776634216309,,
42,2649,,,1.0800392627716064,
42,2665,,,,1.319569706916809
42,2665,,1.0639963150024414,,
43,2699,,,1.0666675567626953,
43,2727,,,,1.3303700685501099
43,2727,,1.0540388822555542,,
44,2749,,,1.0278438329696655,
44,2789,,,,1.3337167501449585
44,2789,,1.0402623414993286,,
45,2799,,,1.042931079864502,
45,2849,,,1.052812099456787,
45,2851,,,,1.3355344533920288
45,2851,,1.0315994024276733,,
46,2899,,,1.0171061754226685,
46,2913,,,,1.3391207456588745
46,2913,,1.0191575288772583,,
47,2914,1.3391207456588745,,,
