epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.547645092010498
0,48,,3.0793137550354004,,
1,49,,,2.551365375518799,
1,97,,,,2.4557576179504395
1,97,,2.508117198944092,,
2,99,,,2.466170310974121,
2,146,,,,2.4092111587524414
2,146,,2.4408276081085205,,
3,149,,,2.4022603034973145,
3,195,,,,2.2153217792510986
3,195,,2.3619377613067627,,
4,199,,,2.239818572998047,
4,244,,,,2.0097804069519043
4,244,,2.1637988090515137,,
5,249,,,2.0634100437164307,
5,293,,,,1.8811817169189453
5,293,,2.0077762603759766,,
6,299,,,1.9229934215545654,
6,342,,,,1.7708418369293213
6,342,,1.8939694166183472,,
7,349,,,1.824131727218628,
7,391,,,,1.703673005104065
7,391,,1.8071293830871582,,
8,399,,,1.7631165981292725,
8,440,,,,1.6470363140106201
8,440,,1.738407850265503,,
9,449,,,1.696357250213623,
9,489,,,,1.5900784730911255
9,489,,1.6828033924102783,,
10,499,,,1.6377835273742676,
10,538,,,,1.5544829368591309
10,538,,1.6357214450836182,,
11,549,,,1.581921100616455,
11,587,,,,1.522290587425232
11,587,,1.594895839691162,,
12,599,,,1.500977635383606,
12,636,,,,1.48935067653656
12,636,,1.5577905178070068,,
13,649,,,1.5441715717315674,
13,685,,,,1.4688692092895508
13,685,,1.5257014036178589,,
14,699,,,1.5180275440216064,
14,734,,,,1.44760262966156
14,734,,1.49610435962677,,
15,749,,,1.4655681848526,
15,783,,,,1.4289206266403198
15,783,,1.4684609174728394,,
16,799,,,1.4448769092559814,
16,832,,,,1.4076684713363647
16,832,,1.444333791732788,,
17,849,,,1.4425067901611328,
17,881,,,,1.3976894617080688
17,881,,1.421346664428711,,
18,899,,,1.4017465114593506,
18,930,,,,1.391090750694275
18,930,,1.4004186391830444,,
19,949,,,1.3838720321655273,
19,979,,,,1.3731844425201416
19,979,,1.380645513534546,,
20,999,,,1.374274730682373,
20,1028,,,,1.3632798194885254
20,1028,,1.3610559701919556,,
21,1049,,,1.3371785879135132,
21,1077,,,,1.354664921760559
21,1077,,1.3449640274047852,,
22,1099,,,1.3200312852859497,
22,1126,,,,1.3487634658813477
22,1126,,1.3281049728393555,,
23,1149,,,1.2898426055908203,
23,1175,,,,1.3463821411132812
23,1175,,1.312887191772461,,
24,1199,,,1.3197957277297974,
24,1224,,,,1.3334513902664185
24,1224,,1.2955553531646729,,
25,1249,,,1.2879126071929932,
25,1273,,,,1.3288216590881348
25,1273,,1.2819873094558716,,
26,1299,,,1.240128517150879,
26,1322,,,,1.329534888267517
26,1322,,1.267605185508728,,
27,1349,,,1.2724483013153076,
27,1371,,,,1.3269400596618652
27,1371,,1.2530964612960815,,
28,1399,,,1.2451058626174927,
28,1420,,,,1.326324224472046
28,1420,,1.239475131034851,,
29,1449,,,1.2554824352264404,
29,1469,,,,1.327324390411377
29,1469,,1.2259297370910645,,
30,1499,,,1.1934754848480225,
30,1518,,,,1.3219175338745117
30,1518,,1.2128695249557495,,
31,1549,,,1.2008994817733765,
31,1567,,,,1.3216813802719116
31,1567,,1.2000374794006348,,
32,1599,,,1.1941490173339844,
32,1616,,,,1.3178967237472534
32,1616,,1.1846520900726318,,
33,1649,,,1.2052276134490967,
33,1665,,,,1.3281798362731934
33,1665,,1.1732412576675415,,
34,1699,,,1.1682145595550537,
34,1714,,,,1.3246262073516846
34,1714,,1.1608949899673462,,
35,1749,,,1.153599739074707,
35,1763,,,,1.3324154615402222
35,1763,,1.146057367324829,,
36,1799,,,1.1417163610458374,
36,1812,,,,1.336614966392517
36,1812,,1.1328306198120117,,
37,1849,,,1.1368199586868286,
37,1861,,,,1.3395432233810425
37,1861,,1.121214509010315,,
38,1899,,,1.099863052368164,
38,1910,,,,1.3445097208023071
38,1910,,1.1091413497924805,,
39,1949,,,1.1159706115722656,
39,1959,,,,1.3465461730957031
39,1959,,1.0957577228546143,,
40,1999,,,1.074825406074524,
40,2008,,,,1.3541792631149292
40,2008,,1.0820127725601196,,
41,2049,,,1.1098828315734863,
41,2057,,,,1.3609377145767212
41,2057,,1.0690726041793823,,
42,2099,,,1.0820610523223877,
42,2106,,,,1.3666998147964478
42,2106,,1.054996132850647,,
43,2149,,,1.0471210479736328,
43,2155,,,,1.3771016597747803
43,2155,,1.042899250984192,,
44,2199,,,1.0309827327728271,
44,2204,,,,1.3873000144958496
44,2204,,1.0287712812423706,,
45,2249,,,1.0256990194320679,
45,2253,,,,1.393219232559204
45,2253,,1.0166068077087402,,
46,2299,,,1.049625039100647,
46,2302,,,,1.4040212631225586
46,2302,,1.0034129619598389,,
47,2349,,,0.986678957939148,
47,2351,,,,1.4101067781448364
47,2351,,0.9898141622543335,,
48,2352,1.4101067781448364,,,
