epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5623090267181396,
0,54,,,,2.5187158584594727
0,54,,3.0066261291503906,,
1,99,,,2.4723246097564697,
1,109,,,,2.4471685886383057
1,109,,2.5037176609039307,,
2,149,,,2.419685125350952,
2,164,,,,2.352483034133911
2,164,,2.436183214187622,,
3,199,,,2.257476329803467,
3,219,,,,2.1163692474365234
3,219,,2.300290584564209,,
4,249,,,2.097055196762085,
4,274,,,,1.9343347549438477
4,274,,2.0826058387756348,,
5,299,,,1.9271314144134521,
5,329,,,,1.7930691242218018
5,329,,1.9413813352584839,,
6,349,,,1.850733995437622,
6,384,,,,1.6976546049118042
6,384,,1.8298871517181396,,
7,399,,,1.747649908065796,
7,439,,,,1.6307297945022583
7,439,,1.7426174879074097,,
8,449,,,1.7243045568466187,
8,494,,,,1.574011206626892
8,494,,1.674451231956482,,
9,499,,,1.621444821357727,
9,549,,,1.6197186708450317,
9,549,,,,1.530051350593567
9,549,,1.619140386581421,,
10,599,,,1.5747672319412231,
10,604,,,,1.495045781135559
10,604,,1.5726337432861328,,
11,649,,,1.5414680242538452,
11,659,,,,1.4626760482788086
11,659,,1.5325672626495361,,
12,699,,,1.503010630607605,
12,714,,,,1.4373866319656372
12,714,,1.4968734979629517,,
13,749,,,1.448908805847168,
13,769,,,,1.4151431322097778
13,769,,1.4671300649642944,,
14,799,,,1.4600539207458496,
14,824,,,,1.3968870639801025
14,824,,1.4377408027648926,,
15,849,,,1.431809902191162,
15,879,,,,1.3827171325683594
15,879,,1.4133172035217285,,
16,899,,,1.406686544418335,
16,934,,,,1.3662036657333374
16,934,,1.3894096612930298,,
17,949,,,1.3814668655395508,
17,989,,,,1.3576980829238892
17,989,,1.3697381019592285,,
18,999,,,1.343763828277588,
18,1044,,,,1.3487765789031982
18,1044,,1.3499444723129272,,
19,1049,,,1.3177852630615234,
19,1099,,,1.366222858428955,
19,1099,,,,1.3347055912017822
19,1099,,1.3330190181732178,,
20,1149,,,1.3264491558074951,
20,1154,,,,1.3288025856018066
20,1154,,1.315312147140503,,
21,1199,,,1.2749176025390625,
21,1209,,,,1.325620174407959
21,1209,,1.2988179922103882,,
22,1249,,,1.3116427659988403,
22,1264,,,,1.3215771913528442
22,1264,,1.2842075824737549,,
23,1299,,,1.2660179138183594,
23,1319,,,,1.317556381225586
23,1319,,1.2706187963485718,,
24,1349,,,1.2570115327835083,
24,1374,,,,1.3102529048919678
24,1374,,1.2544111013412476,,
25,1399,,,1.2415406703948975,
25,1429,,,,1.3113136291503906
25,1429,,1.241553544998169,,
26,1449,,,1.2273776531219482,
26,1484,,,,1.3053679466247559
26,1484,,1.2274069786071777,,
27,1499,,,1.2159218788146973,
27,1539,,,,1.3074686527252197
27,1539,,1.215153455734253,,
28,1549,,,1.2018482685089111,
28,1594,,,,1.3085254430770874
28,1594,,1.2018195390701294,,
29,1599,,,1.1498196125030518,
29,1649,,,1.1944562196731567,
29,1649,,,,1.3039528131484985
29,1649,,1.189145565032959,,
30,1699,,,1.1944938898086548,
30,1704,,,,1.308203101158142
30,1704,,1.1744710206985474,,
31,1749,,,1.1593363285064697,
31,1759,,,,1.3072022199630737
31,1759,,1.1619454622268677,,
32,1799,,,1.17293119430542,
32,1814,,,,1.3074169158935547
32,1814,,1.1489458084106445,,
33,1849,,,1.1716969013214111,
33,1869,,,,1.318287968635559
33,1869,,1.1370387077331543,,
34,1899,,,1.1445553302764893,
34,1924,,,,1.3150430917739868
34,1924,,1.1235982179641724,,
35,1949,,,1.1283526420593262,
35,1979,,,,1.3207216262817383
35,1979,,1.1118143796920776,,
36,1999,,,1.0908821821212769,
36,2034,,,,1.328871726989746
36,2034,,1.0976009368896484,,
37,2049,,,1.0583336353302002,
37,2089,,,,1.3305469751358032
37,2089,,1.086182713508606,,
38,2099,,,1.0524637699127197,
38,2144,,,,1.3290108442306519
38,2144,,1.0717889070510864,,
39,2149,,,1.0271203517913818,
39,2199,,,1.1005645990371704,
39,2199,,,,1.341526985168457
39,2199,,1.059919834136963,,
40,2249,,,1.0565786361694336,
40,2254,,,,1.3483566045761108
40,2254,,1.0481013059616089,,
41,2299,,,1.0382287502288818,
41,2309,,,,1.3495063781738281
41,2309,,1.034706473350525,,
42,2349,,,1.03755521774292,
42,2364,,,,1.3610771894454956
42,2364,,1.0211631059646606,,
43,2399,,,1.0276072025299072,
43,2419,,,,1.3702043294906616
43,2419,,1.0085328817367554,,
44,2449,,,0.9719182848930359,
44,2474,,,,1.37052583694458
44,2474,,0.995535671710968,,
45,2475,1.37052583694458,,,
