epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.561216115951538
0,48,,3.1423521041870117,,
1,49,,,2.5951194763183594,
1,97,,,,2.459430694580078
1,97,,2.5349135398864746,,
2,99,,,2.492156982421875,
2,146,,,,2.3921732902526855
2,146,,2.4645957946777344,,
3,149,,,2.4049692153930664,
3,195,,,,2.236503839492798
3,195,,2.388221502304077,,
4,199,,,2.3202977180480957,
4,244,,,,2.033731460571289
4,244,,2.2234528064727783,,
5,249,,,2.0682902336120605,
5,293,,,,1.8879717588424683
5,293,,2.0414750576019287,,
6,299,,,1.9437780380249023,
6,342,,,,1.7625741958618164
6,342,,1.909569501876831,,
7,349,,,1.8262877464294434,
7,391,,,,1.6889710426330566
7,391,,1.809922456741333,,
8,399,,,1.7488656044006348,
8,440,,,,1.6268385648727417
8,440,,1.7331695556640625,,
9,449,,,1.710456132888794,
9,489,,,,1.5752851963043213
9,489,,1.67253577709198,,
10,499,,,1.6045629978179932,
10,538,,,,1.5406030416488647
10,538,,1.6218993663787842,,
11,549,,,1.541945457458496,
11,587,,,,1.5024992227554321
11,587,,1.5775350332260132,,
12,599,,,1.5754401683807373,
12,636,,,,1.4761639833450317
12,636,,1.540103554725647,,
13,649,,,1.5212550163269043,
13,685,,,,1.4524562358856201
13,685,,1.5069301128387451,,
14,699,,,1.452911138534546,
14,734,,,,1.429630994796753
14,734,,1.477104902267456,,
15,749,,,1.4343750476837158,
15,783,,,,1.414833426475525
15,783,,1.449737310409546,,
16,799,,,1.4246530532836914,
16,832,,,,1.406416893005371
16,832,,1.4257190227508545,,
17,849,,,1.3846640586853027,
17,881,,,,1.383714199066162
17,881,,1.4035205841064453,,
18,899,,,1.395625352859497,
18,930,,,,1.3762167692184448
18,930,,1.382909893989563,,
19,949,,,1.3814300298690796,
19,979,,,,1.3669426441192627
19,979,,1.3651540279388428,,
20,999,,,1.3662288188934326,
20,1028,,,,1.3573490381240845
20,1028,,1.3442927598953247,,
21,1049,,,1.3378183841705322,
21,1077,,,,1.351592779159546
21,1077,,1.3278684616088867,,
22,1099,,,1.2673439979553223,
22,1126,,,,1.3464878797531128
22,1126,,1.3126745223999023,,
23,1149,,,1.2578974962234497,
23,1175,,,,1.338997721672058
23,1175,,1.2975671291351318,,
24,1199,,,1.2832493782043457,
24,1224,,,,1.3344660997390747
24,1224,,1.2798553705215454,,
25,1249,,,1.2611050605773926,
25,1273,,,,1.3331190347671509
25,1273,,1.264711618423462,,
26,1299,,,1.2316089868545532,
26,1322,,,,1.330190896987915
26,1322,,1.2509782314300537,,
27,1349,,,1.2448081970214844,
27,1371,,,,1.327992558479309
27,1371,,1.2360018491744995,,
28,1399,,,1.2402675151824951,
28,1420,,,,1.3317328691482544
28,1420,,1.2217170000076294,,
29,1449,,,1.2067687511444092,
29,1469,,,,1.3265553712844849
29,1469,,1.2093839645385742,,
30,1499,,,1.2249364852905273,
30,1518,,,,1.3217389583587646
30,1518,,1.1944917440414429,,
31,1549,,,1.1731679439544678,
31,1567,,,,1.3291871547698975
31,1567,,1.1811895370483398,,
32,1599,,,1.168903112411499,
32,1616,,,,1.3311022520065308
32,1616,,1.1679167747497559,,
33,1649,,,1.1511938571929932,
33,1665,,,,1.332772135734558
33,1665,,1.1550613641738892,,
34,1699,,,1.132988691329956,
34,1714,,,,1.334545612335205
34,1714,,1.1390982866287231,,
35,1749,,,1.1485085487365723,
35,1763,,,,1.3417794704437256
35,1763,,1.1279566287994385,,
36,1799,,,1.114089846611023,
36,1812,,,,1.344592809677124
36,1812,,1.1138722896575928,,
37,1849,,,1.09064519405365,
37,1861,,,,1.3456050157546997
37,1861,,1.1013411283493042,,
38,1899,,,1.0717625617980957,
38,1910,,,,1.3514617681503296
38,1910,,1.0863286256790161,,
39,1949,,,1.0949755907058716,
39,1959,,,,1.3588658571243286
39,1959,,1.0729683637619019,,
40,1999,,,1.0984927415847778,
40,2008,,,,1.3624500036239624
40,2008,,1.060838222503662,,
41,2049,,,1.0317683219909668,
41,2057,,,,1.3769688606262207
41,2057,,1.0459071397781372,,
42,2099,,,1.0454809665679932,
42,2106,,,,1.3811612129211426
42,2106,,1.0318361520767212,,
43,2149,,,1.0240498781204224,
43,2155,,,,1.3846055269241333
43,2155,,1.018579125404358,,
44,2199,,,1.0231444835662842,
44,2204,,,,1.4005982875823975
44,2204,,1.0052082538604736,,
45,2249,,,1.0104265213012695,
45,2253,,,,1.4045932292938232
45,2253,,0.9916481971740723,,
46,2254,1.4045932292938232,,,
