method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
perplexity_filtering,0,32,,1.291969656944275,
perplexity_filtering,0,64,,1.2884868383407593,
perplexity_filtering,0,128,,1.2862788438796997,
perplexity_filtering,10,32,,1.3014285564422607,
perplexity_filtering,10,64,,1.3039528131484983,
perplexity_filtering,10,128,,1.2986700534820557,
perplexity_filtering,20,32,,1.3217389583587646,
perplexity_filtering,20,64,,1.3206688165664673,
perplexity_filtering,20,128,,1.3178919553756714,
perplexity_filtering,30,32,,1.3468072414398191,
perplexity_filtering,30,64,,1.3423972129821775,
perplexity_filtering,30,128,,1.3431153297424316,
perplexity_filtering,50,32,,1.415758490562439,
perplexity_filtering,50,64,,1.412650227546692,
perplexity_filtering,50,128,,1.4151580333709717,
perplexity_filtering,70,32,,1.5622096061706543,
perplexity_filtering,70,64,,1.559767246246338,
perplexity_filtering,70,128,,1.550894260406494,
perplexity_filtering,90,32,,2.1790213584899902,
perplexity_filtering,90,64,,2.219287633895874,
perplexity_filtering,90,128,,2.142630815505981,
