epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5273237228393555,
0,61,,,,2.512376546859741
0,61,,2.8522443771362305,,
1,99,,,2.4811391830444336,
1,123,,,,2.4562435150146484
1,123,,2.4821059703826904,,
2,149,,,2.4171996116638184,
2,185,,,,2.325187921524048
2,185,,2.4125545024871826,,
3,199,,,2.3036022186279297,
3,247,,,,2.0585830211639404
3,247,,2.232504367828369,,
4,249,,,2.0860886573791504,
4,299,,,1.9848124980926514,
4,309,,,,1.9302080869674683
4,309,,2.0290277004241943,,
5,349,,,1.8764986991882324,
5,371,,,,1.7775791883468628
5,371,,1.8978817462921143,,
6,399,,,1.8082596063613892,
6,433,,,,1.6869467496871948
6,433,,1.7911146879196167,,
7,449,,,1.7219276428222656,
7,495,,,,1.6165351867675781
7,495,,1.7113820314407349,,
8,499,,,1.6916556358337402,
8,549,,,1.5988903045654297,
8,557,,,,1.5704255104064941
8,557,,1.6482172012329102,,
9,599,,,1.5829473733901978,
9,619,,,,1.5302579402923584
9,619,,1.5942376852035522,,
10,649,,,1.5587470531463623,
10,681,,,,1.4876070022583008
10,681,,1.5511541366577148,,
11,699,,,1.5189589262008667,
11,743,,,,1.4640711545944214
11,743,,1.5119296312332153,,
12,749,,,1.4898128509521484,
12,799,,,1.4613224267959595,
12,805,,,,1.428971767425537
12,805,,1.480576753616333,,
13,849,,,1.4524664878845215,
13,867,,,,1.4366276264190674
13,867,,1.4522252082824707,,
14,899,,,1.4333407878875732,
14,929,,,,1.3887053728103638
14,929,,1.428453803062439,,
15,949,,,1.4177117347717285,
15,991,,,,1.3875421285629272
15,991,,1.404577374458313,,
16,999,,,1.3993982076644897,
16,1049,,,1.3866679668426514,
16,1053,,,,1.3707032203674316
16,1053,,1.3831590414047241,,
17,1099,,,1.3407211303710938,
17,1115,,,,1.3503973484039307
17,1115,,1.362838625907898,,
18,1149,,,1.3522312641143799,
18,1177,,,,1.3379838466644287
18,1177,,1.3444550037384033,,
19,1199,,,1.3568986654281616,
19,1239,,,,1.3270676136016846
19,1239,,1.329567313194275,,
20,1249,,,1.3212156295776367,
20,1299,,,1.319709300994873,
20,1301,,,,1.3214213848114014
20,1301,,1.3130109310150146,,
21,1349,,,1.3094956874847412,
21,1363,,,,1.313082218170166
21,1363,,1.2983533143997192,,
22,1399,,,1.2602044343948364,
22,1425,,,,1.317979097366333
22,1425,,1.28407883644104,,
23,1449,,,1.2684922218322754,
23,1487,,,,1.3063300848007202
23,1487,,1.2702051401138306,,
24,1499,,,1.2405922412872314,
24,1549,,,1.3232395648956299,
24,1549,,,,1.3036366701126099
24,1549,,1.2585707902908325,,
25,1599,,,1.2520289421081543,
25,1611,,,,1.2983622550964355
25,1611,,1.2461994886398315,,
26,1649,,,1.228266716003418,
26,1673,,,,1.2925209999084473
26,1673,,1.2323970794677734,,
27,1699,,,1.1791950464248657,
27,1735,,,,1.2946044206619263
27,1735,,1.2203493118286133,,
28,1749,,,1.2173759937286377,
28,1797,,,,1.29119074344635
28,1797,,1.2098681926727295,,
29,1799,,,1.1956796646118164,
29,1849,,,1.1815860271453857,
29,1859,,,,1.2930259704589844
29,1859,,1.1987615823745728,,
30,1899,,,1.2002406120300293,
30,1921,,,,1.2867076396942139
30,1921,,1.1865750551223755,,
31,1949,,,1.1413547992706299,
31,1983,,,,1.2962781190872192
31,1983,,1.1755894422531128,,
32,1999,,,1.1785469055175781,
32,2045,,,,1.286861777305603
32,2045,,1.1655559539794922,,
33,2049,,,1.1395463943481445,
33,2099,,,1.1509525775909424,
33,2107,,,,1.2955021858215332
33,2107,,1.153087854385376,,
34,2149,,,1.1395316123962402,
34,2169,,,,1.295210599899292
34,2169,,1.141971230506897,,
35,2199,,,1.1363855600357056,
35,2231,,,,1.291813850402832
35,2231,,1.131119966506958,,
36,2249,,,1.1007862091064453,
36,2293,,,,1.294994592666626
36,2293,,1.1205157041549683,,
37,2299,,,1.1179990768432617,
37,2349,,,1.1201748847961426,
37,2355,,,,1.303917407989502
37,2355,,1.1087381839752197,,
38,2399,,,1.1256561279296875,
38,2417,,,,1.3042539358139038
38,2417,,1.097880482673645,,
39,2449,,,1.1208232641220093,
39,2479,,,,1.3081263303756714
39,2479,,1.0865155458450317,,
40,2499,,,1.061356544494629,
40,2541,,,,1.3244982957839966
40,2541,,1.0757277011871338,,
41,2549,,,1.0610584020614624,
41,2599,,,1.0630366802215576,
41,2603,,,,1.3193711042404175
41,2603,,1.0647671222686768,,
42,2649,,,1.0917268991470337,
42,2665,,,,1.3249894380569458
42,2665,,1.0532211065292358,,
43,2699,,,1.0290400981903076,
43,2727,,,,1.3306509256362915
43,2727,,1.0416091680526733,,
44,2749,,,1.048709511756897,
44,2789,,,,1.3320571184158325
44,2789,,1.0311803817749023,,
45,2799,,,0.9906526207923889,
45,2849,,,1.0314912796020508,
45,2851,,,,1.344344973564148
45,2851,,1.017104148864746,,
46,2852,1.344344973564148,,,
