epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.2606801986694336
0,6,,3.7048490047454834,,
1,13,,,,3.0121006965637207
1,13,,3.7500007152557373,,
2,20,,,,2.7863454818725586
2,20,,2.916759967803955,,
3,27,,,,2.6638522148132324
3,27,,2.7267279624938965,,
4,34,,,,2.603346824645996
4,34,,2.637403726577759,,
5,41,,,,2.596755027770996
5,41,,2.5875775814056396,,
6,48,,,,2.564439058303833
6,48,,2.5656161308288574,,
7,49,,,2.5479955673217773,
7,55,,,,2.5357160568237305
7,55,,2.5359110832214355,,
8,62,,,,2.5459251403808594
8,62,,2.5138027667999268,,
9,69,,,,2.533381938934326
9,69,,2.5026400089263916,,
10,76,,,,2.5189731121063232
10,76,,2.4886081218719482,,
11,83,,,,2.511573553085327
11,83,,2.4772915840148926,,
12,90,,,,2.5181941986083984
12,90,,2.465935707092285,,
13,97,,,,2.497990131378174
13,97,,2.454054832458496,,
14,99,,,2.4471840858459473,
14,104,,,,2.4887287616729736
14,104,,2.4402618408203125,,
15,111,,,,2.4951441287994385
15,111,,2.4283337593078613,,
16,118,,,,2.4942691326141357
16,118,,2.423827648162842,,
17,125,,,,2.5004916191101074
17,125,,2.4148736000061035,,
18,132,,,,2.4901933670043945
18,132,,2.403477668762207,,
19,139,,,,2.497541666030884
19,139,,2.388221263885498,,
20,146,,,,2.4878365993499756
20,146,,2.379918098449707,,
21,149,,,2.3772239685058594,
21,153,,,,2.492988348007202
21,153,,2.3667757511138916,,
22,160,,,,2.4797253608703613
22,160,,2.3535315990448,,
23,167,,,,2.4802939891815186
23,167,,2.351044178009033,,
24,174,,,,2.487877130508423
24,174,,2.335512399673462,,
25,181,,,,2.478771209716797
25,181,,2.3239147663116455,,
26,188,,,,2.4716250896453857
26,188,,2.3065059185028076,,
27,195,,,,2.4693734645843506
27,195,,2.2930593490600586,,
28,199,,,2.301210641860962,
28,202,,,,2.4936182498931885
28,202,,2.2843258380889893,,
29,209,,,,2.4791088104248047
29,209,,2.2798759937286377,,
30,216,,,,2.5021142959594727
30,216,,2.2657740116119385,,
31,223,,,,2.4568052291870117
31,223,,2.247964382171631,,
32,230,,,,2.446920871734619
32,230,,2.2339258193969727,,
33,237,,,,2.4396615028381348
33,237,,2.213418483734131,,
34,244,,,,2.406393527984619
34,244,,2.1919374465942383,,
35,249,,,2.1366734504699707,
35,251,,,,2.405050039291382
35,251,,2.1712372303009033,,
36,258,,,,2.3797106742858887
36,258,,2.1480038166046143,,
37,265,,,,2.3797245025634766
37,265,,2.1302478313446045,,
38,272,,,,2.356516122817993
38,272,,2.1103034019470215,,
39,279,,,,2.3439786434173584
39,279,,2.082456350326538,,
40,286,,,,2.32792329788208
40,286,,2.062164545059204,,
41,293,,,,2.301877737045288
41,293,,2.0357015132904053,,
42,299,,,2.0569419860839844,
42,300,,,,2.2919418811798096
42,300,,2.0159857273101807,,
43,307,,,,2.287952184677124
43,307,,1.993958592414856,,
44,314,,,,2.282179355621338
44,314,,1.9729053974151611,,
45,321,,,,2.25601863861084
45,321,,1.9586933851242065,,
46,328,,,,2.2640304565429688
46,328,,1.9366222620010376,,
47,335,,,,2.2717630863189697
47,335,,1.9160535335540771,,
48,342,,,,2.235302686691284
48,342,,1.9044407606124878,,
49,349,,,1.9031832218170166,
49,349,,,,2.253444194793701
49,349,,1.8797924518585205,,
50,356,,,,2.2514564990997314
50,356,,1.8646697998046875,,
51,363,,,,2.2410008907318115
51,363,,1.8491543531417847,,
52,370,,,,2.23956561088562
52,370,,1.8259578943252563,,
53,377,,,,2.2541513442993164
53,377,,1.811566948890686,,
54,384,,,,2.243939161300659
54,384,,1.7946407794952393,,
55,391,,,,2.240943431854248
55,391,,1.773322343826294,,
56,398,,,,2.2536861896514893
56,398,,1.7595998048782349,,
57,399,,,1.7354240417480469,
57,405,,,,2.2635531425476074
57,405,,1.7438416481018066,,
58,412,,,,2.2777552604675293
58,412,,1.7302979230880737,,
59,419,,,,2.2663204669952393
59,419,,1.7166295051574707,,
60,426,,,,2.248927593231201
60,426,,1.7049862146377563,,
61,433,,,,2.2594778537750244
61,433,,1.6864851713180542,,
62,440,,,,2.2743449211120605
62,440,,1.6745154857635498,,
63,447,,,,2.2547080516815186
63,447,,1.6613132953643799,,
64,448,2.2547080516815186,,,
