method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,,1.29264497756958,
random,0,64,,1.286707639694214,
random,0,128,,1.2824467420578003,
random,10,32,,1.3047882318496704,
random,10,64,,1.3034629821777344,
random,10,128,,1.2995798587799072,
random,20,32,,1.3223397731781006,
random,20,64,,1.326217770576477,
random,20,128,,1.3167037963867188,
random,30,32,,1.3449586629867554,
random,30,64,,1.348778486251831,
random,30,128,,1.3463977575302124,
random,50,32,,1.4199295043945312,
random,50,64,,1.4204683303833008,
random,50,128,,1.4181241989135742,
random,70,32,,1.5681754350662231,
random,70,64,,1.5677645206451416,
random,70,128,,1.5668449401855469,
random,90,32,,2.2394349575042725,
random,90,64,,2.235302686691284,
random,90,128,,2.224569082260132,
