epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.578516721725464
0,48,,3.191364288330078,,
1,49,,,2.5986156463623047,
1,97,,,,2.4677181243896484
1,97,,2.522886037826538,,
2,99,,,2.4679625034332275,
2,146,,,,2.403430938720703
2,146,,2.4517595767974854,,
3,149,,,2.4150774478912354,
3,195,,,,2.2479872703552246
3,195,,2.3784384727478027,,
4,199,,,2.293090581893921,
4,244,,,,2.04748797416687
4,244,,2.2145516872406006,,
5,249,,,2.082029342651367,
5,293,,,,1.8962854146957397
5,293,,2.03596568107605,,
6,299,,,1.9466609954833984,
6,342,,,,1.7752925157546997
6,342,,1.912400722503662,,
7,349,,,1.8095366954803467,
7,391,,,,1.6929985284805298
7,391,,1.8134284019470215,,
8,399,,,1.738390564918518,
8,440,,,,1.6314847469329834
8,440,,1.7388942241668701,,
9,449,,,1.6741724014282227,
9,489,,,,1.5859006643295288
9,489,,1.6785738468170166,,
10,499,,,1.5993714332580566,
10,538,,,,1.5470951795578003
10,538,,1.627411127090454,,
11,549,,,1.6132177114486694,
11,587,,,,1.5165070295333862
11,587,,1.5841670036315918,,
12,599,,,1.5693330764770508,
12,636,,,,1.4817231893539429
12,636,,1.5460418462753296,,
13,649,,,1.5154688358306885,
13,685,,,,1.4628551006317139
13,685,,1.51043701171875,,
14,699,,,1.496115803718567,
14,734,,,,1.4405659437179565
14,734,,1.480412244796753,,
15,749,,,1.451704978942871,
15,783,,,,1.4221196174621582
15,783,,1.451539397239685,,
16,799,,,1.4292994737625122,
16,832,,,,1.4065742492675781
16,832,,1.4268749952316284,,
17,849,,,1.4201229810714722,
17,881,,,,1.3983198404312134
17,881,,1.4049519300460815,,
18,899,,,1.3936086893081665,
18,930,,,,1.3755208253860474
18,930,,1.3837391138076782,,
19,949,,,1.4116941690444946,
19,979,,,,1.3628531694412231
19,979,,1.363372802734375,,
20,999,,,1.3147838115692139,
20,1028,,,,1.3626166582107544
20,1028,,1.3453017473220825,,
21,1049,,,1.296562910079956,
21,1077,,,,1.3523752689361572
21,1077,,1.3275206089019775,,
22,1099,,,1.3185702562332153,
22,1126,,,,1.3446420431137085
22,1126,,1.3093724250793457,,
23,1149,,,1.2752411365509033,
23,1175,,,,1.3435238599777222
23,1175,,1.295796513557434,,
24,1199,,,1.2887911796569824,
24,1224,,,,1.3368922472000122
24,1224,,1.279556155204773,,
25,1249,,,1.2808951139450073,
25,1273,,,,1.3298803567886353
25,1273,,1.2639222145080566,,
26,1299,,,1.2705553770065308,
26,1322,,,,1.3299660682678223
26,1322,,1.2513515949249268,,
27,1349,,,1.213878870010376,
27,1371,,,,1.3301657438278198
27,1371,,1.23590886592865,,
28,1399,,,1.2126576900482178,
28,1420,,,,1.3290672302246094
28,1420,,1.2214765548706055,,
29,1449,,,1.2043111324310303,
29,1469,,,,1.328969955444336
29,1469,,1.2081514596939087,,
30,1499,,,1.1683902740478516,
30,1518,,,,1.327499508857727
30,1518,,1.1949185132980347,,
31,1549,,,1.1634730100631714,
31,1567,,,,1.3280647993087769
31,1567,,1.179779052734375,,
32,1599,,,1.1643062829971313,
32,1616,,,,1.3270660638809204
32,1616,,1.167446494102478,,
33,1649,,,1.1411986351013184,
33,1665,,,,1.331663966178894
33,1665,,1.154168963432312,,
34,1699,,,1.1343400478363037,
34,1714,,,,1.3297019004821777
34,1714,,1.1391916275024414,,
35,1749,,,1.1300709247589111,
35,1763,,,,1.3400285243988037
35,1763,,1.1254944801330566,,
36,1799,,,1.1550971269607544,
36,1812,,,,1.34027099609375
36,1812,,1.1127969026565552,,
37,1849,,,1.0934412479400635,
37,1861,,,,1.3473442792892456
37,1861,,1.0992730855941772,,
38,1899,,,1.0872726440429688,
38,1910,,,,1.352759838104248
38,1910,,1.087389349937439,,
39,1949,,,1.083372712135315,
39,1959,,,,1.3663398027420044
39,1959,,1.071845293045044,,
40,1999,,,1.1015851497650146,
40,2008,,,,1.361310362815857
40,2008,,1.0593589544296265,,
41,2049,,,1.0633463859558105,
41,2057,,,,1.3765089511871338
41,2057,,1.0457144975662231,,
42,2099,,,1.0575718879699707,
42,2106,,,,1.3788986206054688
42,2106,,1.0318527221679688,,
43,2149,,,1.030848503112793,
43,2155,,,,1.3884882926940918
43,2155,,1.0189186334609985,,
44,2199,,,1.016219139099121,
44,2204,,,,1.3983665704727173
44,2204,,1.0050561428070068,,
45,2249,,,1.015883445739746,
45,2253,,,,1.3987467288970947
45,2253,,0.9916408061981201,,
46,2299,,,1.0027508735656738,
46,2302,,,,1.4123594760894775
46,2302,,0.9777892231941223,,
47,2349,,,1.0041561126708984,
47,2351,,,,1.4214969873428345
47,2351,,0.9669618606567383,,
48,2352,1.4214969873428345,,,
