epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,2.9645140171051025
0,18,,3.7099881172180176,,
1,37,,,,2.599303722381592
1,37,,2.7630531787872314,,
2,49,,,2.547153949737549,
2,56,,,,2.5167319774627686
2,56,,2.573956251144409,,
3,75,,,,2.4843223094940186
3,75,,2.5211124420166016,,
4,94,,,,2.46282696723938
4,94,,2.4895074367523193,,
5,99,,,2.4583115577697754,
5,113,,,,2.448551654815674
5,113,,2.4632809162139893,,
6,132,,,,2.419724941253662
6,132,,2.4427568912506104,,
7,149,,,2.4005448818206787,
7,151,,,,2.401498556137085
7,151,,2.4135313034057617,,
8,170,,,,2.349997043609619
8,170,,2.3824591636657715,,
9,189,,,,2.286508798599243
9,189,,2.336958169937134,,
10,199,,,2.270744562149048,
10,208,,,,2.1769328117370605
10,208,,2.266055107116699,,
11,227,,,,2.1048202514648438
11,227,,2.1851754188537598,,
12,246,,,,2.053159475326538
12,246,,2.112445592880249,,
13,249,,,2.0276896953582764,
13,265,,,,1.9950764179229736
13,265,,2.0529580116271973,,
14,284,,,,1.9487571716308594
14,284,,1.99557363986969,,
15,299,,,1.9398530721664429,
15,303,,,,1.9090317487716675
15,303,,1.9541996717453003,,
16,322,,,,1.876989722251892
16,322,,1.9113942384719849,,
17,341,,,,1.8335990905761719
17,341,,1.8689781427383423,,
18,349,,,1.8531945943832397,
18,360,,,,1.8075615167617798
18,360,,1.8316198587417603,,
19,379,,,,1.783555269241333
19,379,,1.7978259325027466,,
20,398,,,,1.7470662593841553
20,398,,1.767033576965332,,
21,399,,,1.7253987789154053,
21,417,,,,1.736802577972412
21,417,,1.737173080444336,,
22,436,,,,1.7138899564743042
22,436,,1.711256504058838,,
23,449,,,1.7005927562713623,
23,455,,,,1.6985899209976196
23,455,,1.6864714622497559,,
24,474,,,,1.687178134918213
24,474,,1.6649017333984375,,
25,493,,,,1.6769753694534302
25,493,,1.6394158601760864,,
26,499,,,1.5930304527282715,
26,512,,,,1.6644644737243652
26,512,,1.621105670928955,,
27,531,,,,1.6523131132125854
27,531,,1.6032423973083496,,
28,549,,,1.5816795825958252,
28,550,,,,1.6478664875030518
28,550,,1.5811834335327148,,
29,569,,,,1.6353609561920166
29,569,,1.5636366605758667,,
30,588,,,,1.6267236471176147
30,588,,1.5443322658538818,,
31,599,,,1.520780086517334,
31,607,,,,1.6249547004699707
31,607,,1.526847004890442,,
32,626,,,,1.6132909059524536
32,626,,1.5078905820846558,,
33,645,,,,1.6028095483779907
33,645,,1.4914867877960205,,
34,649,,,1.493361473083496,
34,664,,,,1.60420560836792
34,664,,1.471301555633545,,
35,683,,,,1.6052416563034058
35,683,,1.456061840057373,,
36,699,,,1.4134633541107178,
36,702,,,,1.5948437452316284
36,702,,1.4408208131790161,,
37,721,,,,1.5900696516036987
37,721,,1.4232233762741089,,
38,740,,,,1.5925859212875366
38,740,,1.4075576066970825,,
39,749,,,1.3644516468048096,
39,759,,,,1.594894528388977
39,759,,1.3888299465179443,,
40,778,,,,1.601080298423767
40,778,,1.3710925579071045,,
41,797,,,,1.5989121198654175
41,797,,1.3586983680725098,,
42,799,,,1.3544704914093018,
42,816,,,,1.6000640392303467
42,816,,1.3393833637237549,,
43,835,,,,1.5936939716339111
43,835,,1.3254832029342651,,
44,849,,,1.3322124481201172,
44,854,,,,1.6085829734802246
44,854,,1.309712290763855,,
45,873,,,,1.6023192405700684
45,873,,1.2929158210754395,,
46,892,,,,1.6105821132659912
46,892,,1.2726558446884155,,
47,899,,,1.2439841032028198,
47,911,,,,1.6157783269882202
47,911,,1.2588608264923096,,
48,930,,,,1.626060962677002
48,930,,1.2395156621932983,,
49,949,,,1.2373840808868408,
49,949,,,,1.6331429481506348
49,949,,1.2223114967346191,,
50,968,,,,1.6351019144058228
50,968,,1.2054126262664795,,
51,987,,,,1.6524162292480469
51,987,,1.1911348104476929,,
52,999,,,1.2034763097763062,
52,1006,,,,1.6528161764144897
52,1006,,1.1737650632858276,,
53,1007,1.6528161764144897,,,
