sample_id,label,score,rank,method
1731,58,0.5752918124198914,0,heuristic_filtering
1732,52,0.5778210163116455,1,heuristic_filtering
294,1,0.5797665119171143,2,heuristic_filtering
2145,43,0.5803502202033997,3,heuristic_filtering
3801,51,0.5805447697639465,4,heuristic_filtering
4011,59,0.5807393193244934,5,heuristic_filtering
2154,46,0.5815175175666809,6,heuristic_filtering
2147,1,0.5817120671272278,7,heuristic_filtering
3030,47,0.5819066166877747,8,heuristic_filtering
395,53,0.5821011662483215,9,heuristic_filtering
2091,10,0.5824902653694153,10,heuristic_filtering
3329,15,0.582879364490509,11,heuristic_filtering
3890,56,0.582879364490509,12,heuristic_filtering
2002,57,0.5838521122932434,13,heuristic_filtering
2149,50,0.5842412710189819,14,heuristic_filtering
3379,1,0.5846303701400757,15,heuristic_filtering
3800,8,0.5846303701400757,16,heuristic_filtering
2163,6,0.5848249197006226,17,heuristic_filtering
3163,56,0.5856031179428101,18,heuristic_filtering
3034,31,0.5863813161849976,19,heuristic_filtering
4024,63,0.5867704153060913,20,heuristic_filtering
4051,1,0.5869649648666382,21,heuristic_filtering
3374,43,0.5873540639877319,22,heuristic_filtering
3006,46,0.5879377722740173,23,heuristic_filtering
1809,57,0.5883268713951111,24,heuristic_filtering
1842,58,0.5883268713951111,25,heuristic_filtering
2078,53,0.5883268713951111,26,heuristic_filtering
1756,0,0.588521420955658,27,heuristic_filtering
1786,52,0.5887159705162048,28,heuristic_filtering
2148,55,0.5887159705162048,29,heuristic_filtering
2804,43,0.5889105200767517,30,heuristic_filtering
3538,41,0.5889105200767517,31,heuristic_filtering
77,61,0.5891050696372986,32,heuristic_filtering
396,52,0.5891050696372986,33,heuristic_filtering
3419,1,0.5891050696372986,34,heuristic_filtering
1948,44,0.5892996191978455,35,heuristic_filtering
1881,5,0.5894941687583923,36,heuristic_filtering
1685,56,0.5898832678794861,37,heuristic_filtering
1931,51,0.590077817440033,38,heuristic_filtering
3998,5,0.590077817440033,39,heuristic_filtering
594,50,0.5902723670005798,40,heuristic_filtering
2144,46,0.5902723670005798,41,heuristic_filtering
4077,39,0.5902723670005798,42,heuristic_filtering
4105,8,0.5902723670005798,43,heuristic_filtering
1945,39,0.5904669165611267,44,heuristic_filtering
3698,13,0.5904669165611267,45,heuristic_filtering
4309,13,0.5904669165611267,46,heuristic_filtering
2484,17,0.5906614661216736,47,heuristic_filtering
3183,6,0.5906614661216736,48,heuristic_filtering
4097,1,0.5908560156822205,49,heuristic_filtering
476,39,0.5910505652427673,50,heuristic_filtering
2333,44,0.5910505652427673,51,heuristic_filtering
3883,57,0.5912451148033142,52,heuristic_filtering
1692,1,0.5914396643638611,53,heuristic_filtering
1923,41,0.5914396643638611,54,heuristic_filtering
1933,49,0.5914396643638611,55,heuristic_filtering
2104,53,0.5914396643638611,56,heuristic_filtering
4319,53,0.5914396643638611,57,heuristic_filtering
157,52,0.591634213924408,58,heuristic_filtering
769,57,0.591634213924408,59,heuristic_filtering
2201,1,0.591634213924408,60,heuristic_filtering
4072,32,0.591634213924408,61,heuristic_filtering
4108,1,0.591634213924408,62,heuristic_filtering
4169,49,0.591634213924408,63,heuristic_filtering
1752,58,0.5918288230895996,64,heuristic_filtering
3388,54,0.5918288230895996,65,heuristic_filtering
403,6,0.5920233726501465,66,heuristic_filtering
68,1,0.5922179222106934,67,heuristic_filtering
771,50,0.5922179222106934,68,heuristic_filtering
2054,39,0.5922179222106934,69,heuristic_filtering
2996,21,0.5922179222106934,70,heuristic_filtering
242,42,0.5924124717712402,71,heuristic_filtering
2925,46,0.5924124717712402,72,heuristic_filtering
4136,10,0.5924124717712402,73,heuristic_filtering
479,2,0.5926070213317871,74,heuristic_filtering
1938,1,0.5926070213317871,75,heuristic_filtering
1978,19,0.5926070213317871,76,heuristic_filtering
2164,1,0.5926070213317871,77,heuristic_filtering
3940,6,0.5926070213317871,78,heuristic_filtering
3373,1,0.592801570892334,79,heuristic_filtering
4020,58,0.592801570892334,80,heuristic_filtering
1827,43,0.5929961204528809,81,heuristic_filtering
1922,42,0.5929961204528809,82,heuristic_filtering
2090,11,0.5929961204528809,83,heuristic_filtering
3853,57,0.5931906700134277,84,heuristic_filtering
916,58,0.5933852195739746,85,heuristic_filtering
1825,39,0.5933852195739746,86,heuristic_filtering
2004,53,0.5933852195739746,87,heuristic_filtering
4103,53,0.5933852195739746,88,heuristic_filtering
1757,1,0.5935797691345215,89,heuristic_filtering
3410,42,0.5935797691345215,90,heuristic_filtering
3590,47,0.5935797691345215,91,heuristic_filtering
3991,46,0.5935797691345215,92,heuristic_filtering
522,1,0.5937743186950684,93,heuristic_filtering
1834,50,0.5937743186950684,94,heuristic_filtering
3827,0,0.5937743186950684,95,heuristic_filtering
213,43,0.5939688682556152,96,heuristic_filtering
2088,1,0.5941634178161621,97,heuristic_filtering
3889,6,0.5941634178161621,98,heuristic_filtering
315,0,0.594357967376709,99,heuristic_filtering
1596,60,0.594357967376709,100,heuristic_filtering
3003,43,0.594357967376709,101,heuristic_filtering
2162,47,0.5945525169372559,102,heuristic_filtering
3855,51,0.5945525169372559,103,heuristic_filtering
3094,10,0.5947470664978027,104,heuristic_filtering
3724,52,0.5947470664978027,105,heuristic_filtering
24,1,0.5949416160583496,106,heuristic_filtering
3941,21,0.5949416160583496,107,heuristic_filtering
