sample_id,label,score,rank,method
2145,43,2.383533000946045,0,llm_classifier
2002,57,2.4444639682769775,1,llm_classifier
4205,5,2.4586026668548584,2,llm_classifier
3538,41,2.4596686363220215,3,llm_classifier
2041,45,2.4600863456726074,4,llm_classifier
2218,56,2.467710256576538,5,llm_classifier
395,53,2.467808723449707,6,llm_classifier
4051,1,2.471301555633545,7,llm_classifier
1201,58,2.4718451499938965,8,llm_classifier
4024,63,2.474459171295166,9,llm_classifier
1842,58,2.4763007164001465,10,llm_classifier
918,42,2.47761869430542,11,llm_classifier
1094,1,2.477642059326172,12,llm_classifier
2341,1,2.4778590202331543,13,llm_classifier
2155,43,2.4792187213897705,14,llm_classifier
2154,46,2.4793009757995605,15,llm_classifier
4206,63,2.479935646057129,16,llm_classifier
4052,39,2.480520248413086,17,llm_classifier
1945,39,2.4807119369506836,18,llm_classifier
3540,1,2.481306552886963,19,llm_classifier
2332,58,2.4814724922180176,20,llm_classifier
1560,59,2.4818201065063477,21,llm_classifier
417,1,2.482862949371338,22,llm_classifier
3002,63,2.48488187789917,23,llm_classifier
2144,46,2.4849042892456055,24,llm_classifier
3760,54,2.4858407974243164,25,llm_classifier
2970,1,2.4858765602111816,26,llm_classifier
1734,46,2.487016201019287,27,llm_classifier
86,47,2.487114906311035,28,llm_classifier
2147,1,2.488072395324707,29,llm_classifier
843,46,2.4886550903320312,30,llm_classifier
2608,1,2.4887781143188477,31,llm_classifier
1825,39,2.489957809448242,32,llm_classifier
1776,1,2.490375518798828,33,llm_classifier
2199,52,2.4909567832946777,34,llm_classifier
2149,50,2.4918816089630127,35,llm_classifier
1273,43,2.4919543266296387,36,llm_classifier
7,43,2.4920058250427246,37,llm_classifier
2769,58,2.4920334815979004,38,llm_classifier
2303,1,2.492476224899292,39,llm_classifier
2823,44,2.492952823638916,40,llm_classifier
4011,59,2.4939026832580566,41,llm_classifier
1076,52,2.494858741760254,42,llm_classifier
3452,2,2.4956746101379395,43,llm_classifier
2162,47,2.4958815574645996,44,llm_classifier
2990,45,2.496474504470825,45,llm_classifier
2081,52,2.496685028076172,46,llm_classifier
1692,1,2.4968905448913574,47,llm_classifier
294,1,2.4972100257873535,48,llm_classifier
3414,56,2.4975461959838867,49,llm_classifier
4054,61,2.497605323791504,50,llm_classifier
3003,43,2.497642993927002,51,llm_classifier
3849,1,2.4976553916931152,52,llm_classifier
76,1,2.497767448425293,53,llm_classifier
434,43,2.498009204864502,54,llm_classifier
2799,1,2.498143196105957,55,llm_classifier
3506,1,2.4981725215911865,56,llm_classifier
4097,1,2.4984357357025146,57,llm_classifier
1985,57,2.4985008239746094,58,llm_classifier
437,56,2.4991679191589355,59,llm_classifier
4036,47,2.4995484352111816,60,llm_classifier
1752,58,2.4997429847717285,61,llm_classifier
2444,57,2.4997806549072266,62,llm_classifier
445,57,2.499903678894043,63,llm_classifier
2791,56,2.500493049621582,64,llm_classifier
3596,0,2.5005085468292236,65,llm_classifier
1140,39,2.5005364418029785,66,llm_classifier
2996,21,2.5005533695220947,67,llm_classifier
694,46,2.5009236335754395,68,llm_classifier
2200,56,2.5009775161743164,69,llm_classifier
4101,57,2.501084089279175,70,llm_classifier
2925,46,2.5011777877807617,71,llm_classifier
3728,39,2.5012094974517822,72,llm_classifier
1200,7,2.501255512237549,73,llm_classifier
3097,1,2.5012805461883545,74,llm_classifier
2696,52,2.5013184547424316,75,llm_classifier
771,50,2.5013809204101562,76,llm_classifier
2006,11,2.501471519470215,77,llm_classifier
3289,6,2.5015177726745605,78,llm_classifier
3006,46,2.5015664100646973,79,llm_classifier
