epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.5624217987060547,
0,54,,,,2.5216660499572754
0,54,,3.0051417350769043,,
1,99,,,2.4801604747772217,
1,109,,,,2.450599431991577
1,109,,2.4962234497070312,,
2,149,,,2.413353443145752,
2,164,,,,2.357814311981201
2,164,,2.430309295654297,,
3,199,,,2.279555320739746,
3,219,,,,2.113168954849243
3,219,,2.3004603385925293,,
4,249,,,2.0334434509277344,
4,274,,,,1.930051326751709
4,274,,2.077178716659546,,
5,299,,,1.935271978378296,
5,329,,,,1.8020620346069336
5,329,,1.9331809282302856,,
6,349,,,1.8677434921264648,
6,384,,,,1.7096294164657593
6,384,,1.8233568668365479,,
7,399,,,1.7726819515228271,
7,439,,,,1.6401656866073608
7,439,,1.7415670156478882,,
8,449,,,1.6759904623031616,
8,494,,,,1.587998628616333
8,494,,1.6762638092041016,,
9,499,,,1.6155717372894287,
9,549,,,1.6061843633651733,
9,549,,,,1.544661283493042
9,549,,1.6228567361831665,,
10,599,,,1.549869418144226,
10,604,,,,1.5076372623443604
10,604,,1.576048731803894,,
11,649,,,1.539489507675171,
11,659,,,,1.4748256206512451
11,659,,1.5356875658035278,,
12,699,,,1.5103003978729248,
12,714,,,,1.448352336883545
12,714,,1.4996672868728638,,
13,749,,,1.4682937860488892,
13,769,,,,1.428276777267456
13,769,,1.4692109823226929,,
14,799,,,1.4601296186447144,
14,824,,,,1.4100130796432495
14,824,,1.4396878480911255,,
15,849,,,1.450432538986206,
15,879,,,,1.3906443119049072
15,879,,1.4155347347259521,,
16,899,,,1.4017547369003296,
16,934,,,,1.3736497163772583
16,934,,1.3927136659622192,,
17,949,,,1.3485543727874756,
17,989,,,,1.361426591873169
17,989,,1.3717814683914185,,
18,999,,,1.3729984760284424,
18,1044,,,,1.3492610454559326
18,1044,,1.352070689201355,,
19,1049,,,1.3080469369888306,
19,1099,,,1.3248822689056396,
19,1099,,,,1.3410837650299072
19,1099,,1.3331079483032227,,
20,1149,,,1.328963041305542,
20,1154,,,,1.335191011428833
20,1154,,1.315450668334961,,
21,1199,,,1.2926263809204102,
21,1209,,,,1.3288295269012451
21,1209,,1.2997198104858398,,
22,1249,,,1.2629859447479248,
22,1264,,,,1.3247909545898438
22,1264,,1.2836343050003052,,
23,1299,,,1.2589340209960938,
23,1319,,,,1.320811152458191
23,1319,,1.2704708576202393,,
24,1349,,,1.2890785932540894,
24,1374,,,,1.3144514560699463
24,1374,,1.2547454833984375,,
25,1399,,,1.2266461849212646,
25,1429,,,,1.3086744546890259
25,1429,,1.2410411834716797,,
26,1449,,,1.2074471712112427,
26,1484,,,,1.3063840866088867
26,1484,,1.2266548871994019,,
27,1499,,,1.2271754741668701,
27,1539,,,,1.3082176446914673
27,1539,,1.2134720087051392,,
28,1549,,,1.1771079301834106,
28,1594,,,,1.3102915287017822
28,1594,,1.2002413272857666,,
29,1599,,,1.1692888736724854,
29,1649,,,1.195831537246704,
29,1649,,,,1.3053297996520996
29,1649,,1.1878743171691895,,
30,1699,,,1.1818106174468994,
30,1704,,,,1.3112434148788452
30,1704,,1.1740986108779907,,
31,1749,,,1.141427755355835,
31,1759,,,,1.3099403381347656
31,1759,,1.162044882774353,,
32,1799,,,1.1712416410446167,
32,1814,,,,1.3140254020690918
32,1814,,1.1485209465026855,,
33,1849,,,1.121261715888977,
33,1869,,,,1.3136205673217773
33,1869,,1.1364113092422485,,
34,1899,,,1.1116015911102295,
34,1924,,,,1.3184707164764404
34,1924,,1.123489260673523,,
35,1949,,,1.0923161506652832,
35,1979,,,,1.3169734477996826
35,1979,,1.1102067232131958,,
36,1999,,,1.1072297096252441,
36,2034,,,,1.323699712753296
36,2034,,1.0977448225021362,,
37,2049,,,1.080247402191162,
37,2089,,,,1.3293448686599731
37,2089,,1.0841630697250366,,
38,2099,,,1.0686755180358887,
38,2144,,,,1.3352760076522827
38,2144,,1.070994257926941,,
39,2149,,,1.04862642288208,
39,2199,,,1.063778281211853,
39,2199,,,,1.3425313234329224
39,2199,,1.0594391822814941,,
40,2249,,,1.079498529434204,
40,2254,,,,1.348704218864441
40,2254,,1.046743392944336,,
41,2299,,,1.055394172668457,
41,2309,,,,1.35581636428833
41,2309,,1.0335755348205566,,
42,2349,,,1.0055997371673584,
42,2364,,,,1.364699125289917
42,2364,,1.0206342935562134,,
43,2399,,,1.0072472095489502,
43,2419,,,,1.369919776916504
43,2419,,1.0076459646224976,,
44,2449,,,0.9802895784378052,
44,2474,,,,1.3707518577575684
44,2474,,0.9949607253074646,,
45,2475,1.3707518577575684,,,
