epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.285750389099121
0,6,,3.8221089839935303,,
1,13,,,,3.1205430030822754
1,13,,3.4205000400543213,,
2,20,,,,2.8315248489379883
2,20,,3.0177574157714844,,
3,27,,,,2.6831257343292236
3,27,,2.785402297973633,,
4,34,,,,2.628004550933838
4,34,,2.6689531803131104,,
5,41,,,,2.59386944770813
5,41,,2.6098740100860596,,
6,48,,,,2.568206548690796
6,48,,2.5727617740631104,,
7,49,,,2.5372745990753174,
7,55,,,,2.565119743347168
7,55,,2.542189359664917,,
8,62,,,,2.5398643016815186
8,62,,2.5237343311309814,,
9,69,,,,2.5464370250701904
9,69,,2.501598834991455,,
10,76,,,,2.5230495929718018
10,76,,2.4869179725646973,,
11,83,,,,2.5257272720336914
11,83,,2.4713919162750244,,
12,90,,,,2.520228862762451
12,90,,2.4630126953125,,
13,97,,,,2.524661064147949
13,97,,2.448763608932495,,
14,99,,,2.4388766288757324,
14,104,,,,2.515899419784546
14,104,,2.43418025970459,,
15,111,,,,2.5012502670288086
15,111,,2.426720142364502,,
16,118,,,,2.496217727661133
16,118,,2.408940315246582,,
17,125,,,,2.4956700801849365
17,125,,2.397646427154541,,
18,132,,,,2.492525100708008
18,132,,2.38150954246521,,
19,139,,,,2.490532636642456
19,139,,2.371664047241211,,
20,146,,,,2.501837730407715
20,146,,2.3612236976623535,,
21,149,,,2.3453502655029297,
21,153,,,,2.5052506923675537
21,153,,2.3505096435546875,,
22,160,,,,2.4890215396881104
22,160,,2.339691638946533,,
23,167,,,,2.473702907562256
23,167,,2.327643871307373,,
24,174,,,,2.489301919937134
24,174,,2.312558174133301,,
25,181,,,,2.480118751525879
25,181,,2.2959144115448,,
26,188,,,,2.4856226444244385
26,188,,2.2816014289855957,,
27,195,,,,2.4653711318969727
27,195,,2.2684173583984375,,
28,199,,,2.2736828327178955,
28,202,,,,2.4846689701080322
28,202,,2.250715494155884,,
29,209,,,,2.4742369651794434
29,209,,2.241485357284546,,
30,216,,,,2.479473114013672
30,216,,2.223708391189575,,
31,223,,,,2.4549033641815186
31,223,,2.2074503898620605,,
32,230,,,,2.4433536529541016
32,230,,2.1860547065734863,,
33,237,,,,2.436753749847412
33,237,,2.1625943183898926,,
34,244,,,,2.4269614219665527
34,244,,2.1389057636260986,,
35,249,,,2.1164376735687256,
35,251,,,,2.412797451019287
35,251,,2.127190351486206,,
36,258,,,,2.3830835819244385
36,258,,2.0966105461120605,,
37,265,,,,2.37707781791687
37,265,,2.0699541568756104,,
38,272,,,,2.3632166385650635
38,272,,2.0435898303985596,,
39,279,,,,2.332165479660034
39,279,,2.0207996368408203,,
40,286,,,,2.3302085399627686
40,286,,1.9932961463928223,,
41,293,,,,2.3023645877838135
41,293,,1.9743940830230713,,
42,299,,,1.9544599056243896,
42,300,,,,2.2919161319732666
42,300,,1.9493886232376099,,
43,307,,,,2.2747747898101807
43,307,,1.924469232559204,,
44,314,,,,2.288297176361084
44,314,,1.9044785499572754,,
45,321,,,,2.262636423110962
45,321,,1.8787015676498413,,
46,328,,,,2.2640902996063232
46,328,,1.8587244749069214,,
47,335,,,,2.2649118900299072
47,335,,1.8357548713684082,,
48,342,,,,2.264613389968872
48,342,,1.8203901052474976,,
49,349,,,1.9276372194290161,
49,349,,,,2.244549512863159
49,349,,1.7926193475723267,,
50,356,,,,2.2531344890594482
50,356,,1.7764389514923096,,
51,363,,,,2.2549829483032227
51,363,,1.7540009021759033,,
52,370,,,,2.244258403778076
52,370,,1.731137752532959,,
53,377,,,,2.240379571914673
53,377,,1.7192174196243286,,
54,384,,,,2.2583560943603516
54,384,,1.6966627836227417,,
55,391,,,,2.2521939277648926
55,391,,1.6793569326400757,,
56,398,,,,2.246969223022461
56,398,,1.6580630540847778,,
57,399,,,1.6416088342666626,
57,405,,,,2.286831855773926
57,405,,1.6410937309265137,,
58,412,,,,2.257831573486328
58,412,,1.6287665367126465,,
59,419,,,,2.2552602291107178
59,419,,1.612865686416626,,
60,426,,,,2.262425661087036
60,426,,1.5961146354675293,,
61,433,,,,2.2660741806030273
61,433,,1.580457329750061,,
62,440,,,,2.275968313217163
62,440,,1.5635608434677124,,
63,447,,,,2.2845046520233154
63,447,,1.547244906425476,,
64,449,,,1.5228303670883179,
64,454,,,,2.283174753189087
64,454,,1.5327037572860718,,
65,461,,,,2.2861104011535645
65,461,,1.5192811489105225,,
66,468,,,,2.2950985431671143
66,468,,1.5016347169876099,,
67,475,,,,2.3067750930786133
67,475,,1.486364483833313,,
68,482,,,,2.3071906566619873
68,482,,1.4740115404129028,,
69,483,2.3071906566619873,,,
