epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.555661201477051,
0,61,,,,2.5227880477905273
0,61,,2.9362733364105225,,
1,99,,,2.464705467224121,
1,123,,,,2.4606094360351562
1,123,,2.4884257316589355,,
2,149,,,2.4219698905944824,
2,185,,,,2.385909080505371
2,185,,2.4235012531280518,,
3,199,,,2.3515095710754395,
3,247,,,,2.105266571044922
3,247,,2.271021842956543,,
4,249,,,2.14542818069458,
4,299,,,1.9699211120605469,
4,309,,,,1.9405633211135864
4,309,,2.0471231937408447,,
5,349,,,1.8534691333770752,
5,371,,,,1.7934976816177368
5,371,,1.909406304359436,,
6,399,,,1.8110980987548828,
6,433,,,,1.7119221687316895
6,433,,1.8029587268829346,,
7,449,,,1.760075330734253,
7,495,,,,1.6303240060806274
7,495,,1.7248964309692383,,
8,499,,,1.704161286354065,
8,549,,,1.6209545135498047,
8,557,,,,1.5897728204727173
8,557,,1.663753867149353,,
9,599,,,1.6061348915100098,
9,619,,,,1.5349451303482056
9,619,,1.6145879030227661,,
10,649,,,1.5596543550491333,
10,681,,,,1.5022380352020264
10,681,,1.5684871673583984,,
11,699,,,1.5614728927612305,
11,743,,,,1.4669325351715088
11,743,,1.5299270153045654,,
12,749,,,1.5467255115509033,
12,799,,,1.4886016845703125,
12,805,,,,1.4488643407821655
12,805,,1.4983566999435425,,
13,849,,,1.4405055046081543,
13,867,,,,1.419222354888916
13,867,,1.467231273651123,,
14,899,,,1.4597094058990479,
14,929,,,,1.404654622077942
14,929,,1.4418761730194092,,
15,949,,,1.3968843221664429,
15,991,,,,1.3831037282943726
15,991,,1.4161938428878784,,
16,999,,,1.4098868370056152,
16,1049,,,1.3753383159637451,
16,1053,,,,1.3633290529251099
16,1053,,1.3951780796051025,,
17,1099,,,1.4073436260223389,
17,1115,,,,1.362388253211975
17,1115,,1.376672625541687,,
18,1149,,,1.357673168182373,
18,1177,,,,1.3474842309951782
18,1177,,1.3584001064300537,,
19,1199,,,1.3097013235092163,
19,1239,,,,1.3336730003356934
19,1239,,1.3389523029327393,,
20,1249,,,1.358782410621643,
20,1299,,,1.3278251886367798,
20,1301,,,,1.3314011096954346
20,1301,,1.32537841796875,,
21,1349,,,1.330214262008667,
21,1363,,,,1.3288540840148926
21,1363,,1.3094284534454346,,
22,1399,,,1.282155990600586,
22,1425,,,,1.3163617849349976
22,1425,,1.296341896057129,,
23,1449,,,1.2587878704071045,
23,1487,,,,1.306434988975525
23,1487,,1.2827690839767456,,
24,1499,,,1.2661222219467163,
24,1549,,,1.2533800601959229,
24,1549,,,,1.3028738498687744
24,1549,,1.269456148147583,,
25,1599,,,1.2274186611175537,
25,1611,,,,1.2989673614501953
25,1611,,1.2557200193405151,,
26,1649,,,1.2375534772872925,
26,1673,,,,1.2998024225234985
26,1673,,1.2458537817001343,,
27,1699,,,1.2483195066452026,
27,1735,,,,1.3013083934783936
27,1735,,1.2320020198822021,,
28,1749,,,1.2268009185791016,
28,1797,,,,1.300150752067566
28,1797,,1.2198176383972168,,
29,1799,,,1.1882784366607666,
29,1849,,,1.22503662109375,
29,1859,,,,1.2884780168533325
29,1859,,1.2093514204025269,,
30,1899,,,1.1932811737060547,
30,1921,,,,1.2883713245391846
30,1921,,1.1978211402893066,,
31,1949,,,1.162954568862915,
31,1983,,,,1.2958757877349854
31,1983,,1.1862410306930542,,
32,1999,,,1.1769678592681885,
32,2045,,,,1.2936912775039673
32,2045,,1.175251841545105,,
33,2049,,,1.1641483306884766,
33,2099,,,1.1737241744995117,
33,2107,,,,1.2924811840057373
33,2107,,1.1643480062484741,,
34,2149,,,1.1407694816589355,
34,2169,,,,1.294001817703247
34,2169,,1.1544039249420166,,
35,2199,,,1.1945204734802246,
35,2231,,,,1.2943748235702515
35,2231,,1.1430517435073853,,
36,2249,,,1.1094831228256226,
36,2293,,,,1.2975656986236572
36,2293,,1.1316969394683838,,
37,2299,,,1.132588505744934,
37,2349,,,1.1215004920959473,
37,2355,,,,1.291081190109253
37,2355,,1.122643232345581,,
38,2399,,,1.1048253774642944,
38,2417,,,,1.3036779165267944
38,2417,,1.1106274127960205,,
39,2449,,,1.1153182983398438,
39,2479,,,,1.3071460723876953
39,2479,,1.0995160341262817,,
40,2499,,,1.0791947841644287,
40,2541,,,,1.3116637468338013
40,2541,,1.0895024538040161,,
41,2549,,,1.0833423137664795,
41,2599,,,1.0867369174957275,
41,2603,,,,1.3109499216079712
41,2603,,1.0763906240463257,,
42,2649,,,1.0932281017303467,
42,2665,,,,1.3122129440307617
42,2665,,1.066493272781372,,
43,2699,,,1.0474382638931274,
43,2727,,,,1.3158332109451294
43,2727,,1.0550456047058105,,
44,2749,,,1.0652856826782227,
44,2789,,,,1.3245103359222412
44,2789,,1.0434646606445312,,
45,2799,,,1.010279893875122,
45,2849,,,1.0717028379440308,
45,2851,,,,1.3314683437347412
45,2851,,1.033125877380371,,
46,2852,1.3314683437347412,,,
