epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.605821371078491
0,42,,3.228214979171753,,
1,49,,,2.56662917137146,
1,85,,,,2.4842562675476074
1,85,,2.5211594104766846,,
2,99,,,2.4702208042144775,
2,128,,,,2.428189754486084
2,128,,2.4552505016326904,,
3,149,,,2.405722141265869,
3,171,,,,2.3830599784851074
3,171,,2.416048049926758,,
4,199,,,2.308586597442627,
4,214,,,,2.1968042850494385
4,214,,2.328956365585327,,
5,249,,,2.0776047706604004,
5,257,,,,2.027766227722168
5,257,,2.151695489883423,,
6,299,,,1.95328950881958,
6,300,,,,1.8967779874801636
6,300,,2.012695550918579,,
7,343,,,,1.8034160137176514
7,343,,1.9100821018218994,,
8,349,,,1.8767036199569702,
8,386,,,,1.72506844997406
8,386,,1.8281869888305664,,
9,399,,,1.7899222373962402,
9,429,,,,1.667532205581665
9,429,,1.7596206665039062,,
10,449,,,1.679581642150879,
10,472,,,,1.6194208860397339
10,472,,1.7060786485671997,,
11,499,,,1.6290583610534668,
11,515,,,,1.582689881324768
11,515,,1.6579426527023315,,
12,549,,,1.5914292335510254,
12,558,,,,1.544292688369751
12,558,,1.61665940284729,,
13,599,,,1.5715322494506836,
13,601,,,,1.5227738618850708
13,601,,1.5809216499328613,,
14,644,,,,1.4934639930725098
14,644,,1.5496137142181396,,
15,649,,,1.4985740184783936,
15,687,,,,1.4679176807403564
15,687,,1.520151138305664,,
16,699,,,1.4720604419708252,
16,730,,,,1.4605792760849
16,730,,1.493274450302124,,
17,749,,,1.473656177520752,
17,773,,,,1.438572883605957
17,773,,1.466858148574829,,
18,799,,,1.4612295627593994,
18,816,,,,1.4264599084854126
18,816,,1.4444689750671387,,
19,849,,,1.4247273206710815,
19,859,,,,1.4091682434082031
19,859,,1.4243087768554688,,
20,899,,,1.4341108798980713,
20,902,,,,1.4028819799423218
20,902,,1.4030117988586426,,
21,945,,,,1.3935983180999756
21,945,,1.3825510740280151,,
22,949,,,1.3488889932632446,
22,988,,,,1.3874058723449707
22,988,,1.3661572933197021,,
23,999,,,1.3531720638275146,
23,1031,,,,1.3802671432495117
23,1031,,1.3484379053115845,,
24,1049,,,1.3429410457611084,
24,1074,,,,1.3742345571517944
24,1074,,1.3330854177474976,,
25,1099,,,1.3033734560012817,
25,1117,,,,1.3663289546966553
25,1117,,1.3169482946395874,,
26,1149,,,1.2609360218048096,
26,1160,,,,1.3644400835037231
26,1160,,1.30070161819458,,
27,1199,,,1.302250623703003,
27,1203,,,,1.3642264604568481
27,1203,,1.2868000268936157,,
28,1246,,,,1.3599042892456055
28,1246,,1.2720872163772583,,
29,1249,,,1.2536706924438477,
29,1289,,,,1.3578351736068726
29,1289,,1.2578771114349365,,
30,1299,,,1.2164406776428223,
30,1332,,,,1.3602722883224487
30,1332,,1.2438011169433594,,
31,1349,,,1.2580931186676025,
31,1375,,,,1.357511043548584
31,1375,,1.229634404182434,,
32,1399,,,1.2078311443328857,
32,1418,,,,1.361342191696167
32,1418,,1.2176189422607422,,
33,1449,,,1.2118054628372192,
33,1461,,,,1.357194185256958
33,1461,,1.2030636072158813,,
34,1499,,,1.2125188112258911,
34,1504,,,,1.36295485496521
34,1504,,1.1895831823349,,
35,1547,,,,1.369244933128357
35,1547,,1.1772804260253906,,
36,1549,,,1.146865725517273,
36,1590,,,,1.3721296787261963
36,1590,,1.1624417304992676,,
37,1599,,,1.1611173152923584,
37,1633,,,,1.3759360313415527
37,1633,,1.1505935192108154,,
38,1649,,,1.1298778057098389,
38,1676,,,,1.3762849569320679
38,1676,,1.1354833841323853,,
39,1699,,,1.161369800567627,
39,1719,,,,1.3828104734420776
39,1719,,1.1218957901000977,,
40,1749,,,1.1361185312271118,
40,1762,,,,1.3935514688491821
40,1762,,1.1069880723953247,,
41,1799,,,1.1074327230453491,
41,1805,,,,1.398486614227295
41,1805,,1.0929818153381348,,
42,1848,,,,1.4132403135299683
42,1848,,1.0794750452041626,,
43,1849,,,1.0507478713989258,
43,1891,,,,1.4118824005126953
43,1891,,1.0674889087677002,,
44,1899,,,1.0370259284973145,
44,1934,,,,1.4248883724212646
44,1934,,1.050688624382019,,
45,1949,,,1.0165151357650757,
45,1977,,,,1.4334532022476196
45,1977,,1.0371304750442505,,
46,1999,,,1.0480304956436157,
46,2020,,,,1.4430875778198242
46,2020,,1.0236786603927612,,
47,2049,,,1.0465563535690308,
47,2063,,,,1.4562287330627441
47,2063,,1.0095787048339844,,
48,2099,,,1.0129597187042236,
48,2106,,,,1.4568616151809692
48,2106,,0.9943666458129883,,
49,2107,1.4568616151809692,,,
