epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.6825642585754395
0,30,,3.278517007827759,,
1,49,,,2.537578582763672,
1,61,,,,2.514986991882324
1,61,,2.5628576278686523,,
2,92,,,,2.477382183074951
2,92,,2.476606845855713,,
3,99,,,2.469717025756836,
3,123,,,,2.4514753818511963
3,123,,2.4429666996002197,,
4,149,,,2.3989312648773193,
4,154,,,,2.3964874744415283
4,154,,2.408700466156006,,
5,185,,,,2.2787563800811768
5,185,,2.3497586250305176,,
6,199,,,2.2462968826293945,
6,216,,,,2.1297852993011475
6,216,,2.2287039756774902,,
7,247,,,,2.0352160930633545
7,247,,2.0984866619110107,,
8,249,,,2.0445504188537598,
8,278,,,,1.9448703527450562
8,278,,1.9993096590042114,,
9,299,,,1.9163408279418945,
9,309,,,,1.86708664894104
9,309,,1.9222211837768555,,
10,340,,,,1.8015819787979126
10,340,,1.8533515930175781,,
11,349,,,1.8292347192764282,
11,371,,,,1.7500380277633667
11,371,,1.7911790609359741,,
12,399,,,1.7395834922790527,
12,402,,,,1.7080720663070679
12,402,,1.744749903678894,,
13,433,,,,1.6709604263305664
13,433,,1.7008177042007446,,
14,449,,,1.6585959196090698,
14,464,,,,1.6423646211624146
14,464,,1.6656666994094849,,
15,495,,,,1.6113439798355103
15,495,,1.6317006349563599,,
16,499,,,1.6034488677978516,
16,526,,,,1.6011033058166504
16,526,,1.601904273033142,,
17,549,,,1.5678495168685913,
17,557,,,,1.5746110677719116
17,557,,1.5750164985656738,,
18,588,,,,1.5559937953948975
18,588,,1.547389268875122,,
19,599,,,1.5203560590744019,
19,619,,,,1.536583662033081
19,619,,1.5249570608139038,,
20,649,,,1.487748384475708,
20,650,,,,1.5289216041564941
20,650,,1.5023826360702515,,
21,681,,,,1.5134873390197754
21,681,,1.4795385599136353,,
22,699,,,1.473555088043213,
22,712,,,,1.506859540939331
22,712,,1.460095763206482,,
23,743,,,,1.4857197999954224
23,743,,1.4400278329849243,,
24,749,,,1.416565179824829,
24,774,,,,1.4791831970214844
24,774,,1.41917884349823,,
25,799,,,1.3926353454589844,
25,805,,,,1.473764181137085
25,805,,1.4016978740692139,,
26,836,,,,1.4676567316055298
26,836,,1.3849892616271973,,
27,849,,,1.377457618713379,
27,867,,,,1.4541608095169067
27,867,,1.3687156438827515,,
28,898,,,,1.4552109241485596
28,898,,1.3519881963729858,,
29,899,,,1.3337228298187256,
29,929,,,,1.4543763399124146
29,929,,1.3343558311462402,,
30,949,,,1.3251062631607056,
30,960,,,,1.4511052370071411
30,960,,1.3160213232040405,,
31,991,,,,1.448114037513733
31,991,,1.3032981157302856,,
32,999,,,1.2873505353927612,
32,1022,,,,1.4473867416381836
32,1022,,1.2867300510406494,,
33,1049,,,1.285340666770935,
33,1053,,,,1.4479124546051025
33,1053,,1.2702361345291138,,
34,1084,,,,1.450005292892456
34,1084,,1.2557597160339355,,
35,1099,,,1.222439169883728,
35,1115,,,,1.4533252716064453
35,1115,,1.238031268119812,,
36,1146,,,,1.4502085447311401
36,1146,,1.2231229543685913,,
37,1149,,,1.183135986328125,
37,1177,,,,1.4600234031677246
37,1177,,1.2066550254821777,,
38,1199,,,1.1780877113342285,
38,1208,,,,1.467882513999939
38,1208,,1.191200852394104,,
39,1239,,,,1.4605627059936523
39,1239,,1.1777666807174683,,
40,1249,,,1.15777587890625,
40,1270,,,,1.4729115962982178
40,1270,,1.1617999076843262,,
41,1299,,,1.1773029565811157,
41,1301,,,,1.472690463066101
41,1301,,1.1468324661254883,,
42,1332,,,,1.4882744550704956
42,1332,,1.1303340196609497,,
43,1349,,,1.11600923538208,
43,1363,,,,1.4939682483673096
43,1363,,1.1120083332061768,,
44,1394,,,,1.5046308040618896
44,1394,,1.097455382347107,,
45,1399,,,1.0771124362945557,
45,1425,,,,1.5171408653259277
45,1425,,1.0806536674499512,,
46,1449,,,1.0577467679977417,
46,1456,,,,1.5254228115081787
46,1456,,1.0640665292739868,,
47,1487,,,,1.5317583084106445
47,1487,,1.0473737716674805,,
48,1488,1.5317583084106445,,,
