epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,3.135636329650879
0,18,,3.868277072906494,,
1,37,,,,2.6380393505096436
1,37,,2.8696842193603516,,
2,49,,,2.5563466548919678,
2,56,,,,2.54716157913208
2,56,,2.576219081878662,,
3,75,,,,2.5058035850524902
3,75,,2.505619764328003,,
4,94,,,,2.4868991374969482
4,94,,2.4706337451934814,,
5,99,,,2.4491500854492188,
5,113,,,,2.473449230194092
5,113,,2.4447598457336426,,
6,132,,,,2.4674072265625
6,132,,2.426095485687256,,
7,149,,,2.3981587886810303,
7,151,,,,2.4291653633117676
7,151,,2.403545379638672,,
8,170,,,,2.3944954872131348
8,170,,2.3707902431488037,,
9,189,,,,2.307053327560425
9,189,,2.328455686569214,,
10,199,,,2.233873128890991,
10,208,,,,2.225527048110962
10,208,,2.2566609382629395,,
11,227,,,,2.1465003490448
11,227,,2.1660594940185547,,
12,246,,,,2.075194835662842
12,246,,2.0904335975646973,,
13,249,,,2.034402847290039,
13,265,,,,2.038978099822998
13,265,,2.029017686843872,,
14,284,,,,1.9884809255599976
14,284,,1.97731351852417,,
15,299,,,1.960249423980713,
15,303,,,,1.9416388273239136
15,303,,1.9279838800430298,,
16,322,,,,1.903274655342102
16,322,,1.879448652267456,,
17,341,,,,1.855257272720337
17,341,,1.8427424430847168,,
18,349,,,1.7969512939453125,
18,360,,,,1.8274463415145874
18,360,,1.7992684841156006,,
19,379,,,,1.7939815521240234
19,379,,1.766153335571289,,
20,398,,,,1.7879618406295776
20,398,,1.7316840887069702,,
21,399,,,1.6983790397644043,
21,417,,,,1.744446873664856
21,417,,1.707201600074768,,
22,436,,,,1.7494608163833618
22,436,,1.6838687658309937,,
23,449,,,1.6515130996704102,
23,455,,,,1.723656415939331
23,455,,1.6568880081176758,,
24,474,,,,1.7054954767227173
24,474,,1.6323213577270508,,
25,493,,,,1.6887178421020508
25,493,,1.610273003578186,,
26,499,,,1.6115789413452148,
26,512,,,,1.6845678091049194
26,512,,1.5905094146728516,,
27,531,,,,1.6691025495529175
27,531,,1.568129539489746,,
28,549,,,1.5906248092651367,
28,550,,,,1.6676609516143799
28,550,,1.5524606704711914,,
29,569,,,,1.650320053100586
29,569,,1.532963514328003,,
30,588,,,,1.6590272188186646
30,588,,1.5137970447540283,,
31,599,,,1.520801067352295,
31,607,,,,1.6495883464813232
31,607,,1.4994393587112427,,
32,626,,,,1.6309179067611694
32,626,,1.4789609909057617,,
33,645,,,,1.6313211917877197
33,645,,1.4627710580825806,,
34,649,,,1.4512248039245605,
34,664,,,,1.6277503967285156
34,664,,1.4461455345153809,,
35,683,,,,1.6221225261688232
35,683,,1.4277944564819336,,
36,699,,,1.396641731262207,
36,702,,,,1.627448320388794
36,702,,1.4129507541656494,,
37,721,,,,1.618680477142334
37,721,,1.4003639221191406,,
38,740,,,,1.620388388633728
38,740,,1.3796311616897583,,
39,749,,,1.3547415733337402,
39,759,,,,1.6204522848129272
39,759,,1.3654159307479858,,
40,778,,,,1.6260472536087036
40,778,,1.3446717262268066,,
41,797,,,,1.6209001541137695
41,797,,1.3310762643814087,,
42,799,,,1.3299659490585327,
42,816,,,,1.6351646184921265
42,816,,1.3162504434585571,,
43,835,,,,1.6406221389770508
43,835,,1.2975276708602905,,
44,849,,,1.2862287759780884,
44,854,,,,1.640186071395874
44,854,,1.2858775854110718,,
45,873,,,,1.6371437311172485
45,873,,1.266611099243164,,
46,892,,,,1.6341753005981445
46,892,,1.249427080154419,,
47,899,,,1.2090086936950684,
47,911,,,,1.6547242403030396
47,911,,1.2299522161483765,,
48,930,,,,1.6566590070724487
48,930,,1.2161097526550293,,
49,949,,,1.2176580429077148,
49,949,,,,1.6632856130599976
49,949,,1.2015337944030762,,
50,968,,,,1.6809487342834473
50,968,,1.182394027709961,,
51,987,,,,1.6836025714874268
51,987,,1.1659811735153198,,
52,999,,,1.1182209253311157,
52,1006,,,,1.6909475326538086
52,1006,,1.1460140943527222,,
53,1007,1.6909475326538086,,,
