method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
heuristic_filtering,0,32,,1.2854381799697876,
heuristic_filtering,0,64,,1.2863824367523191,
heuristic_filtering,0,128,,1.28781259059906,
heuristic_filtering,10,32,,1.306972861289978,
heuristic_filtering,10,64,,1.3030331134796145,
heuristic_filtering,10,128,,1.3094537258148191,
heuristic_filtering,20,32,,1.3322612047195437,
heuristic_filtering,20,64,,1.330458164215088,
heuristic_filtering,20,128,,1.32943594455719,
heuristic_filtering,30,32,,1.355642795562744,
heuristic_filtering,30,64,,1.3540388345718384,
heuristic_filtering,30,128,,1.3564121723175049,
heuristic_filtering,50,32,,1.4473867416381836,
heuristic_filtering,50,64,,1.442190647125244,
heuristic_filtering,50,128,,1.4442414045333862,
heuristic_filtering,70,32,,1.618680477142334,
heuristic_filtering,70,64,,1.6170772314071655,
heuristic_filtering,70,128,,1.629810094833374,
heuristic_filtering,90,32,,2.2605443000793457,
heuristic_filtering,90,64,,2.277632713317871,
heuristic_filtering,90,128,,2.304278612136841,
