epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.5629355907440186
0,48,,3.1907284259796143,,
1,49,,,2.5764682292938232,
1,97,,,,2.4632017612457275
1,97,,2.506671190261841,,
2,99,,,2.4606006145477295,
2,146,,,,2.41374135017395
2,146,,2.4415547847747803,,
3,149,,,2.42854905128479,
3,195,,,,2.2650513648986816
3,195,,2.3739709854125977,,
4,199,,,2.3020129203796387,
4,244,,,,2.046163558959961
4,244,,2.199500560760498,,
5,249,,,2.0457725524902344,
5,293,,,,1.9068104028701782
5,293,,2.023765802383423,,
6,299,,,1.92013680934906,
6,342,,,,1.7977182865142822
6,342,,1.9098856449127197,,
7,349,,,1.8478946685791016,
7,391,,,,1.715220332145691
7,391,,1.8116425275802612,,
8,399,,,1.7397589683532715,
8,440,,,,1.6481314897537231
8,440,,1.7383135557174683,,
9,449,,,1.6683018207550049,
9,489,,,,1.5941662788391113
9,489,,1.6722118854522705,,
10,499,,,1.6132960319519043,
10,538,,,,1.5523394346237183
10,538,,1.6213335990905762,,
11,549,,,1.5949937105178833,
11,587,,,,1.5203073024749756
11,587,,1.5765471458435059,,
12,599,,,1.5361326932907104,
12,636,,,,1.4920012950897217
12,636,,1.5383490324020386,,
13,649,,,1.5019911527633667,
13,685,,,,1.4664199352264404
13,685,,1.5029079914093018,,
14,699,,,1.4795207977294922,
14,734,,,,1.439440369606018
14,734,,1.4712752103805542,,
15,749,,,1.4369425773620605,
15,783,,,,1.422057867050171
15,783,,1.4438472986221313,,
16,799,,,1.3929712772369385,
16,832,,,,1.4076982736587524
16,832,,1.4189071655273438,,
17,849,,,1.4153668880462646,
17,881,,,,1.392622709274292
17,881,,1.3962368965148926,,
18,899,,,1.3909614086151123,
18,930,,,,1.3817765712738037
18,930,,1.375173568725586,,
19,949,,,1.3785607814788818,
19,979,,,,1.3742148876190186
19,979,,1.3552533388137817,,
20,999,,,1.346588134765625,
20,1028,,,,1.3652592897415161
20,1028,,1.3368397951126099,,
21,1049,,,1.3067482709884644,
21,1077,,,,1.3537893295288086
21,1077,,1.3210071325302124,,
22,1099,,,1.3189128637313843,
22,1126,,,,1.3465385437011719
22,1126,,1.3052016496658325,,
23,1149,,,1.287832498550415,
23,1175,,,,1.3447935581207275
23,1175,,1.287932276725769,,
24,1199,,,1.2808847427368164,
24,1224,,,,1.3378154039382935
24,1224,,1.2735718488693237,,
25,1249,,,1.2508678436279297,
25,1273,,,,1.335810899734497
25,1273,,1.259596586227417,,
26,1299,,,1.233542561531067,
26,1322,,,,1.3366780281066895
26,1322,,1.2464109659194946,,
27,1349,,,1.2339110374450684,
27,1371,,,,1.3285632133483887
27,1371,,1.2317941188812256,,
28,1399,,,1.2256321907043457,
28,1420,,,,1.330936074256897
28,1420,,1.218380093574524,,
29,1449,,,1.2129753828048706,
29,1469,,,,1.325333833694458
29,1469,,1.2048730850219727,,
30,1499,,,1.1765799522399902,
30,1518,,,,1.3262629508972168
30,1518,,1.1927025318145752,,
31,1549,,,1.1843714714050293,
31,1567,,,,1.3305538892745972
31,1567,,1.1778161525726318,,
32,1599,,,1.1998109817504883,
32,1616,,,,1.330675721168518
32,1616,,1.1652494668960571,,
33,1649,,,1.150191068649292,
33,1665,,,,1.3351536989212036
33,1665,,1.1516735553741455,,
34,1699,,,1.173466444015503,
34,1714,,,,1.3365381956100464
34,1714,,1.1395115852355957,,
35,1749,,,1.138528823852539,
35,1763,,,,1.3382158279418945
35,1763,,1.1258913278579712,,
36,1799,,,1.1397058963775635,
36,1812,,,,1.342921257019043
36,1812,,1.1124725341796875,,
37,1849,,,1.1298339366912842,
37,1861,,,,1.3466145992279053
37,1861,,1.0993064641952515,,
38,1899,,,1.114321231842041,
38,1910,,,,1.3543202877044678
38,1910,,1.0864959955215454,,
39,1949,,,1.1135852336883545,
39,1959,,,,1.3620115518569946
39,1959,,1.0738788843154907,,
40,1999,,,1.0749702453613281,
40,2008,,,,1.3702799081802368
40,2008,,1.059993863105774,,
41,2049,,,1.0618860721588135,
41,2057,,,,1.3763972520828247
41,2057,,1.0477714538574219,,
42,2099,,,1.0482194423675537,
42,2106,,,,1.3809194564819336
42,2106,,1.0343503952026367,,
43,2149,,,1.0261952877044678,
43,2155,,,,1.3926979303359985
43,2155,,1.0199952125549316,,
44,2199,,,1.0188157558441162,
44,2204,,,,1.3996943235397339
44,2204,,1.007267951965332,,
45,2205,1.3996943235397339,,,
