epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,42,,,,2.579500436782837
0,42,,3.0965182781219482,,
1,49,,,2.5582380294799805,
1,85,,,,2.478065252304077
1,85,,2.5213725566864014,,
2,99,,,2.459228038787842,
2,128,,,,2.424745559692383
2,128,,2.4515233039855957,,
3,149,,,2.3934271335601807,
3,171,,,,2.365400791168213
3,171,,2.40205717086792,,
4,199,,,2.3004729747772217,
4,214,,,,2.135943651199341
4,214,,2.2920315265655518,,
5,249,,,2.058664321899414,
5,257,,,,1.983583927154541
5,257,,2.110621213912964,,
6,299,,,1.9468705654144287,
6,300,,,,1.8606277704238892
6,300,,1.9818111658096313,,
7,343,,,,1.7778280973434448
7,343,,1.88211190700531,,
8,349,,,1.8074827194213867,
8,386,,,,1.7136447429656982
8,386,,1.8025192022323608,,
9,399,,,1.7075340747833252,
9,429,,,,1.6570217609405518
9,429,,1.7422932386398315,,
10,449,,,1.700026273727417,
10,472,,,,1.6272013187408447
10,472,,1.6892141103744507,,
11,499,,,1.639078974723816,
11,515,,,,1.58761727809906
11,515,,1.643207311630249,,
12,549,,,1.578335165977478,
12,558,,,,1.550045371055603
12,558,,1.603298544883728,,
13,599,,,1.5825902223587036,
13,601,,,,1.5227082967758179
13,601,,1.5704089403152466,,
14,644,,,,1.500565767288208
14,644,,1.5380163192749023,,
15,649,,,1.5151106119155884,
15,687,,,,1.4784858226776123
15,687,,1.5088841915130615,,
16,699,,,1.4786796569824219,
16,730,,,,1.4605718851089478
16,730,,1.4813441038131714,,
17,749,,,1.4783508777618408,
17,773,,,,1.4407203197479248
17,773,,1.4583148956298828,,
18,799,,,1.436933159828186,
18,816,,,,1.4254674911499023
18,816,,1.4346539974212646,,
19,849,,,1.4432750940322876,
19,859,,,,1.414391040802002
19,859,,1.4150067567825317,,
20,899,,,1.4085437059402466,
20,902,,,,1.4048892259597778
20,902,,1.3937764167785645,,
21,945,,,,1.3928378820419312
21,945,,1.3754416704177856,,
22,949,,,1.3598219156265259,
22,988,,,,1.383425235748291
22,988,,1.3571650981903076,,
23,999,,,1.3545341491699219,
23,1031,,,,1.378067135810852
23,1031,,1.3421517610549927,,
24,1049,,,1.3124651908874512,
24,1074,,,,1.3672735691070557
24,1074,,1.3229914903640747,,
25,1099,,,1.2699651718139648,
25,1117,,,,1.3694560527801514
25,1117,,1.307395577430725,,
26,1149,,,1.2954652309417725,
26,1160,,,,1.358676552772522
26,1160,,1.2938824892044067,,
27,1199,,,1.296169400215149,
27,1203,,,,1.3645350933074951
27,1203,,1.2799912691116333,,
28,1246,,,,1.3544719219207764
28,1246,,1.263637900352478,,
29,1249,,,1.2391562461853027,
29,1289,,,,1.3554741144180298
29,1289,,1.249426007270813,,
30,1299,,,1.2417501211166382,
30,1332,,,,1.3527681827545166
30,1332,,1.2367935180664062,,
31,1349,,,1.2165979146957397,
31,1375,,,,1.3513050079345703
31,1375,,1.222013235092163,,
32,1399,,,1.2342021465301514,
32,1418,,,,1.3570142984390259
32,1418,,1.2083429098129272,,
33,1449,,,1.2139290571212769,
33,1461,,,,1.3561451435089111
33,1461,,1.1942204236984253,,
34,1499,,,1.2011064291000366,
34,1504,,,,1.3577481508255005
34,1504,,1.1819031238555908,,
35,1547,,,,1.3586480617523193
35,1547,,1.1671218872070312,,
36,1549,,,1.1468406915664673,
36,1590,,,,1.353195071220398
36,1590,,1.1538701057434082,,
37,1599,,,1.1319594383239746,
37,1633,,,,1.3639949560165405
37,1633,,1.1398738622665405,,
38,1649,,,1.0996432304382324,
38,1676,,,,1.3691372871398926
38,1676,,1.1249628067016602,,
39,1699,,,1.0962319374084473,
39,1719,,,,1.3722020387649536
39,1719,,1.1124331951141357,,
40,1749,,,1.1160893440246582,
40,1762,,,,1.379529356956482
40,1762,,1.0974652767181396,,
41,1799,,,1.1014996767044067,
41,1805,,,,1.3926141262054443
41,1805,,1.0820221900939941,,
42,1848,,,,1.390462040901184
42,1848,,1.0692192316055298,,
43,1849,,,1.0248088836669922,
43,1891,,,,1.4000455141067505
43,1891,,1.0536729097366333,,
44,1899,,,1.0312259197235107,
44,1934,,,,1.4095746278762817
44,1934,,1.040624976158142,,
45,1949,,,1.0097393989562988,
45,1977,,,,1.4207707643508911
45,1977,,1.0263744592666626,,
46,1999,,,1.0013269186019897,
46,2020,,,,1.4336140155792236
46,2020,,1.0106385946273804,,
47,2021,1.4336140155792236,,,
