epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,49,,,2.556126356124878,
0,54,,,,2.5290043354034424
0,54,,2.9998674392700195,,
1,99,,,2.463679313659668,
1,109,,,,2.448552131652832
1,109,,2.4883744716644287,,
2,149,,,2.416734457015991,
2,164,,,,2.3793675899505615
2,164,,2.4311118125915527,,
3,199,,,2.301219940185547,
3,219,,,,2.1287951469421387
3,219,,2.310549259185791,,
4,249,,,2.0763020515441895,
4,274,,,,1.9478617906570435
4,274,,2.093472719192505,,
5,299,,,1.9471802711486816,
5,329,,,,1.808447241783142
5,329,,1.9522489309310913,,
6,349,,,1.847367763519287,
6,384,,,,1.7120221853256226
6,384,,1.8389952182769775,,
7,399,,,1.7772526741027832,
7,439,,,,1.6426503658294678
7,439,,1.7542529106140137,,
8,449,,,1.715125560760498,
8,494,,,,1.584911823272705
8,494,,1.6892491579055786,,
9,499,,,1.6446590423583984,
9,549,,,1.5982472896575928,
9,549,,,,1.5404123067855835
9,549,,1.6337409019470215,,
10,599,,,1.5752984285354614,
10,604,,,,1.5012214183807373
10,604,,1.5876529216766357,,
11,649,,,1.5483087301254272,
11,659,,,,1.4736601114273071
11,659,,1.547051191329956,,
12,699,,,1.4787509441375732,
12,714,,,,1.4440926313400269
12,714,,1.5136446952819824,,
13,749,,,1.490403652191162,
13,769,,,,1.4214073419570923
13,769,,1.4824382066726685,,
14,799,,,1.4370721578598022,
14,824,,,,1.40333890914917
14,824,,1.4547309875488281,,
15,849,,,1.4274436235427856,
15,879,,,,1.388178825378418
15,879,,1.4295896291732788,,
16,899,,,1.3934497833251953,
16,934,,,,1.3741439580917358
16,934,,1.4086970090866089,,
17,949,,,1.396405816078186,
17,989,,,,1.3577731847763062
17,989,,1.3866822719573975,,
18,999,,,1.3532042503356934,
18,1044,,,,1.351436734199524
18,1044,,1.367728590965271,,
19,1049,,,1.3638415336608887,
19,1099,,,1.34005606174469,
19,1099,,,,1.344038963317871
19,1099,,1.3485510349273682,,
20,1149,,,1.3372583389282227,
20,1154,,,,1.3338295221328735
20,1154,,1.332524061203003,,
21,1199,,,1.3304861783981323,
21,1209,,,,1.3277827501296997
21,1209,,1.3176199197769165,,
22,1249,,,1.2987136840820312,
22,1264,,,,1.319127082824707
22,1264,,1.3001760244369507,,
23,1299,,,1.2911381721496582,
23,1319,,,,1.3197505474090576
23,1319,,1.286239504814148,,
24,1349,,,1.2763926982879639,
24,1374,,,,1.314079999923706
24,1374,,1.272327184677124,,
25,1399,,,1.277219533920288,
25,1429,,,,1.3086282014846802
25,1429,,1.2590943574905396,,
26,1449,,,1.2449613809585571,
26,1484,,,,1.3078199625015259
26,1484,,1.2461967468261719,,
27,1499,,,1.2031760215759277,
27,1539,,,,1.304713249206543
27,1539,,1.2320293188095093,,
28,1549,,,1.2180808782577515,
28,1594,,,,1.301104187965393
28,1594,,1.2199171781539917,,
29,1599,,,1.1759401559829712,
29,1649,,,1.2071003913879395,
29,1649,,,,1.3017815351486206
29,1649,,1.2057867050170898,,
30,1699,,,1.2244737148284912,
30,1704,,,,1.3031647205352783
30,1704,,1.1935299634933472,,
31,1749,,,1.1611156463623047,
31,1759,,,,1.3062100410461426
31,1759,,1.1828784942626953,,
32,1799,,,1.163038969039917,
32,1814,,,,1.3100115060806274
32,1814,,1.1686546802520752,,
33,1849,,,1.1758639812469482,
33,1869,,,,1.3067197799682617
33,1869,,1.157108187675476,,
34,1899,,,1.1391561031341553,
34,1924,,,,1.311521291732788
34,1924,,1.1444597244262695,,
35,1949,,,1.1565446853637695,
35,1979,,,,1.315428614616394
35,1979,,1.132734775543213,,
36,1999,,,1.0986647605895996,
36,2034,,,,1.3153098821640015
36,2034,,1.11878502368927,,
37,2049,,,1.0946433544158936,
37,2089,,,,1.3241584300994873
37,2089,,1.1069283485412598,,
38,2099,,,1.0734055042266846,
38,2144,,,,1.3309146165847778
38,2144,,1.0944652557373047,,
39,2149,,,1.0546208620071411,
39,2199,,,1.0791935920715332,
39,2199,,,,1.3374558687210083
39,2199,,1.0824360847473145,,
40,2249,,,1.1112000942230225,
40,2254,,,,1.3365100622177124
40,2254,,1.0698421001434326,,
41,2299,,,1.061518669128418,
41,2309,,,,1.347383975982666
41,2309,,1.056575894355774,,
42,2349,,,1.0439244508743286,
42,2364,,,,1.3524062633514404
42,2364,,1.0443410873413086,,
43,2399,,,1.0508893728256226,
43,2419,,,,1.3599495887756348
43,2419,,1.0320041179656982,,
44,2420,1.3599495887756348,,,
