epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,3.0670688152313232
0,18,,3.5323524475097656,,
1,37,,,,2.6294195652008057
1,37,,2.781480073928833,,
2,49,,,2.5537614822387695,
2,56,,,,2.548621654510498
2,56,,2.5540757179260254,,
3,75,,,,2.5169761180877686
3,75,,2.5010781288146973,,
4,94,,,,2.4958860874176025
4,94,,2.4713504314422607,,
5,99,,,2.4580273628234863,
5,113,,,,2.4840328693389893
5,113,,2.453587770462036,,
6,132,,,,2.473726987838745
6,132,,2.438748359680176,,
7,149,,,2.4109740257263184,
7,151,,,,2.4472923278808594
7,151,,2.41947078704834,,
8,170,,,,2.4342963695526123
8,170,,2.3979523181915283,,
9,189,,,,2.3877017498016357
9,189,,2.3649747371673584,,
10,199,,,2.2955453395843506,
10,208,,,,2.279006004333496
10,208,,2.3187708854675293,,
11,227,,,,2.1864776611328125
11,227,,2.239732027053833,,
12,246,,,,2.1313061714172363
12,246,,2.1567018032073975,,
13,249,,,2.0909149646759033,
13,265,,,,2.068925380706787
13,265,,2.0938193798065186,,
14,284,,,,2.0153980255126953
14,284,,2.0357916355133057,,
15,299,,,1.9836881160736084,
15,303,,,,1.9631091356277466
15,303,,1.98808753490448,,
16,322,,,,1.9354900121688843
16,322,,1.9405406713485718,,
17,341,,,,1.882433295249939
17,341,,1.9008911848068237,,
18,349,,,1.8658007383346558,
18,360,,,,1.8461503982543945
18,360,,1.8606563806533813,,
19,379,,,,1.8286446332931519
19,379,,1.828924536705017,,
20,398,,,,1.796055555343628
20,398,,1.7989228963851929,,
21,399,,,1.714385747909546,
21,417,,,,1.775312900543213
21,417,,1.7672375440597534,,
22,436,,,,1.7503362894058228
22,436,,1.736388921737671,,
23,449,,,1.736006498336792,
23,455,,,,1.7368412017822266
23,455,,1.7132391929626465,,
24,474,,,,1.7189723253250122
24,474,,1.6911253929138184,,
25,493,,,,1.6993902921676636
25,493,,1.6674119234085083,,
26,499,,,1.659149408340454,
26,512,,,,1.6957812309265137
26,512,,1.6465462446212769,,
27,531,,,,1.6709372997283936
27,531,,1.6239594221115112,,
28,549,,,1.6073050498962402,
28,550,,,,1.6696096658706665
28,550,,1.6045329570770264,,
29,569,,,,1.6521143913269043
29,569,,1.5872259140014648,,
30,588,,,,1.6396414041519165
30,588,,1.5658032894134521,,
31,599,,,1.5372059345245361,
31,607,,,,1.6420403718948364
31,607,,1.5487514734268188,,
32,626,,,,1.6233439445495605
32,626,,1.5294257402420044,,
33,645,,,,1.626966118812561
33,645,,1.5132039785385132,,
34,649,,,1.4808448553085327,
34,664,,,,1.6159534454345703
34,664,,1.493573784828186,,
35,683,,,,1.6090368032455444
35,683,,1.4777237176895142,,
36,699,,,1.4576396942138672,
36,702,,,,1.6185898780822754
36,702,,1.4634976387023926,,
37,721,,,,1.6032665967941284
37,721,,1.4478048086166382,,
38,740,,,,1.6127748489379883
38,740,,1.4300636053085327,,
39,749,,,1.4181312322616577,
39,759,,,,1.610435128211975
39,759,,1.4090951681137085,,
40,778,,,,1.6093708276748657
40,778,,1.3932961225509644,,
41,797,,,,1.6147263050079346
41,797,,1.3769093751907349,,
42,799,,,1.356886625289917,
42,816,,,,1.6081502437591553
42,816,,1.362951636314392,,
43,835,,,,1.615447759628296
43,835,,1.3447567224502563,,
44,849,,,1.3373019695281982,
44,854,,,,1.6166629791259766
44,854,,1.3312448263168335,,
45,873,,,,1.623948097229004
45,873,,1.3121823072433472,,
46,892,,,,1.6175216436386108
46,892,,1.2954421043395996,,
47,899,,,1.2607563734054565,
47,911,,,,1.6290109157562256
47,911,,1.277850866317749,,
48,930,,,,1.640336513519287
48,930,,1.2638185024261475,,
49,949,,,1.239410638809204,
49,949,,,,1.6381211280822754
49,949,,1.2451175451278687,,
50,968,,,,1.6531583070755005
50,968,,1.227591872215271,,
51,987,,,,1.6618759632110596
51,987,,1.214025616645813,,
52,999,,,1.187922716140747,
52,1006,,,,1.6596834659576416
52,1006,,1.194905400276184,,
53,1007,1.6596834659576416,,,
