method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
llm_classifier,0,32,,1.2865662574768066,
llm_classifier,0,64,,1.2905868291854858,
llm_classifier,0,128,,1.2849663496017456,
llm_classifier,10,32,,1.3059682846069336,
llm_classifier,10,64,,1.301104187965393,
llm_classifier,10,128,,1.3042023181915283,
llm_classifier,20,32,,1.326913833618164,
llm_classifier,20,64,,1.3237063884735107,
llm_classifier,20,128,,1.322811484336853,
llm_classifier,30,32,,1.3512002229690552,
llm_classifier,30,64,,1.3541361093521118,
llm_classifier,30,128,,1.3529118299484253,
llm_classifier,50,32,,1.4316463470458984,
llm_classifier,50,64,,1.4347504377365112,
llm_classifier,50,128,,1.4346650838851929,
llm_classifier,70,32,,1.6032665967941284,
llm_classifier,70,64,,1.604346752166748,
llm_classifier,70,128,,1.6087223291397097,
llm_classifier,90,32,,2.3528075218200684,
llm_classifier,90,64,,2.299992799758911,
llm_classifier,90,128,,2.5406885147094727,
