epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,6,,,,3.2788708209991455
0,6,,3.728954315185547,,
1,13,,,,3.0610692501068115
1,13,,4.006317138671875,,
2,20,,,,2.85003399848938
2,20,,2.856092929840088,,
3,27,,,,2.7130563259124756
3,27,,2.6472930908203125,,
4,34,,,,2.645063877105713
4,34,,2.529698610305786,,
5,41,,,,2.6378674507141113
5,41,,2.4667253494262695,,
6,48,,,,2.5934066772460938
6,48,,2.439042806625366,,
7,49,,,2.4115445613861084,
7,55,,,,2.572763442993164
7,55,,2.4056782722473145,,
8,62,,,,2.565826177597046
8,62,,2.380185127258301,,
9,69,,,,2.5987045764923096
9,69,,2.360867738723755,,
10,76,,,,2.542404890060425
10,76,,2.3585116863250732,,
11,83,,,,2.557270050048828
11,83,,2.340461492538452,,
12,90,,,,2.551276206970215
12,90,,2.3293867111206055,,
13,97,,,,2.5314781665802
13,97,,2.3189644813537598,,
14,99,,,2.308090925216675,
14,104,,,,2.5264689922332764
14,104,,2.305318832397461,,
15,111,,,,2.522630214691162
15,111,,2.2919998168945312,,
16,118,,,,2.5097360610961914
16,118,,2.2789509296417236,,
17,125,,,,2.5116164684295654
17,125,,2.274930477142334,,
18,132,,,,2.5232367515563965
18,132,,2.2633323669433594,,
19,139,,,,2.516174554824829
19,139,,2.2517621517181396,,
20,146,,,,2.5092198848724365
20,146,,2.2427117824554443,,
21,149,,,2.2395217418670654,
21,153,,,,2.551727533340454
21,153,,2.2307214736938477,,
22,160,,,,2.51591157913208
22,160,,2.2397453784942627,,
23,167,,,,2.5079643726348877
23,167,,2.216569662094116,,
24,174,,,,2.5136728286743164
24,174,,2.2005972862243652,,
25,181,,,,2.5059800148010254
25,181,,2.1878457069396973,,
26,188,,,,2.51005482673645
26,188,,2.178664445877075,,
27,195,,,,2.4873220920562744
27,195,,2.1657907962799072,,
28,199,,,2.1652565002441406,
28,202,,,,2.5210351943969727
28,202,,2.1502082347869873,,
29,209,,,,2.4949209690093994
29,209,,2.139319896697998,,
30,216,,,,2.4687328338623047
30,216,,2.1237618923187256,,
31,223,,,,2.4625375270843506
31,223,,2.105069160461426,,
32,230,,,,2.445875883102417
32,230,,2.0933289527893066,,
33,237,,,,2.4147140979766846
33,237,,2.0745067596435547,,
34,244,,,,2.3952274322509766
34,244,,2.0495526790618896,,
35,249,,,2.0095252990722656,
35,251,,,,2.3751425743103027
35,251,,2.023512840270996,,
36,258,,,,2.359109878540039
36,258,,2.0005805492401123,,
37,265,,,,2.3478806018829346
37,265,,1.978701114654541,,
38,272,,,,2.3198153972625732
38,272,,1.9580210447311401,,
39,279,,,,2.310410976409912
39,279,,1.9344494342803955,,
40,286,,,,2.2900583744049072
40,286,,1.915439486503601,,
41,293,,,,2.278897523880005
41,293,,1.8939158916473389,,
42,299,,,1.894111156463623,
42,300,,,,2.2800326347351074
42,300,,1.875373363494873,,
43,307,,,,2.275859832763672
43,307,,1.8548691272735596,,
44,314,,,,2.2573628425598145
44,314,,1.8430004119873047,,
45,321,,,,2.2530739307403564
45,321,,1.8260498046875,,
46,328,,,,2.241865873336792
46,328,,1.811402440071106,,
47,335,,,,2.245145082473755
47,335,,1.7923567295074463,,
48,342,,,,2.235994577407837
48,342,,1.7795825004577637,,
49,349,,,1.7724944353103638,
49,349,,,,2.241652727127075
49,349,,1.760246992111206,,
50,356,,,,2.244408130645752
50,356,,1.745962142944336,,
51,363,,,,2.229384660720825
51,363,,1.731021523475647,,
52,370,,,,2.2363646030426025
52,370,,1.7223217487335205,,
53,377,,,,2.2422566413879395
53,377,,1.7080576419830322,,
54,384,,,,2.23647403717041
54,384,,1.690677285194397,,
55,391,,,,2.2418997287750244
55,391,,1.6759904623031616,,
56,398,,,,2.2467496395111084
56,398,,1.6644515991210938,,
57,399,,,1.65665602684021,
57,405,,,,2.2537333965301514
57,405,,1.6514045000076294,,
58,412,,,,2.270777702331543
58,412,,1.6402976512908936,,
59,419,,,,2.234668254852295
59,419,,1.626158595085144,,
60,426,,,,2.260075330734253
60,426,,1.6149386167526245,,
61,433,,,,2.254711151123047
61,433,,1.600968837738037,,
62,440,,,,2.2656357288360596
62,440,,1.591711163520813,,
63,447,,,,2.261173963546753
63,447,,1.572904109954834,,
64,449,,,1.5635201930999756,
64,454,,,,2.2606968879699707
64,454,,1.5650428533554077,,
65,461,,,,2.2684950828552246
65,461,,1.552741289138794,,
66,468,,,,2.2678065299987793
66,468,,1.5373696088790894,,
67,469,2.2678065299987793,,,
