method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
perplexity_filtering,0,32,,1.2873448133468628,
perplexity_filtering,0,64,,1.2901285886764526,
perplexity_filtering,0,128,,1.2836629152297974,
perplexity_filtering,10,32,,1.3089340925216677,
perplexity_filtering,10,64,,1.3113118410110474,
perplexity_filtering,10,128,,1.30607271194458,
perplexity_filtering,20,32,,1.3343815803527832,
perplexity_filtering,20,64,,1.3370836973190308,
perplexity_filtering,20,128,,1.3311253786087036,
perplexity_filtering,30,32,,1.3600963354110718,
perplexity_filtering,30,64,,1.361276149749756,
perplexity_filtering,30,128,,1.3616867065429688,
perplexity_filtering,50,32,,1.4499452114105225,
perplexity_filtering,50,64,,1.443242073059082,
perplexity_filtering,50,128,,1.4449094533920288,
perplexity_filtering,70,32,,1.6061540842056274,
perplexity_filtering,70,64,,1.60801100730896,
perplexity_filtering,70,128,,1.6050996780395508,
perplexity_filtering,90,32,,2.240240335464477,
perplexity_filtering,90,64,,2.229384660720825,
perplexity_filtering,90,128,,2.2350916862487797,
