epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,30,,,,2.6920413970947266
0,30,,3.4772284030914307,,
1,49,,,2.558666706085205,
1,61,,,,2.518827438354492
1,61,,2.5873095989227295,,
2,92,,,,2.473970651626587
2,92,,2.493415117263794,,
3,99,,,2.4572179317474365,
3,123,,,,2.4452483654022217
3,123,,2.459247350692749,,
4,149,,,2.419740915298462,
4,154,,,,2.3988797664642334
4,154,,2.425292491912842,,
5,185,,,,2.3184967041015625
5,185,,2.3844082355499268,,
6,199,,,2.2974987030029297,
6,216,,,,2.158716917037964
6,216,,2.286271333694458,,
7,247,,,,2.051262140274048
7,247,,2.154372215270996,,
8,249,,,2.071171998977661,
8,278,,,,1.9466403722763062
8,278,,2.0468127727508545,,
9,299,,,1.9700419902801514,
9,309,,,,1.8719109296798706
9,309,,1.9702125787734985,,
10,340,,,,1.8008249998092651
10,340,,1.9030994176864624,,
11,349,,,1.8281981945037842,
11,371,,,,1.742186427116394
11,371,,1.844702959060669,,
12,399,,,1.788334846496582,
12,402,,,,1.7041311264038086
12,402,,1.7968775033950806,,
13,433,,,,1.6771718263626099
13,433,,1.7572559118270874,,
14,449,,,1.7394040822982788,
14,464,,,,1.6384888887405396
14,464,,1.7193135023117065,,
15,495,,,,1.616965413093567
15,495,,1.6834293603897095,,
16,499,,,1.6657626628875732,
16,526,,,,1.5914281606674194
16,526,,1.6568524837493896,,
17,549,,,1.6424920558929443,
17,557,,,,1.5638961791992188
17,557,,1.6271997690200806,,
18,588,,,,1.5503908395767212
18,588,,1.6019160747528076,,
19,599,,,1.5561314821243286,
19,619,,,,1.532434105873108
19,619,,1.57579505443573,,
20,649,,,1.5615557432174683,
20,650,,,,1.516370415687561
20,650,,1.5533268451690674,,
21,681,,,,1.5059313774108887
21,681,,1.5348789691925049,,
22,699,,,1.5578997135162354,
22,712,,,,1.4938745498657227
22,712,,1.5121924877166748,,
23,743,,,,1.487183928489685
23,743,,1.4924660921096802,,
24,749,,,1.4611785411834717,
24,774,,,,1.4708771705627441
24,774,,1.472815990447998,,
25,799,,,1.4682776927947998,
25,805,,,,1.4613697528839111
25,805,,1.4537914991378784,,
26,836,,,,1.447493314743042
26,836,,1.4343405961990356,,
27,849,,,1.434080719947815,
27,867,,,,1.4481078386306763
27,867,,1.4135777950286865,,
28,898,,,,1.4404044151306152
28,898,,1.4002902507781982,,
29,899,,,1.3429862260818481,
29,929,,,,1.437618613243103
29,929,,1.3826842308044434,,
30,949,,,1.3707125186920166,
30,960,,,,1.4315413236618042
30,960,,1.366726279258728,,
31,991,,,,1.4212714433670044
31,991,,1.3493868112564087,,
32,999,,,1.3303470611572266,
32,1022,,,,1.4210855960845947
32,1022,,1.334539771080017,,
33,1049,,,1.318725824356079,
33,1053,,,,1.4211487770080566
33,1053,,1.3187931776046753,,
34,1084,,,,1.4217073917388916
34,1084,,1.3057198524475098,,
35,1099,,,1.283644199371338,
35,1115,,,,1.418501615524292
35,1115,,1.2883034944534302,,
36,1146,,,,1.4193016290664673
36,1146,,1.2704168558120728,,
37,1149,,,1.2441577911376953,
37,1177,,,,1.4194477796554565
37,1177,,1.258462905883789,,
38,1199,,,1.2538543939590454,
38,1208,,,,1.4229822158813477
38,1208,,1.2424132823944092,,
39,1239,,,,1.4272249937057495
39,1239,,1.224482774734497,,
40,1249,,,1.207157015800476,
40,1270,,,,1.4266488552093506
40,1270,,1.2087912559509277,,
41,1299,,,1.2375977039337158,
41,1301,,,,1.4386496543884277
41,1301,,1.196803092956543,,
42,1332,,,,1.4339134693145752
42,1332,,1.1777464151382446,,
43,1349,,,1.1848310232162476,
43,1363,,,,1.4448107481002808
43,1363,,1.1599054336547852,,
44,1394,,,,1.4496601819992065
44,1394,,1.1474874019622803,,
45,1399,,,1.1134189367294312,
45,1425,,,,1.4564684629440308
45,1425,,1.1315395832061768,,
46,1449,,,1.1245324611663818,
46,1456,,,,1.4663727283477783
46,1456,,1.1171284914016724,,
47,1487,,,,1.47439706325531
47,1487,,1.0997052192687988,,
48,1499,,,1.0640578269958496,
48,1518,,,,1.487119197845459
48,1518,,1.084129810333252,,
49,1549,,,1.0876096487045288,
49,1549,,,,1.4921233654022217
49,1549,,1.069125771522522,,
50,1580,,,,1.5049281120300293
50,1580,,1.0512962341308594,,
51,1581,1.5049281120300293,,,
