epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,3.10275936126709
0,18,,3.4060990810394287,,
1,37,,,,2.6077187061309814
1,37,,2.8070852756500244,,
2,49,,,2.5676980018615723,
2,56,,,,2.5252201557159424
2,56,,2.563394784927368,,
3,75,,,,2.4894344806671143
3,75,,2.50585675239563,,
4,94,,,,2.4686920642852783
4,94,,2.473702907562256,,
5,99,,,2.4394612312316895,
5,113,,,,2.44332218170166
5,113,,2.4522347450256348,,
6,132,,,,2.4378256797790527
6,132,,2.4303107261657715,,
7,149,,,2.4269590377807617,
7,151,,,,2.406594753265381
7,151,,2.40775203704834,,
8,170,,,,2.373309373855591
8,170,,2.378788471221924,,
9,189,,,,2.2870235443115234
9,189,,2.337512969970703,,
10,199,,,2.283973217010498,
10,208,,,,2.215794324874878
10,208,,2.2792563438415527,,
11,227,,,,2.123103141784668
11,227,,2.2073073387145996,,
12,246,,,,2.0673933029174805
12,246,,2.121476173400879,,
13,249,,,2.0552079677581787,
13,265,,,,2.0016958713531494
13,265,,2.056148052215576,,
14,284,,,,1.947172999382019
14,284,,2.0016183853149414,,
15,299,,,1.9437708854675293,
15,303,,,,1.9092200994491577
15,303,,1.955154538154602,,
16,322,,,,1.8700875043869019
16,322,,1.914201021194458,,
17,341,,,,1.8213660717010498
17,341,,1.8744879961013794,,
18,349,,,1.8433462381362915,
18,360,,,,1.7980297803878784
18,360,,1.8356562852859497,,
19,379,,,,1.7677059173583984
19,379,,1.8011806011199951,,
20,398,,,,1.743267297744751
20,398,,1.7690558433532715,,
21,399,,,1.76297926902771,
21,417,,,,1.7161390781402588
21,417,,1.7408223152160645,,
22,436,,,,1.6906427145004272
22,436,,1.7157959938049316,,
23,449,,,1.7479056119918823,
23,455,,,,1.6869105100631714
23,455,,1.6889891624450684,,
24,474,,,,1.670241117477417
24,474,,1.6683458089828491,,
25,493,,,,1.6555452346801758
25,493,,1.6435848474502563,,
26,499,,,1.6265673637390137,
26,512,,,,1.6434025764465332
26,512,,1.6186370849609375,,
27,531,,,,1.627841830253601
27,531,,1.603334665298462,,
28,549,,,1.579038381576538,
28,550,,,,1.6201362609863281
28,550,,1.5841716527938843,,
29,569,,,,1.614750862121582
29,569,,1.5634667873382568,,
30,588,,,,1.608458399772644
30,588,,1.5434843301773071,,
31,599,,,1.5415877103805542,
31,607,,,,1.5974682569503784
31,607,,1.5302282571792603,,
32,626,,,,1.5895347595214844
32,626,,1.5118634700775146,,
33,645,,,,1.582898736000061
33,645,,1.4924191236495972,,
34,649,,,1.4480937719345093,
34,664,,,,1.591223120689392
34,664,,1.4756321907043457,,
35,683,,,,1.5866901874542236
35,683,,1.4611330032348633,,
36,699,,,1.4329891204833984,
36,702,,,,1.5798395872116089
36,702,,1.4451550245285034,,
37,721,,,,1.5806721448898315
37,721,,1.427675724029541,,
38,740,,,,1.5752513408660889
38,740,,1.4103889465332031,,
39,749,,,1.3599201440811157,
39,759,,,,1.581632375717163
39,759,,1.3912675380706787,,
40,778,,,,1.5727100372314453
40,778,,1.3766701221466064,,
41,797,,,,1.5725889205932617
41,797,,1.3596948385238647,,
42,799,,,1.3387377262115479,
42,816,,,,1.5757757425308228
42,816,,1.3451485633850098,,
43,835,,,,1.5841386318206787
43,835,,1.3267227411270142,,
44,849,,,1.2980936765670776,
44,854,,,,1.5898947715759277
44,854,,1.313820242881775,,
45,873,,,,1.592422366142273
45,873,,1.2943525314331055,,
46,892,,,,1.5864087343215942
46,892,,1.2803826332092285,,
47,899,,,1.2417614459991455,
47,911,,,,1.5964223146438599
47,911,,1.2601271867752075,,
48,930,,,,1.6074928045272827
48,930,,1.2461615800857544,,
49,949,,,1.244409441947937,
49,949,,,,1.6110080480575562
49,949,,1.2270116806030273,,
50,968,,,,1.625522255897522
50,968,,1.2129565477371216,,
51,987,,,,1.6344664096832275
51,987,,1.196474552154541,,
52,999,,,1.1671099662780762,
52,1006,,,,1.638206958770752
52,1006,,1.181017518043518,,
53,1025,,,,1.6398978233337402
53,1025,,1.16327702999115,,
54,1044,,,,1.6484267711639404
54,1044,,1.1458719968795776,,
55,1049,,,1.1145310401916504,
55,1063,,,,1.6795076131820679
55,1063,,1.1251744031906128,,
56,1082,,,,1.671830177307129
56,1082,,1.110189437866211,,
57,1083,1.671830177307129,,,
