method,percent_removed,seed,best_val_acc,best_val_loss,test_acc
random,0,32,,1.2944945096969604,
random,0,64,,1.2911840677261353,
random,0,128,,1.2842812538146973,
random,10,32,,1.3079715967178345,
random,10,64,,1.2980103492736816,
random,10,128,,1.3004392385482788,
random,20,32,,1.323232650756836,
random,20,64,,1.322124719619751,
random,20,128,,1.3221341371536257,
random,30,32,,1.3476030826568604,
random,30,64,,1.3433334827423096,
random,30,128,,1.3412094116210938,
random,50,32,,1.4128111600875854,
random,50,64,,1.4107500314712524,
random,50,128,,1.418501615524292,
random,70,32,,1.5725889205932615,
random,70,64,,1.5668102502822876,
random,70,128,,1.5728808641433716,
random,90,32,,2.204681873321533,
random,90,64,,2.2167809009552,
random,90,128,,2.2145490646362305,
