epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,48,,,,2.541283369064331
0,48,,3.052489757537842,,
1,49,,,2.548283576965332,
1,97,,,,2.463846206665039
1,97,,2.498136281967163,,
2,99,,,2.450233221054077,
2,146,,,,2.3973824977874756
2,146,,2.4374356269836426,,
3,149,,,2.402498245239258,
3,195,,,,2.2267277240753174
3,195,,2.3622658252716064,,
4,199,,,2.258883476257324,
4,244,,,,2.0396745204925537
4,244,,2.172182083129883,,
5,249,,,2.0823323726654053,
5,293,,,,1.8891596794128418
5,293,,2.0170207023620605,,
6,299,,,1.9448312520980835,
6,342,,,,1.7890946865081787
6,342,,1.903670310974121,,
7,349,,,1.833453893661499,
7,391,,,,1.7013479471206665
7,391,,1.8092995882034302,,
8,399,,,1.7400469779968262,
8,440,,,,1.6481413841247559
8,440,,1.7356986999511719,,
9,449,,,1.6923772096633911,
9,489,,,,1.595566749572754
9,489,,1.6768478155136108,,
10,499,,,1.6534935235977173,
10,538,,,,1.5499355792999268
10,538,,1.626549243927002,,
11,549,,,1.6059396266937256,
11,587,,,,1.5211899280548096
11,587,,1.5833323001861572,,
12,599,,,1.5141849517822266,
12,636,,,,1.4897444248199463
12,636,,1.5459996461868286,,
13,649,,,1.551127552986145,
13,685,,,,1.4665400981903076
13,685,,1.5147604942321777,,
14,699,,,1.5037720203399658,
14,734,,,,1.445952296257019
14,734,,1.4829922914505005,,
15,749,,,1.4604160785675049,
15,783,,,,1.4230018854141235
15,783,,1.4571958780288696,,
16,799,,,1.4126884937286377,
16,832,,,,1.4050928354263306
16,832,,1.433976411819458,,
17,849,,,1.4088022708892822,
17,881,,,,1.3991482257843018
17,881,,1.4099713563919067,,
18,899,,,1.4029896259307861,
18,930,,,,1.381224513053894
18,930,,1.38886296749115,,
19,949,,,1.3554728031158447,
19,979,,,,1.3759797811508179
19,979,,1.36982262134552,,
20,999,,,1.3468656539916992,
20,1028,,,,1.3614780902862549
20,1028,,1.3518840074539185,,
21,1049,,,1.316698431968689,
21,1077,,,,1.3564164638519287
21,1077,,1.3335081338882446,,
22,1099,,,1.3332829475402832,
22,1126,,,,1.3483411073684692
22,1126,,1.3169952630996704,,
23,1149,,,1.3240697383880615,
23,1175,,,,1.3405686616897583
23,1175,,1.3022047281265259,,
24,1199,,,1.3131511211395264,
24,1224,,,,1.3338011503219604
24,1224,,1.2870292663574219,,
25,1249,,,1.269411325454712,
25,1273,,,,1.3333921432495117
25,1273,,1.2720561027526855,,
26,1299,,,1.243830680847168,
26,1322,,,,1.3306245803833008
26,1322,,1.257042407989502,,
27,1349,,,1.217600703239441,
27,1371,,,,1.3269122838974
27,1371,,1.243845820426941,,
28,1399,,,1.232616662979126,
28,1420,,,,1.324614405632019
28,1420,,1.2308800220489502,,
29,1449,,,1.2222880125045776,
29,1469,,,,1.3252766132354736
29,1469,,1.2161916494369507,,
30,1499,,,1.2132296562194824,
30,1518,,,,1.3266578912734985
30,1518,,1.2023900747299194,,
31,1549,,,1.1942925453186035,
31,1567,,,,1.3248313665390015
31,1567,,1.1914269924163818,,
32,1599,,,1.195192813873291,
32,1616,,,,1.3250815868377686
32,1616,,1.1771552562713623,,
33,1649,,,1.1908282041549683,
33,1665,,,,1.3278651237487793
33,1665,,1.1626684665679932,,
34,1699,,,1.141499400138855,
34,1714,,,,1.332421898841858
34,1714,,1.1498539447784424,,
35,1749,,,1.1523051261901855,
35,1763,,,,1.3299109935760498
35,1763,,1.1373982429504395,,
36,1799,,,1.1295759677886963,
36,1812,,,,1.345055103302002
36,1812,,1.1239840984344482,,
37,1849,,,1.1210360527038574,
37,1861,,,,1.3462669849395752
37,1861,,1.1109933853149414,,
38,1899,,,1.104884147644043,
38,1910,,,,1.3524516820907593
38,1910,,1.0979849100112915,,
39,1949,,,1.1030161380767822,
39,1959,,,,1.354428768157959
39,1959,,1.0828975439071655,,
40,1999,,,1.1016291379928589,
40,2008,,,,1.3688291311264038
40,2008,,1.0712130069732666,,
41,2049,,,1.0572516918182373,
41,2057,,,,1.3678510189056396
41,2057,,1.0573110580444336,,
42,2099,,,1.0568583011627197,
42,2106,,,,1.3804867267608643
42,2106,,1.0434625148773193,,
43,2149,,,1.0505657196044922,
43,2155,,,,1.389931082725525
43,2155,,1.0301234722137451,,
44,2156,1.389931082725525,,,
