epoch,step,test_loss,train_loss_epoch,train_loss_step,val_loss
0,18,,,,2.980541944503784
0,18,,3.692730665206909,,
1,37,,,,2.5917041301727295
1,37,,2.708474636077881,,
2,49,,,2.518402099609375,
2,56,,,,2.5184128284454346
2,56,,2.529942035675049,,
3,75,,,,2.492875099182129
3,75,,2.482941150665283,,
4,94,,,,2.474688768386841
4,94,,2.4545719623565674,,
5,99,,,2.431511402130127,
5,113,,,,2.471179246902466
5,113,,2.433943510055542,,
6,132,,,,2.4414310455322266
6,132,,2.4147720336914062,,
7,149,,,2.383768081665039,
7,151,,,,2.4229559898376465
7,151,,2.391791582107544,,
8,170,,,,2.380557060241699
8,170,,2.366558313369751,,
9,189,,,,2.292471170425415
9,189,,2.3210232257843018,,
10,199,,,2.23363995552063,
10,208,,,,2.1923117637634277
10,208,,2.242501735687256,,
11,227,,,,2.116010904312134
11,227,,2.1505749225616455,,
12,246,,,,2.05857515335083
12,246,,2.0847485065460205,,
13,249,,,2.0444083213806152,
13,265,,,,1.9924086332321167
13,265,,2.027015209197998,,
14,284,,,,1.9418772459030151
14,284,,1.9752771854400635,,
15,299,,,1.9172792434692383,
15,303,,,,1.898507833480835
15,303,,1.9271442890167236,,
16,322,,,,1.8622113466262817
16,322,,1.8838038444519043,,
17,341,,,,1.8332099914550781
17,341,,1.8454784154891968,,
18,349,,,1.8190855979919434,
18,360,,,,1.8047380447387695
18,360,,1.8106260299682617,,
19,379,,,,1.7658401727676392
19,379,,1.7836499214172363,,
20,398,,,,1.7448784112930298
20,398,,1.7483826875686646,,
21,399,,,1.7068884372711182,
21,417,,,,1.735893964767456
21,417,,1.7249767780303955,,
22,436,,,,1.7107460498809814
22,436,,1.7010971307754517,,
23,449,,,1.6764506101608276,
23,455,,,,1.7024918794631958
23,455,,1.6754306554794312,,
24,474,,,,1.67812979221344
24,474,,1.6547765731811523,,
25,493,,,,1.6683895587921143
25,493,,1.6342055797576904,,
26,499,,,1.6262569427490234,
26,512,,,,1.6612448692321777
26,512,,1.614193081855774,,
27,531,,,,1.651258945465088
27,531,,1.596925139427185,,
28,549,,,1.5551667213439941,
28,550,,,,1.645212173461914
28,550,,1.5785671472549438,,
29,569,,,,1.6302751302719116
29,569,,1.5596688985824585,,
30,588,,,,1.6239984035491943
30,588,,1.5408071279525757,,
31,599,,,1.5220541954040527,
31,607,,,,1.617429256439209
31,607,,1.5236310958862305,,
32,626,,,,1.6151113510131836
32,626,,1.5080583095550537,,
33,645,,,,1.6052333116531372
33,645,,1.489388108253479,,
34,649,,,1.4826356172561646,
34,664,,,,1.5995241403579712
34,664,,1.4735472202301025,,
35,683,,,,1.6051435470581055
35,683,,1.4571616649627686,,
36,699,,,1.4802095890045166,
36,702,,,,1.6033366918563843
36,702,,1.444481611251831,,
37,721,,,,1.598617672920227
37,721,,1.4256497621536255,,
38,740,,,,1.588568925857544
38,740,,1.409081220626831,,
39,749,,,1.393031120300293,
39,759,,,,1.5929007530212402
39,759,,1.394669532775879,,
40,778,,,,1.6010938882827759
40,778,,1.377617359161377,,
41,797,,,,1.6016557216644287
41,797,,1.3624370098114014,,
42,799,,,1.3296836614608765,
42,816,,,,1.5917936563491821
42,816,,1.3464174270629883,,
43,835,,,,1.6051805019378662
43,835,,1.3294678926467896,,
44,849,,,1.325957179069519,
44,854,,,,1.607200264930725
44,854,,1.3138885498046875,,
45,873,,,,1.6140028238296509
45,873,,1.2980440855026245,,
46,892,,,,1.6070387363433838
46,892,,1.2827908992767334,,
47,899,,,1.2675529718399048,
47,911,,,,1.6170967817306519
47,911,,1.26824152469635,,
48,930,,,,1.618727445602417
48,930,,1.252291202545166,,
49,949,,,1.241316318511963,
49,949,,,,1.6264337301254272
49,949,,1.2336328029632568,,
50,968,,,,1.6333866119384766
50,968,,1.2184089422225952,,
51,987,,,,1.6519882678985596
51,987,,1.2007380723953247,,
52,999,,,1.1803152561187744,
52,1006,,,,1.6459113359451294
52,1006,,1.1876220703125,,
53,1025,,,,1.6633219718933105
53,1025,,1.1717867851257324,,
54,1026,1.6633219718933105,,,
