epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.21875,,2.272543430328369,,
0,70,,,,,,,0.2809000015258789,3.2753889560699463
0,70,,,0.18908333778381348,,2.7191271781921387,,,
1,99,,,,0.310546875,,1.84149169921875,,
1,141,,,,,,,0.3515999913215637,2.419835329055786
1,141,,,0.3151944577693939,,1.8706649541854858,,,
2,149,,,,0.35546875,,1.6892457008361816,,
2,199,,,,0.37109375,,1.651692509651184,,
2,212,,,,,,,0.38760000467300415,2.311479330062866
2,212,,,0.37788888812065125,,1.6877809762954712,,,
3,249,,,,0.419921875,,1.578528881072998,,
3,283,,,,,,,0.4392000138759613,1.6936962604522705
3,283,,,0.4267222285270691,,1.5679484605789185,,,
4,299,,,,0.400390625,,1.5919030904769897,,
4,349,,,,0.48828125,,1.4282351732254028,,
4,354,,,,,,,0.5037000179290771,1.6424297094345093
4,354,,,0.46033334732055664,,1.4805885553359985,,,
5,399,,,,0.50390625,,1.3846814632415771,,
5,425,,,,,,,0.5073000192642212,1.6827925443649292
5,425,,,0.4946666657924652,,1.3954353332519531,,,
6,449,,,,0.482421875,,1.432783603668213,,
6,496,,,,,,,0.5209000110626221,1.4960906505584717
6,496,,,0.5203055739402771,,1.3298654556274414,,,
7,499,,,,0.552734375,,1.3144391775131226,,
7,549,,,,0.533203125,,1.2773102521896362,,
7,567,,,,,,,0.5,1.6232624053955078
7,567,,,0.5369444489479065,,1.2852246761322021,,,
8,599,,,,0.603515625,,1.1834383010864258,,
8,638,,,,,,,0.569599986076355,1.4450079202651978
8,638,,,0.5581944584846497,,1.2342922687530518,,,
9,649,,,,0.57421875,,1.1903424263000488,,
9,699,,,,0.5859375,,1.1902823448181152,,
9,709,,,,,,,0.5623999834060669,1.640120506286621
9,709,,,0.5747500061988831,,1.1817810535430908,,,
10,749,,,,0.560546875,,1.17657470703125,,
10,780,,,,,,,0.6122999787330627,1.1046720743179321
10,780,,,0.5905277729034424,,1.137288212776184,,,
11,799,,,,0.658203125,,0.9725590944290161,,
11,849,,,,0.595703125,,1.0949201583862305,,
11,851,,,,,,,0.6460000276565552,1.1200613975524902
11,851,,,0.6042500138282776,,1.1004502773284912,,,
12,899,,,,0.623046875,,1.0477793216705322,,
12,922,,,,,,,0.663100004196167,0.9849072098731995
12,922,,,0.6156111359596252,,1.072129726409912,,,
13,949,,,,0.6171875,,1.0360748767852783,,
13,993,,,,,,,0.6524999737739563,1.3515539169311523
13,993,,,0.6263055801391602,,1.0423939228057861,,,
14,999,,,,0.634765625,,1.011369228363037,,
14,1049,,,,0.64453125,,1.0178040266036987,,
14,1064,,,,,,,0.6345000267028809,1.2136443853378296
14,1064,,,0.6384999752044678,,1.0160448551177979,,,
15,1099,,,,0.6484375,,0.986380398273468,,
15,1135,,,,,,,0.6898999810218811,0.933277428150177
15,1135,,,0.6501666903495789,,0.9848861694335938,,,
16,1149,,,,0.6484375,,0.9760885834693909,,
16,1199,,,,0.66015625,,0.962610125541687,,
16,1206,,,,,,,0.6446999907493591,1.0890065431594849
16,1206,,,0.6603888869285583,,0.9604427218437195,,,
17,1249,,,,0.6328125,,0.9985997676849365,,
17,1277,,,,,,,0.7009000182151794,0.8667771220207214
17,1277,,,0.6639999747276306,,0.9384498596191406,,,
18,1299,,,,0.701171875,,0.9058549404144287,,
18,1348,,,,,,,0.6995999813079834,1.0307484865188599
18,1348,,,0.6712222099304199,,0.9288958311080933,,,
19,1349,,,,0.677734375,,0.8961361646652222,,
19,1399,,,,0.6640625,,0.9868387579917908,,
19,1419,,,,,,,0.6804999709129333,1.105622410774231
19,1419,,,0.6779721975326538,,0.9016950726509094,,,
20,1449,,,,0.69140625,,0.8697723150253296,,
20,1490,,,,,,,0.692799985408783,0.9112874865531921
20,1490,,,0.687666654586792,,0.8829330801963806,,,
21,1499,,,,0.705078125,,0.8349825739860535,,
21,1549,,,,0.72265625,,0.7981843948364258,,
21,1561,,,,,,,0.7290999889373779,0.8175833225250244
21,1561,,,0.6932777762413025,,0.8651096820831299,,,
22,1599,,,,0.705078125,,0.8532458543777466,,
22,1632,,,,,,,0.7271999716758728,0.8864306807518005
22,1632,,,0.6979444622993469,,0.8540005087852478,,,
23,1649,,,,0.6953125,,0.8646247386932373,,
23,1699,,,,0.7109375,,0.8629375696182251,,
